set_id,omega,alpha,beta,gamma,lambda
1,3.43702638214432e-07,1.30137557847571e-06,0.796391681912507,0.432969505358892,0.403960584983345
2,3.53008084601511e-07,1.28445981156847e-06,0.791855526658587,0.461360707806147,0.574350678281071
3,4.90593445831405e-07,1.25275668302328e-06,0.757486234764445,0.440108530454773,0.451697103444284
4,5.65462293596195e-07,1.31087953679844e-06,0.840720357812891,0.362584610369871,0.563551517392863
5,9.69280547730099e-07,1.20795977444258e-06,0.812359513010715,0.260773286169062,0.482556263049938
6,5.66776551103584e-07,1.20700014208188e-06,0.808669160842854,0.327508514113417,0.548751724937655
7,6.32894371765543e-07,1.32112597641202e-06,0.753025305779169,0.472343400101063,0.5402895390389
8,4.45740437896005e-07,1.17824102798254e-06,0.801123534318553,0.257836049699052,0.417260363698341
9,6.23442031413881e-07,1.29330100537877e-06,0.818385915618252,0.275033576926547,0.590489241499755
10,5.39313398516353e-07,1.34310230632241e-06,0.790787906201948,0.351404629148744,0.517489443587125
11,8.46185663985694e-07,1.33252689593665e-06,0.809615336998876,0.39034916179812,0.588212955660319
12,8.12441131868681e-07,1.33702262698433e-06,0.791207599642599,0.460349003707434,0.574972223475571
13,4.83605694133282e-07,1.24510741078573e-06,0.76959158465797,0.326975186477958,0.503792442128369
14,9.49927828099637e-07,1.33696350325492e-06,0.813518294963239,0.366615785417839,0.597153555884238
15,4.40356064945017e-07,1.3374045969593e-06,0.792261267867103,0.433341015232225,0.575825544953424
16,5.53101955801203e-07,1.34348580737745e-06,0.835908093647589,0.433459348750262,0.557980759910835
17,6.49198250210422e-07,1.19645793616908e-06,0.849414843114235,0.476632334558576,0.531304553542727
18,7.98101097104701e-07,1.25356130840786e-06,0.757504155317842,0.401532196137406,0.53459326374351
19,5.42926425987685e-07,1.16102662785311e-06,0.765396393464033,0.338998705852876,0.441999758920035
20,3.70367039432181e-07,1.3214949685102e-06,0.763478075563137,0.333767802549345,0.492935812459352
21,1.80402318632396e-07,1.30378474995158e-06,0.804444314125095,0.471972528142036,0.581010456935331
22,9.71702508504881e-07,1.24960016101442e-06,0.794160941000769,0.387475627428219,0.439602789214995
23,1.01068431313813e-07,1.18800456371928e-06,0.774947258891436,0.409600917421011,0.535933480250465
24,9.81901699126703e-07,1.31211739098324e-06,0.819540679223372,0.265812689624703,0.439275517262549
25,8.21295216260358e-07,1.23988637440331e-06,0.764806231996289,0.305654478684783,0.570370292438783
