set_id,omega,alpha,beta,gamma,lambda
1,3.77463066415249e-07,0.118455311014841,0.797186751930856,0,0.0575632628545226
2,8.69593882987304e-07,0.0544078453195027,0.847468457260882,0,0.0609808819030882
3,1.37093696146328e-07,0.0343724615804938,0.756834664705838,0,0.0346913547832175
4,1.85146429101426e-07,0.145828643043172,0.765917930837737,0,0.0512904634224065
5,1.86536549219007e-07,0.0924160790835595,0.815474456444655,0,0.0110453015010283
6,8.89881041015925e-07,0.0331953628367838,0.84866423472183,0,0.120408448974374
7,7.76755391571908e-07,0.0844263151247462,0.830311268548702,0,0.0870815279020394
8,6.63125288943333e-07,0.0682573788520395,0.755190809183281,0,0.0905118440940954
9,1.77054939653251e-07,0.119381065737266,0.774574978519572,0,0.108233326813419
10,3.25106766129455e-07,0.0852937950934386,0.809605909488609,0,0.142583610230516
