S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
581.99,0.10777592592592593,0.05688843080000001,0.12698412698412698,0,0.0,0.0,0.0,0.0,0.0,0.190659,1.1875
581.99,0.09540819672131148,0.05688843080000001,0.12698412698412698,1,0.0,0.0,0.0,0.0,0.0,0.098798,0.53125
581.99,0.11524554455445545,0.05688843080000001,0.12698412698412698,0,0.0,0.0,0.0,0.0,0.0,0.250247,0.375
581.99,0.09781344537815126,0.05688843080000001,0.12698412698412698,0,0.0,0.0,0.0,0.0,0.0,0.121453,15.375
581.99,0.10121565217391304,0.05688843080000001,0.12698412698412698,1,0.0,0.0,0.0,0.0,0.0,0.123915,13.75
581.99,0.09699833333333334,0.05688843080000001,0.12698412698412698,0,0.0,0.0,0.0,0.0,0.0,0.121512,19.25
581.99,0.10980943396226416,0.05688843080000001,0.12698412698412698,0,0.0,0.0,0.0,0.0,0.0,0.208334,0.84375
581.99,0.10034310344827586,0.05688843080000001,0.12698412698412698,0,0.0,0.0,0.0,0.0,0.0,0.134515,7.4375
581.99,0.09948547008547008,0.05688843080000001,0.12698412698412698,1,0.0,0.0,0.0,0.0,0.0,0.113523,7.375
581.99,0.10581636363636364,0.05688843080000001,0.12698412698412698,0,0.0,0.0,0.0,0.0,0.0,0.172028,1.6875
581.99,0.11192115384615385,0.05688843080000001,0.12698412698412698,0,0.0,0.0,0.0,0.0,0.0,0.230896,0.6875
581.99,0.10486306306306306,0.05688843080000001,0.12698412698412698,0,0.0,0.0,0.0,0.0,0.0,0.164911,2.125
581.99,0.09463252032520325,0.05688843080000001,0.12698412698412698,1,0.0,0.0,0.0,0.0,0.0,0.099221,0.28125
581.99,0.10034310344827586,0.05688843080000001,0.12698412698412698,1,0.0,0.0,0.0,0.0,0.0,0.119212,10.375
581.99,0.10121565217391304,0.05688843080000001,0.12698412698412698,0,0.0,0.0,0.0,0.0,0.0,0.142603,5.9375
581.99,0.11300776699029126,0.05688843080000001,0.12698412698412698,0,0.0,0.0,0.0,0.0,0.0,0.235035,0.53125
581.99,0.09237936507936508,0.05688843080000001,0.12698412698412698,1,0.0,0.0,0.0,0.0,0.0,0.114834,0.09375
581.99,0.10878317757009345,0.05688843080000001,0.12698412698412698,0,0.0,0.0,0.0,0.0,0.0,0.198158,0.96875
581.99,0.09864237288135594,0.05688843080000001,0.12698412698412698,0,0.0,0.0,0.0,0.0,0.0,0.12903,12.4375
581.99,0.10210350877192982,0.05688843080000001,0.12698412698412698,0,0.0,0.0,0.0,0.0,0.0,0.145173,4.4375
581.99,0.09948547008547008,0.05688843080000001,0.12698412698412698,0,0.0,0.0,0.0,0.0,0.0,0.129663,9.5625
581.99,0.09619669421487603,0.05688843080000001,0.12698412698412698,1,0.0,0.0,0.0,0.0,0.0,0.09874,0.96875
581.99,0.116398,0.05688843080000001,0.12698412698412698,0,0.0,0.0,0.0,0.0,0.0,0.253243,0.28125
581.99,0.10486306306306306,0.05688843080000001,0.12698412698412698,1,0.0,0.0,0.0,0.0,0.0,0.15236,30.625
581.99,0.1030070796460177,0.05688843080000001,0.12698412698412698,1,0.0,0.0,0.0,0.0,0.0,0.142698,22.0
581.99,0.09699833333333334,0.05688843080000001,0.12698412698412698,1,0.0,0.0,0.0,0.0,0.0,0.103001,1.875
581.99,0.11411568627450981,0.05688843080000001,0.12698412698412698,0,0.0,0.0,0.0,0.0,0.0,0.247484,0.5
581.99,0.09781344537815126,0.05688843080000001,0.12698412698412698,1,0.0,0.0,0.0,0.0,0.0,0.106313,3.1875
581.99,0.1108552380952381,0.05688843080000001,0.12698412698412698,0,0.0,0.0,0.0,0.0,0.0,0.219071,0.75
581.99,0.10392678571428572,0.05688843080000001,0.12698412698412698,0,0.0,0.0,0.0,0.0,0.0,0.161242,2.84375
581.99,0.09386935483870967,0.05688843080000001,0.12698412698412698,1,0.0,0.0,0.0,0.0,0.0,0.101132,0.15625
581.99,0.10210350877192982,0.05688843080000001,0.12698412698412698,1,0.0,0.0,0.0,0.0,0.0,0.135399,17.875
581.99,0.10878317757009345,0.05688843080000001,0.12698412698412698,1,0.0,0.0,0.0,0.0,0.0,0.179965,49.5
581.99,0.09864237288135594,0.05688843080000001,0.12698412698412698,1,0.0,0.0,0.0,0.0,0.0,0.109617,5.0
581.99,0.10678715596330275,0.05688843080000001,0.12698412698412698,0,0.0,0.0,0.0,0.0,0.0,0.1823,1.4375
581.99,0.1030070796460177,0.05688843080000001,0.12698412698412698,0,0.0,0.0,0.0,0.0,0.0,0.153605,3.5625
578.8999,0.10720368518518518,0.0567818025,0.12301587301587301,0,0.0,0.0,0.0,0.0,0.0,0.187371,1.28125
578.8999,0.09490162295081968,0.0567818025,0.12301587301587301,1,0.0,0.0,0.0,0.0,0.0,0.103767,0.40625
578.8999,0.11463364356435643,0.0567818025,0.12301587301587301,0,0.0,0.0,0.0,0.0,0.0,0.246464,0.375
578.8999,0.10067824347826088,0.0567818025,0.12301587301587301,1,0.0,0.0,0.0,0.0,0.0,0.120154,11.375
578.8999,0.10337498214285715,0.0567818025,0.12301587301587301,1,0.0,0.0,0.0,0.0,0.0,0.143494,23.375
578.8999,0.1092263962264151,0.0567818025,0.12301587301587301,0,0.0,0.0,0.0,0.0,0.0,0.204146,0.875
578.8999,0.09981032758620689,0.0567818025,0.12301587301587301,0,0.0,0.0,0.0,0.0,0.0,0.134911,8.75
