ticker,period,strategy,alpha,beta,omega,gamma,lambda,sigma_eps,alpha_init,beta_init,omega_init,gamma_init,lambda_init,two_norm_error,aic,bic,aic_init,bic_init,loss,loss_init,calibration_time_sec,n_options,n_returns,status,error
AAPL,Period1,best1bin,1.31188052105245E-06,0.969071508632815,8.39266321342527E-06,0.257083192564188,0.473849241741712,0.299997002498664,0.0000015,0.888857508066317,0.00001,0.25,0.3,1.10892942097964,-24.3804470250328,14.1432114213609,-4.01298579731367,17.5329360857515,29215896.2874621,3000.37601658254,2482.4613366127,16395,268,ok,
AAPL,Period2,best1bin,1.3399346833751E-06,0.97883091835417,8.92251695933376E-06,0.28595975276315,0.355256006454417,0.299998515854542,0.0000015,0.977272992548712,1.23697084280584E-06,0.25,0.3,1.07985636874993,-29.1467309770096,19.8090844159605,,,316668324.298788,-2736.35642117802,21865.309530735,132080,1936,ok,
AAPL,Period3,best1bin,1.29966633518409E-06,0.933592351141137,9.81073280853645E-06,0.256172028932581,0.597690488374279,0.299994955587537,0.0000015,0.881168026728379,0.00001,0.25,0.3,1.13774017530704,-24.8918826604539,21.1532131152532,,,37729065.7521152,-959.799156441756,6218.69332146645,73793,904,ok,
ABT,Period1,best1bin,0.000001,0.99,1.30036161977945E-06,0.25,0.3,0.1,0.000001,0.99,1.30036161977945E-06,0.25,0.3,1.06423681575235,,,,,,,13333.8530187607,3753,307,ok,
ABT,Period2,best1bin,1.0527349436234E-06,0.958110673758495,8.3755405477337E-06,0.258332976069124,0.529532472189975,0.299992972235354,0.0000015,0.960980524056924,3.89430579569541E-06,0.25,0.3,1.12477403458187,-22.688020886885,14.6535310153272,,,12534688.5576042,-3609.9728214149,1682.19553017616,12943,1205,ok,
ABT,Period3,best1bin,1.10485436645697E-06,0.98171549668992,9.81211519538628E-06,0.255300945916251,0.32289072633557,0.299994377580105,0.0000015,0.723873272614239,0.00001,0.25,0.3,1.06451975588895,-20.1986302480828,14.3637361242474,-3.01366816854779,25.1313854959636,3610349.44228539,1820.44104708118,1060.2828578949,7424,805,ok,
ADBE,Period1,best1bin,1.39538220161252E-06,0.989428531364785,8.84624061969116E-06,0.373310378113554,0.351437068336015,0.299994742682675,0.0000015,0.845327118329981,0.00001,0.25,0.3,1.11437761560737,-20.2918725979515,10.9192768589097,-5.01788754878187,16.1586869762867,3782653.4755209,4958.92258020938,509.914670228958,3798,252,ok,
ADBE,Period2,best1bin,1.19268569485516E-06,0.986658768414471,7.6613962215086E-06,0.258087999869521,0.382656237237272,0.299997954625032,0.0000015,0.977809490601582,2.59363328289987E-06,0.25,0.3,1.08927991669842,-20.5082673029516,18.5581791201383,,,4214888.31265306,-2017.34209656551,2105.02110242844,18275,1110,ok,
ADBE,Period3,best1bin,1.39898514045607E-06,0.981171049376026,9.16388934012583E-06,0.487682799959217,0.308856608463148,0.29999537881845,0.0000015,0.80431472338747,0.00001,0.25,0.3,1.13838637825081,-22.2506004351822,17.4600554454595,-4.18564759620541,24.5885870548357,10072305.8196182,3270.91093372851,4242.02820110321,20788,894,ok,
ADI,Period1,best1bin,1.42941950462248E-06,0.989552519383228,8.79427276609641E-06,0.452646091893681,0.340541819266806,0.29999968944153,0.0000015,0.937871941754116,0.00001,0.25,0.3,1.140206737339,-17.6313911543663,7.99100015810086,-1.36299321842566,20.5096881674338,1000185.03633597,797.511782793722,261.488069295883,1242,283,ok,
