securityid,date,symbol,symbolflag,strike,expiration,callput,bestbid,bestoffer,lasttradedate,volume,openinterest,specialsettlement,impliedvolatility,delta,gamma,vega,theta,optionid,adjustmentfactor,amsettlement,contractsize,expiryindicator
109497,1996-01-04,"09896.89             ",0,45000,1996-02-17,P,0.4375,0.6875,NULL,0,14,0,0.185523,-0.294086,0.118652,5.509518,-3.564437,10000009,1,0,100," "
109497,1996-01-04,"09D0A.30             ",0,35000,1996-02-17,C,11.125,11.875,NULL,0,48,0,0.337851,0.993684,0.003286,0.285749,-2.35555,10291760,1,0,100," "
109497,1996-01-04,"09FC4.22             ",0,50000,1996-01-20,C,0,0.125,1996-01-04,8,19,0,0.23369,0.064548,0.055755,1.219515,-3.42375,10470434,1,0,100," "
109497,1996-01-04,"0A250.96             ",0,40000,1996-02-17,C,6.375,6.875,NULL,0,238,0,0.278333,0.947547,0.023986,1.720851,-4.097273,10637462,1,0,100," "
109497,1996-01-04,"0A2CA.D7             ",0,45000,1996-05-18,C,2.875,3.25,1996-01-04,20,299,0,0.175469,0.675583,0.072296,10.03974,-3.935235,10668759,1,0,100," "
109497,1996-01-04,"0A457.34             ",0,45000,1996-02-17,C,2,2.25,NULL,0,184,0,0.188653,0.710618,0.112844,5.491545,-6.038944,10770228,1,0,100," "
109497,1996-01-04,"0A601.3A             ",0,40000,1996-01-20,P,0,0.25,NULL,0,0,0,0.471026,-0.061102,0.026534,1.171172,-6.127569,10879290,1,0,100," "
109497,1996-01-04,"0A6D3.F1             ",0,45000,1996-08-17,C,3.75,4.125,NULL,0,9,0,0.185054,0.662466,0.053457,13.1056,-3.396786,10933233,1,0,100," "
109497,1996-01-04,"0A92A.4B             ",0,50000,1996-01-20,P,3.5,3.875,NULL,0,0,0,-99.99,-99.99,-99.99,-99.99,-99.99,11086411,1,0,100," "
109497,1996-01-04,"0AA36.CB             ",0,40000,1996-05-18,C,6.875,7.375,NULL,0,114,0,0.207589,0.906568,0.027648,4.536394,-3.193965,11155147,1,0,100," "
109497,1996-01-04,"0AB9C.C0             ",0,42500,1996-05-18,C,4.75,5.125,NULL,0,76,0,0.187723,0.82318,0.048344,7.177629,-3.649719,11246784,1,0,100," "
