securityid,date,bidlow,askhigh,closeprice,volume,totalreturn,adjustmentfactor,openprice,sharesoutstanding,adjustmentfactor2
109497,1996-01-02,46.25,47.5,47.375,356000,-99.99,1,46.875,242372,1
109497,1996-01-03,46.75,47.875,46.75,416300,-0.013193,1,47.125,242372,1
109497,1996-01-04,46,47.375,46.25,392500,-0.006684,1,46.5,242372,1.004054
109497,1996-01-05,45.75,46.375,46,368600,-0.005405,1,46.25,242372,1.004054
109497,1996-01-08,46,47.375,47.375,97900,0.029891,1,46,242372,1.004054
109497,1996-01-09,46.5,48.25,47,369000,-0.007916,1,47.875,242372,1.004054
109497,1996-01-10,46.125,47,46.5,319100,-0.010638,1,46.625,242372,1.004054
109497,1996-01-11,46,46.875,46.75,226500,0.005376,1,46.75,242372,1.004054
109497,1996-01-12,45.625,46.875,46.5,381300,-0.005348,1,46.875,242372,1.004054
109497,1996-01-15,45.625,46.5,46.5,335000,0,1,46.375,242372,1.004054
109497,1996-01-16,46,46.875,46.875,238600,0.008065,1,46.5,242372,1.004054
109497,1996-01-17,46,47.25,46,405400,-0.018667,1,46.5,242372,1.004054
109497,1996-01-18,45,46.125,45.375,331400,-0.013587,1,46,242372,1.004054
109497,1996-01-19,45.125,46.875,46.5,572800,0.024793,1,45.125,242372,1.004054
109497,1996-01-22,46,47.25,46.25,645400,-0.005376,1,47.25,242372,1.004054
109497,1996-01-23,46,46.875,46.75,465700,0.010811,1,46.375,242372,1.004054
109497,1996-01-24,46.75,47.875,47.625,256600,0.018717,1,46.75,242372,1.004054
109497,1996-01-25,46.875,48,47.125,379800,-0.010499,1,47.5,242372,1.004054
109497,1996-01-26,47.375,48,47.5,529400,0.007958,1,47.875,242372,1.004054
109497,1996-01-29,47,47.875,47.5,439400,0,1,47.375,242372,1.004054
109497,1996-01-30,47.25,48.875,48.875,601100,0.028947,1,47.625,242372,1.004054
109497,1996-01-31,48.375,49.125,49.125,356700,0.005115,1,48.875,242372,1.004054
109497,1996-02-01,48.375,49.75,48.5,477700,-0.012723,1,49.75,242372,1.004054
109497,1996-02-02,48.25,49.375,48.875,589000,0.007732,1,48.5,242372,1.004054
109497,1996-02-05,48.75,50,49.375,413600,0.01023,1,48.75,242372,1.004054
109497,1996-02-06,49,50,49.875,496300,0.010127,1,49.375,242372,1.004054
