date,days,rate
1996-01-02,9,5.763067
1996-01-02,15,5.745902
1996-01-02,50,5.673317
1996-01-02,78,5.608884
1996-01-02,169,5.473762
1996-01-02,260,5.352667
1996-01-02,351,5.276194
1996-01-02,442,5.249759
1996-01-02,533,5.235769
1996-01-02,624,5.243372
1996-01-02,715,5.26432
1996-01-02,806,5.297475
1996-01-02,897,5.327961
1996-01-02,988,5.361118
1996-01-02,1079,5.394583
1996-01-02,1170,5.432169
1996-01-02,1261,5.465051
1996-01-02,1352,5.497541
1996-01-02,1443,5.529714
1996-01-02,1534,5.563993
1996-01-02,1632,5.596421
1996-01-02,1723,5.626581
1996-01-02,1814,5.655719
1996-01-02,1905,5.686364
1996-01-02,1996,5.714215
1996-01-02,2087,5.741378
1996-01-02,2178,5.767939
1996-01-02,2269,5.795171
1996-01-02,2360,5.819918
1996-01-02,2451,5.844309
1996-01-02,2542,5.868739
1996-01-02,2633,5.893894
1996-01-02,2724,5.917035
1996-01-02,2815,5.939969
1996-01-02,2906,5.962716
1996-01-02,2997,5.986201
1996-01-02,3088,6.008008
1996-01-02,3179,6.029708
1996-01-02,3270,6.051033
1996-01-02,3361,6.073362
1996-01-02,3452,6.094251
1996-01-02,3550,6.116799
1996-01-02,3641,6.138008
1996-01-03,9,5.763067
1996-01-03,14,5.747397
1996-01-03,49,5.672263
1996-01-03,77,5.603705
1996-01-03,168,5.470584
1996-01-03,259,5.346621
1996-01-03,350,5.266295
1996-01-03,441,5.235646
1996-01-03,532,5.218907
1996-01-03,623,5.221677
1996-01-03,714,5.23777
1996-01-03,805,5.268315
1996-01-03,896,5.297734
1996-01-03,987,5.330025
1996-01-03,1078,5.363615
1996-01-03,1169,5.40131
1996-01-03,1260,5.434282
1996-01-03,1351,5.466851
1996-01-03,1442,5.499091
1996-01-03,1533,5.533432
1996-01-03,1631,5.566517
1996-01-03,1722,5.59722
1996-01-03,1813,5.626845
1996-01-03,1904,5.657933
1996-01-03,1995,5.686184
1996-01-03,2086,5.714148
1996-01-03,2177,5.741442
1996-01-03,2268,5.769348
1996-01-03,2359,5.794717
1996-01-03,2450,5.820054
1996-01-03,2541,5.845363
1996-01-03,2632,5.871335
1996-01-03,2723,5.895572
1996-01-03,2814,5.919531
1996-01-03,2905,5.943551
1996-01-03,2996,5.967929
1996-01-03,3087,5.990575
1996-01-03,3178,6.013067
1996-01-03,3269,6.035139
1996-01-03,3360,6.058175
1996-01-03,3451,6.079733
1996-01-03,3549,6.102963
1996-01-03,3640,6.124773
1996-01-04,11,5.72946
1996-01-04,13,5.726104
1996-01-04,48,5.664931
1996-01-04,76,5.601891
1996-01-04,167,5.468961
1996-01-04,258,5.34509
1996-01-04,349,5.264934
1996-01-04,440,5.234497
1996-01-04,531,5.219638
1996-01-04,622,5.22377
1996-01-04,713,5.239618
1996-01-04,804,5.269992
1996-01-04,895,5.299274
1996-01-04,986,5.331455
1996-01-04,1077,5.364955
1996-01-04,1168,5.402578
1996-01-04,1259,5.436207
1996-01-04,1350,5.470017
1996-01-04,1441,5.503341
1996-01-04,1532,5.538639
1996-01-04,1630,5.57263
1996-01-04,1721,5.604084
1996-01-04,1812,5.634383
1996-01-04,1903,5.666081
1996-01-04,1994,5.694886
1996-01-04,2085,5.723354
1996-01-04,2176,5.751111
1996-01-04,2267,5.779442
1996-01-04,2358,5.805587
1996-01-04,2449,5.831643
1996-01-04,2540,5.857618
1996-01-04,2631,5.884212
1996-01-04,2722,5.909027
1996-01-04,2813,5.933527
1996-01-04,2904,5.958054
1996-01-04,2995,5.982908
1996-01-04,3086,6.006002
1996-01-04,3177,6.028916
1996-01-04,3268,6.051386
1996-01-04,3359,6.074798
1996-01-04,3450,6.096713
1996-01-04,3548,6.120305
1996-01-04,3639,6.142435
1996-01-05,11,5.72946
1996-01-05,12,5.727855
1996-01-05,47,5.664076
1996-01-05,75,5.608054
1996-01-05,166,5.481913
1996-01-05,257,5.352974
1996-01-05,348,5.273144
1996-01-05,439,5.243011
1996-01-05,530,5.231818
1996-01-05,621,5.240037
1996-01-05,712,5.258942
1996-01-05,803,5.291698
1996-01-05,894,5.323891
1996-01-05,985,5.359372
1996-01-05,1076,5.395614
1996-01-05,1167,5.435553
1996-01-05,1258,5.47116
1996-01-05,1349,5.50668
1996-01-05,1440,5.542128
1996-01-05,1531,5.579298
1996-01-05,1629,5.615664
1996-01-05,1720,5.649085
1996-01-05,1811,5.681654
1996-01-05,1902,5.715404
1996-01-05,1993,5.746072
1996-01-05,2084,5.776241
1996-01-05,2175,5.805554
1996-01-05,2266,5.835318
1996-01-05,2357,5.862783
1996-01-05,2448,5.890431
1996-01-05,2539,5.917527
1996-01-05,2630,5.945162
1996-01-05,2721,5.971283
1996-01-05,2812,5.997327
1996-01-05,2903,6.0233
1996-01-05,2994,6.049814
1996-01-05,3085,6.074471
1996-01-05,3176,6.098856
1996-01-05,3267,6.122716
1996-01-05,3358,6.147443
1996-01-05,3449,6.170602
1996-01-05,3547,6.195458
1996-01-05,3638,6.218705
1996-01-08,9,5.698918
1996-01-08,35,5.687564
1996-01-08,44,5.683618
1996-01-08,72,5.617662
1996-01-08,163,5.48942
1996-01-08,254,5.359855
1996-01-08,345,5.277515
1996-01-08,436,5.248352
1996-01-08,527,5.236173
1996-01-08,618,5.243791
1996-01-08,709,5.262294
1996-01-08,800,5.294791
1996-01-08,891,5.326777
1996-01-08,982,5.362099
1996-01-08,1073,5.398211
1996-01-08,1164,5.43805
1996-01-08,1255,5.473561
1996-01-08,1346,5.508998
1996-01-08,1437,5.544373
1996-01-08,1528,5.581482
1996-01-08,1626,5.617784
1996-01-08,1717,5.65115
1996-01-08,1808,5.68367
1996-01-08,1899,5.717377
1996-01-08,1990,5.748001
1996-01-08,2081,5.778128
1996-01-08,2172,5.807403
1996-01-08,2263,5.837132
1996-01-08,2354,5.864562
1996-01-08,2445,5.892178
1996-01-08,2536,5.919243
1996-01-08,2627,5.946851
1996-01-08,2718,5.972944
1996-01-08,2809,5.998961
1996-01-08,2900,6.02491
1996-01-08,2991,6.051402
1996-01-08,3082,6.076036
1996-01-08,3173,6.1004
1996-01-08,3264,6.124238
1996-01-08,3355,6.148946
1996-01-08,3446,6.172086
1996-01-08,3544,6.196922
1996-01-08,3635,6.220151
1996-01-09,9,5.730387
1996-01-09,34,5.687967
1996-01-09,43,5.684059
1996-01-09,71,5.613018
1996-01-09,162,5.486594
1996-01-09,253,5.350332
1996-01-09,344,5.267624
1996-01-09,435,5.238368
1996-01-09,526,5.226162
1996-01-09,617,5.233793
1996-01-09,708,5.253608
1996-01-09,799,5.287134
1996-01-09,890,5.319939
1996-01-09,981,5.355931
1996-01-09,1072,5.3926
1996-01-09,1163,5.432913
1996-01-09,1254,5.46955
1996-01-09,1345,5.50596
1996-01-09,1436,5.542186
1996-01-09,1527,5.580044
1996-01-09,1625,5.617057
1996-01-09,1716,5.65101
1996-01-09,1807,5.684057
1996-01-09,1898,5.718242
1996-01-09,1989,5.749298
1996-01-09,2080,5.77982
1996-01-09,2171,5.809456
1996-01-09,2262,5.839918
1996-01-09,2353,5.868023
1996-01-09,2444,5.896264
1996-01-09,2535,5.923909
1996-01-09,2626,5.952057
1996-01-09,2717,5.978653
1996-01-09,2808,6.005141
1996-01-09,2899,6.03153
1996-01-09,2990,6.058436
1996-01-09,3081,6.083459
1996-01-09,3172,6.108189
1996-01-09,3263,6.132374
1996-01-09,3354,6.157409
1996-01-09,3445,6.180858
1996-01-09,3543,6.206009
1996-01-09,3634,6.229516
1996-01-10,9,5.698918
1996-01-10,33,5.688488
1996-01-10,42,5.684501
1996-01-10,70,5.624384
1996-01-10,161,5.507712
1996-01-10,252,5.381357
1996-01-10,343,5.303457
1996-01-10,434,5.279213
1996-01-10,525,5.272048
1996-01-10,616,5.284737
1996-01-10,707,5.309609
1996-01-10,798,5.348194
1996-01-10,889,5.385018
1996-01-10,980,5.425213
1996-01-10,1071,5.466217
1996-01-10,1162,5.510969
1996-01-10,1253,5.551396
1996-01-10,1344,5.591082
1996-01-10,1435,5.630166
1996-01-10,1526,5.670542
1996-01-10,1624,5.710539
1996-01-10,1715,5.746966
1996-01-10,1806,5.782236
1996-01-10,1897,5.818907
1996-01-10,1988,5.852678
1996-01-10,2079,5.885676
1996-01-10,2170,5.917996
1996-01-10,2261,5.950926
1996-01-10,2352,5.981693
1996-01-10,2443,6.012397
1996-01-10,2534,6.042327
1996-01-10,2625,6.0726
1996-01-10,2716,6.101178
1996-01-10,2807,6.129519
1996-01-10,2898,6.157644
