S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
46.25,9.72972972972973,0.00015539512876712328,44,0,0.0,0.0,0.0,0.0,0.0,0.185523,0.5625
46.25,7.5675675675675675,0.00015539512876712328,44,1,0.0,0.0,0.0,0.0,0.0,0.337851,11.5
46.25,8.64864864864865,0.00015539512876712328,44,1,0.0,0.0,0.0,0.0,0.0,0.278333,6.625
46.25,9.72972972972973,0.00015111522233930455,135,1,0.0,0.0,0.0,0.0,0.0,0.175469,3.0625
46.25,9.72972972972973,0.00015539512876712328,44,1,0.0,0.0,0.0,0.0,0.0,0.188653,2.125
46.25,9.72972972972973,0.00014763422008128856,226,1,0.0,0.0,0.0,0.0,0.0,0.185054,3.9375
46.25,8.64864864864865,0.00015111522233930455,135,1,0.0,0.0,0.0,0.0,0.0,0.207589,7.125
46.25,9.18918918918919,0.00015111522233930455,135,1,0.0,0.0,0.0,0.0,0.0,0.187723,4.9375
46.25,9.72972972972973,0.00015673590684931507,16,1,0.0,0.0,0.0,0.0,0.0,0.198718,1.625
46.25,10.81081081081081,0.00015111522233930455,135,1,0.0,0.0,0.0,0.0,0.0,0.167844,0.8125
46.25,10.81081081081081,0.00014763422008128856,226,1,0.0,0.0,0.0,0.0,0.0,0.172715,1.5
46.25,8.64864864864865,0.00014763422008128856,226,1,0.0,0.0,0.0,0.0,0.0,0.195523,7.625
46.25,9.18918918918919,0.00015539512876712328,44,1,0.0,0.0,0.0,0.0,0.0,0.204947,4.1875
46.25,8.64864864864865,0.00015673590684931507,16,1,0.0,0.0,0.0,0.0,0.0,0.348261,6.375
46.0,9.782608695652174,0.0001553798637964775,43,0,0.0,0.0,0.0,0.0,0.0,0.179139,0.59375
46.0,7.608695652173913,0.0001553798637964775,43,1,0.0,0.0,0.0,0.0,0.0,0.352405,11.25
46.0,9.782608695652174,0.00015140466506096642,134,1,0.0,0.0,0.0,0.0,0.0,0.183633,2.96875
46.0,9.782608695652174,0.0001553798637964775,43,1,0.0,0.0,0.0,0.0,0.0,0.178105,1.875
46.0,9.782608695652174,0.0001478990462140599,225,1,0.0,0.0,0.0,0.0,0.0,0.179214,3.6875
46.0,10.869565217391305,0.00015677775968688844,15,0,0.0,0.0,0.0,0.0,0.0,0.305495,4.0625
46.0,8.695652173913043,0.00015140466506096642,134,1,0.0,0.0,0.0,0.0,0.0,0.173138,6.75
46.0,9.23913043478261,0.00015140466506096642,134,1,0.0,0.0,0.0,0.0,0.0,0.182818,4.6875
46.0,9.782608695652174,0.00015677775968688844,15,1,0.0,0.0,0.0,0.0,0.0,0.186332,1.375
46.0,10.869565217391305,0.00015140466506096642,134,1,0.0,0.0,0.0,0.0,0.0,0.166064,0.71875
46.0,10.869565217391305,0.0001478990462140599,225,1,0.0,0.0,0.0,0.0,0.0,0.170712,1.375
46.0,8.695652173913043,0.0001478990462140599,225,1,0.0,0.0,0.0,0.0,0.0,0.192185,7.375
46.0,9.23913043478261,0.0001553798637964775,43,1,0.0,0.0,0.0,0.0,0.0,0.138485,3.8125
46.0,8.152173913043478,0.0001553798637964775,43,1,0.0,0.0,0.0,0.0,0.0,0.18413,8.75
46.0,8.695652173913043,0.00015677775968688844,15,1,0.0,0.0,0.0,0.0,0.0,0.361022,6.125
47.375,9.49868073878628,0.00015576361035007612,40,0,0.0,0.0,0.0,0.0,0.0,0.188734,0.28125
47.375,9.49868073878628,0.00015163057775101612,131,1,0.0,0.0,0.0,0.0,0.0,0.173598,3.8125
47.375,9.49868073878628,0.00015576361035007612,40,1,0.0,0.0,0.0,0.0,0.0,0.146062,2.78125
47.375,9.49868073878628,0.0001480935977720909,222,1,0.0,0.0,0.0,0.0,0.0,0.174728,4.5625
47.375,10.554089709762533,0.00015609884720758693,12,0,0.0,0.0,0.0,0.0,0.0,0.293533,2.78125
47.375,8.970976253298153,0.00015163057775101612,131,1,0.0,0.0,0.0,0.0,0.0,0.166944,5.75
47.375,10.554089709762533,0.00015163057775101612,131,1,0.0,0.0,0.0,0.0,0.0,0.16546,1.125
47.375,10.554089709762533,0.0001480935977720909,222,1,0.0,0.0,0.0,0.0,0.0,0.164688,1.8125
47.375,8.443271767810026,0.0001480935977720909,222,1,0.0,0.0,0.0,0.0,0.0,0.175722,8.5
47.375,9.49868073878628,0.00015163057775101612,131,0,0.0,0.0,0.0,0.0,0.0,0.188613,0.90625
47.0,9.574468085106384,0.0001557752298325723,39,0,0.0,0.0,0.0,0.0,0.0,0.181551,0.3125
47.0,9.574468085106384,0.00015153563811530935,130,1,0.0,0.0,0.0,0.0,0.0,0.178022,3.5625
47.0,9.574468085106384,0.0001557752298325723,39,1,0.0,0.0,0.0,0.0,0.0,0.161806,2.5
47.0,9.574468085106384,0.0001478972139093783,221,1,0.0,0.0,0.0,0.0,0.0,0.177361,4.3125
47.0,10.638297872340425,0.00015690392876712328,11,0,0.0,0.0,0.0,0.0,0.0,0.276493,3.0625
47.0,8.51063829787234,0.00015153563811530935,130,1,0.0,0.0,0.0,0.0,0.0,0.148308,7.625
47.0,9.042553191489361,0.00015153563811530935,130,1,0.0,0.0,0.0,0.0,0.0,0.16116,5.375
47.0,10.638297872340425,0.00015153563811530935,130,1,0.0,0.0,0.0,0.0,0.0,0.167101,1.0
47.0,10.638297872340425,0.0001478972139093783,221,1,0.0,0.0,0.0,0.0,0.0,0.167699,1.6875
47.0,8.51063829787234,0.0001478972139093783,221,1,0.0,0.0,0.0,0.0,0.0,0.172112,8.125
47.0,9.574468085106384,0.00015153563811530935,130,0,0.0,0.0,0.0,0.0,0.0,0.181343,0.9375
46.5,9.67741935483871,0.000155788301369863,38,0,0.0,0.0,0.0,0.0,0.0,0.186251,0.4375
46.5,7.526881720430108,0.000155788301369863,38,1,0.0,0.0,0.0,0.0,0.0,0.440482,11.75
46.5,8.602150537634408,0.000155788301369863,38,1,0.0,0.0,0.0,0.0,0.0,0.218301,6.75
46.5,9.67741935483871,0.0001520202607255758,129,1,0.0,0.0,0.0,0.0,0.0,0.177023,3.1875
46.5,9.67741935483871,0.000155788301369863,38,1,0.0,0.0,0.0,0.0,0.0,0.184564,2.1875
46.5,9.67741935483871,0.00014865176787595967,220,1,0.0,0.0,0.0,0.0,0.0,0.185558,4.0625
46.5,8.602150537634408,0.0001520202607255758,129,1,0.0,0.0,0.0,0.0,0.0,0.192921,7.25
46.5,9.13978494623656,0.0001520202607255758,129,1,0.0,0.0,0.0,0.0,0.0,0.183528,5.0625
46.5,9.67741935483871,0.00015612283333333335,10,1,0.0,0.0,0.0,0.0,0.0,0.200016,1.6875
46.5,10.75268817204301,0.0001520202607255758,129,1,0.0,0.0,0.0,0.0,0.0,0.171522,0.875
46.5,10.75268817204301,0.00014865176787595967,220,1,0.0,0.0,0.0,0.0,0.0,0.173433,1.5625
46.5,8.602150537634408,0.00014865176787595967,220,1,0.0,0.0,0.0,0.0,0.0,0.186849,7.75
46.5,9.13978494623656,0.000155788301369863,38,1,0.0,0.0,0.0,0.0,0.0,0.185671,4.3125
46.5,8.064516129032258,0.000155788301369863,38,1,0.0,0.0,0.0,0.0,0.0,0.326783,9.25
46.5,9.67741935483871,0.0001520202607255758,129,0,0.0,0.0,0.0,0.0,0.0,0.179089,1.0625
46.5,8.602150537634408,0.00015612283333333335,10,1,0.0,0.0,0.0,0.0,0.0,0.528529,6.625
46.75,9.62566844919786,0.0001557997168949772,37,0,0.0,0.0,0.0,0.0,0.0,0.187924,0.375
46.75,9.62566844919786,0.0001518248502182749,128,1,0.0,0.0,0.0,0.0,0.0,0.172809,3.3125
46.75,9.62566844919786,0.0001557997168949772,37,1,0.0,0.0,0.0,0.0,0.0,0.172921,2.3125
