S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
164.059883,0.34906358085106387,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,-99.989998,9.1999998
164.059883,0.32811976600000003,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,-99.989998,6.20000005
164.059883,0.29829069636363637,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.170718,1.8
164.059883,0.31249501523809525,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.207376,3.9
164.059883,0.28532153565217394,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.153936,0.5
164.059883,0.34906358085106387,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.28152999,0.0250000005
164.059883,0.3417914229166667,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.28171301,0.05
164.059883,0.3645775177777778,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.34071499,0.0250000005
164.059883,0.32811976600000003,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.23664901,0.0750000005
164.059883,0.29829069636363637,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.173362,0.650000005
164.059883,0.31249501523809525,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.19875,0.20000000499999998
164.059883,0.28532153565217394,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.15622,1.85
164.059883,0.2734331383333334,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.148818,0.0750000005
164.059883,0.4101497075,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.27655199,16.5
164.059883,0.32811976600000003,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.218658,7.79999995
164.059883,0.29829069636363637,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.205507,4.64999985
164.059883,0.2734331383333334,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.191806,2.3999999499999998
164.059883,0.25239982,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.183277,1.1
164.059883,0.23437126142857145,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.17761301,0.45000000500000004
164.059883,0.19301162705882355,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.190143,0.05
164.059883,0.1822887588888889,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.211061,0.05
164.059883,0.4687425228571429,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.286971,0.32499999999999996
164.059883,0.4101497075,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.26238099,0.69999999
164.059883,0.3645775177777778,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.24371301,1.45
164.059883,0.32811976600000003,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.224612,2.70000005
164.059883,0.29829069636363637,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.206375,4.64999985
164.059883,0.2734331383333334,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.19175699,7.5
164.1766516,0.3283533032,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.251901,6.29999995
164.1766516,0.29850300290909093,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.17463399,1.8250000000000002
164.1766516,0.31271743161904764,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.202801,3.9
164.1766516,0.2855246114782609,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.15504301,0.5
164.1766516,0.3283533032,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.24112201,0.0750000005
164.1766516,0.29850300290909093,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.173236,0.625
164.1766516,0.31271743161904764,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.194925,0.17500000500000001
164.1766516,0.2855246114782609,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.15289301,1.8
164.1766516,0.27362775266666667,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.15042201,0.0750000005
164.1766516,0.27362775266666667,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.155623,3.9
164.1766516,0.41044162900000003,0.005224085604395604,367,1,0.0,0.0,0.0,0.0,0.0,0.220456,16.3
164.1766516,0.3648370035555556,0.005224085604395604,367,1,0.0,0.0,0.0,0.0,0.0,0.23202799,11.8
164.1766516,0.3283533032,0.005224085604395604,367,1,0.0,0.0,0.0,0.0,0.0,0.217608,7.79999995
164.1766516,0.29850300290909093,0.005224085604395604,367,1,0.0,0.0,0.0,0.0,0.0,0.20271701,4.5999999
164.1766516,0.27362775266666667,0.005224085604395604,367,1,0.0,0.0,0.0,0.0,0.0,0.191567,2.3999999499999998
164.1766516,0.25257946400000003,0.005224085604395604,367,1,0.0,0.0,0.0,0.0,0.0,0.183175,1.1
164.1766516,0.23453807371428573,0.005224085604395604,367,1,0.0,0.0,0.0,0.0,0.0,0.17757601,0.45000000500000004
164.1766516,0.5472555053333333,0.005224085604395604,367,0,0.0,0.0,0.0,0.0,0.0,0.31948799,0.15000000000000002
