S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
132.75866625,0.4425288875,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.29960001,0.80000001
132.75866625,0.4827587863636364,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.330538,2.3500000500000002
132.75866625,0.40848820384615386,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.281506,0.15000000000000002
132.75866625,0.4425288875,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.29984999,1.35
132.75866625,0.37931047500000004,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.333179,5.5999999
132.75866625,0.37931047500000004,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.25010201,0.999999995
132.75866625,0.4827587863636364,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.28826401,4.0
132.75866625,0.5900385166666667,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.322065,1.05
130.32603375,0.521304135,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.34526801,4.0
130.32603375,0.43442011249999996,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.301662,0.575000015
130.32603375,0.47391285,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.32106099,1.9
130.32603375,0.43442011249999996,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.30191699,1.6749999999999998
130.32603375,0.47391285,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.330908,0.525000005
130.32603375,0.521304135,0.005224085604395604,367,0,0.0,0.0,0.0,0.0,0.0,0.30172801,1.8250000000000002
130.9116675,0.436372225,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.31155899,0.650000005
130.9116675,0.4760424272727272,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.33842,2.04999995
130.9116675,0.436372225,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.300587,1.55
130.9116675,0.40280513076923075,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.25752401,3.5
130.9116675,0.3740333357142857,0.005042444395604395,366,1,0.0,0.0,0.0,0.0,0.0,0.26126,0.999999995
130.9116675,0.6545583374999999,0.005042444395604395,366,0,0.0,0.0,0.0,0.0,0.0,0.343362,0.650000005
