S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
367.4510884,0.7655231008333333,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.32512701,4.5999999
367.4510884,0.668092888,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.242899,0.47500001000000003
367.4510884,0.7499001804081633,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.295847,3.6999999499999996
367.4510884,0.6124184806666667,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.233209,0.0250000005
367.4510884,0.8962221668292683,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,-99.989998,10.850000000000001
367.4510884,0.8165579742222222,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,-99.989998,7.0
367.4510884,0.7988067139130435,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.32349101,6.29999995
367.4510884,0.7349021768,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.28317401,2.92499995
367.4510884,0.7655231008333333,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.31227499,0.525000005
367.4510884,0.668092888,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.24050599,3.6
367.4510884,0.7499001804081633,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.29674101,0.69999999
367.4510884,0.8165579742222222,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.36144701,0.225
367.4510884,0.83511611,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.36735499,0.15000000000000002
367.4510884,0.7988067139130435,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.34559599,0.29999999499999996
367.4510884,0.7349021768,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.28928101,0.974999995
367.4510884,0.7818108263829787,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.32985699,0.39999998999999997
367.4510884,1.2248369613333334,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,-99.989998,21.799999
367.4510884,0.8165579742222222,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.30560899,9.4000001
367.4510884,0.7349021768,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.294469,6.4499998
367.4510884,0.668092888,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.277022,4.0500001
367.4510884,0.6124184806666667,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.26677299,2.425
367.4510884,1.0498602525714287,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.36730099,1.25
367.4510884,0.918627721,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.335078,2.1000000500000002
367.4510884,0.48993478453333333,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.25399601,24.5
367.4510884,2.9396087072,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.60137802,0.05
367.4510884,2.0997205051428574,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.50939399,0.10000000549999999
367.4510884,1.6331159484444444,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.46421099,0.25000000499999997
360.7509246,0.7515644262500001,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.305655,3.6999999499999996
360.7509246,0.655910772,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.25177199,0.29999999499999996
360.7509246,0.7215018492,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.28154001,2.2250000500000002
360.7509246,0.7515644262500001,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.307291,0.69999999
360.7509246,0.655910772,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.25071099,4.45000005
360.7509246,1.0020859016666668,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.51891297,0.0250000005
360.7509246,0.8016687213333333,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.3398,0.25000000499999997
360.7509246,0.819888465,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.363608,0.20000000499999998
360.7509246,0.7842411404347827,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.326783,0.35000001000000003
360.7509246,0.7215018492,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.28677899,1.3
360.7509246,0.7675551587234043,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.31723899,0.5
360.7509246,0.8589307728571429,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.389099,0.10000000549999999
360.7509246,0.9018773115000001,0.005224085604395604,367,1,0.0,0.0,0.0,0.0,0.0,0.33127901,12.5
360.7509246,0.8016687213333333,0.005224085604395604,367,1,0.0,0.0,0.0,0.0,0.0,0.30772001,8.8499999
360.7509246,0.7215018492,0.005224085604395604,367,1,0.0,0.0,0.0,0.0,0.0,0.29259199,5.95000005
360.7509246,0.601251541,0.005224085604395604,367,1,0.0,0.0,0.0,0.0,0.0,0.27035001,2.25
360.7509246,1.0307169274285715,0.005224085604395604,367,0,0.0,0.0,0.0,0.0,0.0,0.36157799,1.275
360.7509246,0.9018773115000001,0.005224085604395604,367,0,0.0,0.0,0.0,0.0,0.0,0.334187,2.2250000500000002
355.95501788,0.6471909416,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.26907301,0.25000000499999997
355.95501788,0.726438812,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.30519801,2.5249999499999998
355.95501788,0.7910111508444445,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.35107699,5.75
355.95501788,0.71191003576,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.29556,1.9
355.95501788,0.7415729539166667,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.32371399,0.92500001
355.95501788,0.726438812,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.314971,1.25
355.95501788,0.7910111508444445,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.35541201,0.35000001000000003
355.95501788,0.7738152562608696,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.347213,0.5
355.95501788,0.71191003576,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.30514199,1.65
355.95501788,0.7573511018723404,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.3276,0.650000005
355.95501788,0.7910111508444445,0.005042444395604395,366,1,0.0,0.0,0.0,0.0,0.0,0.306566,8.4500003
355.95501788,0.71191003576,0.005042444395604395,366,1,0.0,0.0,0.0,0.0,0.0,0.28982401,5.5999999
355.95501788,0.6471909416,0.005042444395604395,366,1,0.0,0.0,0.0,0.0,0.0,0.28028101,3.5500000500000004
355.95501788,0.5932583631333334,0.005042444395604395,366,1,0.0,0.0,0.0,0.0,0.0,0.26752701,2.05000005
355.95501788,0.5085071684,0.005042444395604395,366,1,0.0,0.0,0.0,0.0,0.0,0.25621,0.625
355.95501788,0.7910111508444445,0.005042444395604395,366,0,0.0,0.0,0.0,0.0,0.0,0.315418,3.89999995
355.95501788,0.71191003576,0.005042444395604395,366,0,0.0,0.0,0.0,0.0,0.0,0.29590699,6.0500002
346.2926764,0.7214430758333333,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.333222,2.375
346.2926764,0.629623048,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.280121,0.125000005
346.2926764,0.706719747755102,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.32098499,1.775
346.2926764,0.9112965168421053,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.66702998,11.4
346.2926764,0.7528101660869565,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.35564601,3.8000000500000004
346.2926764,0.6925853528,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.31081301,1.275
