S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
15.839533087999998,0.03105790801568627,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.19900499,1.5750000000000002
15.839533087999998,0.029885911486792448,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.18624,0.5900000000000001
15.839533087999998,0.028799151069090905,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.17856,0.15000000000000002
15.839533087999998,0.02828488051428571,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.179041,0.0699999985
15.729366319999999,0.030841894745098037,0.01728078057142857,32,0,0.0,0.0,0.0,0.0,0.0,0.184885,0.960000015
15.640620868,0.029510605411320754,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.18974701,0.43000001
15.824232147999998,0.02985704178867924,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.17731,0.5399999950000001
15.824232147999998,0.029304133607407405,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.192384,0.35999999
15.824232147999998,0.031027906172549018,0.016949128333333334,30,0,0.0,0.0,0.0,0.0,0.0,0.191128,0.7999999799999999
15.824232147999998,0.030431215669230766,0.016949128333333334,30,0,0.0,0.0,0.0,0.0,0.0,0.19196001,1.28499995
15.998662864,0.030186156347169812,0.016955843333333335,29,1,0.0,0.0,0.0,0.0,0.0,0.18068001,0.734999985
15.922158163999999,0.03004180785660377,0.01684587875,28,1,0.0,0.0,0.0,0.0,0.0,0.186993,0.6649999900000001
16.102709255999997,0.030382470294339617,0.017024108333333333,32,1,0.0,0.0,0.0,0.0,0.0,0.240172,1.28
16.102709255999997,0.04025677313999999,0.016871812197802198,368,1,0.0,0.0,0.0,0.0,0.0,0.25137901,13.125
16.102709255999997,0.038339783942857135,0.016871812197802198,368,1,0.0,0.0,0.0,0.0,0.0,0.233806,11.274999999999999
16.102709255999997,0.03578379834666666,0.016871812197802198,368,1,0.0,0.0,0.0,0.0,0.0,0.22837301,8.9000001
16.102709255999997,0.030671827154285708,0.016871812197802198,368,1,0.0,0.0,0.0,0.0,0.0,0.23323999,4.64999985
16.102709255999997,0.04025677313999999,0.016871812197802198,368,0,0.0,0.0,0.0,0.0,0.0,0.256203,0.930000005
16.102709255999997,0.038339783942857135,0.016871812197802198,368,0,0.0,0.0,0.0,0.0,0.0,0.25088599,1.2850000000000001
16.102709255999997,0.03578379834666666,0.016871812197802198,368,0,0.0,0.0,0.0,0.0,0.0,0.24372999,2.005
16.017023992,0.03080196921538461,0.01691604,31,1,0.0,0.0,0.0,0.0,0.0,0.25974399,1.78999995
16.017023992,0.030220799984905657,0.01691604,31,1,0.0,0.0,0.0,0.0,0.0,0.25658,1.295
16.017023992,0.02912186180363636,0.01691604,31,1,0.0,0.0,0.0,0.0,0.0,0.240739,0.5499999799999999
16.017023992,0.03268780406530612,0.01691604,31,0,0.0,0.0,0.0,0.0,0.0,0.285923,0.5
16.017023992,0.03080196921538461,0.01691604,31,0,0.0,0.0,0.0,0.0,0.0,0.249936,1.32
16.017023992,0.030220799984905657,0.01691604,31,0,0.0,0.0,0.0,0.0,0.0,0.254161,1.87
16.017023992,0.02966115554074074,0.01691604,31,0,0.0,0.0,0.0,0.0,0.0,0.232003,2.37
16.017023992,0.02912186180363636,0.01691604,31,0,0.0,0.0,0.0,0.0,0.0,0.207801,2.99
16.017023992,0.040042559979999996,0.016851285494505496,367,1,0.0,0.0,0.0,0.0,0.0,0.25451601,12.975000000000001
16.017023992,0.03813577140952381,0.016851285494505496,367,1,0.0,0.0,0.0,0.0,0.0,0.23822699,11.175
16.017023992,0.032034047983999996,0.016851285494505496,367,1,0.0,0.0,0.0,0.0,0.0,0.221507,5.54999995
16.017023992,0.030508617127619046,0.016851285494505496,367,1,0.0,0.0,0.0,0.0,0.0,0.22695699,4.45000005
16.017023992,0.02912186180363636,0.016851285494505496,367,1,0.0,0.0,0.0,0.0,0.0,0.22312,3.375
16.017023992,0.02785569389913043,0.016851285494505496,367,1,0.0,0.0,0.0,0.0,0.0,0.21551,2.4250001
16.017023992,0.026695039986666665,0.016851285494505496,367,1,0.0,0.0,0.0,0.0,0.0,0.215158,1.79500005
16.017023992,0.03813577140952381,0.016851285494505496,367,0,0.0,0.0,0.0,0.0,0.0,0.25121701,1.3
16.017023992,0.035593386648888885,0.016851285494505496,367,0,0.0,0.0,0.0,0.0,0.0,0.24201401,1.9949999000000003
16.017023992,0.034078774451063824,0.016851285494505496,367,0,0.0,0.0,0.0,0.0,0.0,0.238895,2.63999995
16.017023992,0.032034047983999996,0.016851285494505496,367,0,0.0,0.0,0.0,0.0,0.0,0.228237,3.7250000500000002
16.017023992,0.030508617127619046,0.016851285494505496,367,0,0.0,0.0,0.0,0.0,0.0,0.228402,5.0250001
15.845653464,0.030472410507692307,0.016863545833333334,30,1,0.0,0.0,0.0,0.0,0.0,0.259606,1.44
15.845653464,0.029897459366037736,0.016863545833333334,30,1,0.0,0.0,0.0,0.0,0.0,0.252321,0.984999995
15.845653464,0.02934380271111111,0.016863545833333334,30,1,0.0,0.0,0.0,0.0,0.0,0.251277,0.664999995
15.845653464,0.028810279025454546,0.016863545833333334,30,1,0.0,0.0,0.0,0.0,0.0,0.249981,0.43000001
15.845653464,0.028295809757142857,0.016863545833333334,30,1,0.0,0.0,0.0,0.0,0.0,0.243847,0.25
15.845653464,0.031069908752941175,0.016863545833333334,30,0,0.0,0.0,0.0,0.0,0.0,0.25718799,1.145
15.845653464,0.030472410507692307,0.016863545833333334,30,0,0.0,0.0,0.0,0.0,0.0,0.24819,1.5750000000000002
15.845653464,0.03961413366,0.016857384615384614,366,1,0.0,0.0,0.0,0.0,0.0,0.250671,12.425
15.845653464,0.037727746342857145,0.016857384615384614,366,1,0.0,0.0,0.0,0.0,0.0,0.24216001,10.725000000000001
15.845653464,0.030182197074285714,0.016857384615384614,366,1,0.0,0.0,0.0,0.0,0.0,0.22740901,4.1500001
15.845653464,0.03961413366,0.016857384615384614,366,0,0.0,0.0,0.0,0.0,0.0,0.259253,1.04500005
15.845653464,0.037727746342857145,0.016857384615384614,366,0,0.0,0.0,0.0,0.0,0.0,0.250727,1.39
15.845653464,0.035212563253333336,0.016857384615384614,366,0,0.0,0.0,0.0,0.0,0.0,0.24086,2.115
15.845653464,0.03371415630638298,0.016857384615384614,366,0,0.0,0.0,0.0,0.0,0.0,0.236241,2.7650001
15.845653464,0.031691306928,0.016857384615384614,366,0,0.0,0.0,0.0,0.0,0.0,0.229361,3.9749999000000003
15.845653464,0.030182197074285714,0.016857384615384614,366,0,0.0,0.0,0.0,0.0,0.0,0.21837901,5.0999999
16.023144368,0.029672489570370372,0.0167118575,29,1,0.0,0.0,0.0,0.0,0.0,0.246583,0.819999995
16.023144368,0.04005786092,0.016848126043956045,365,1,0.0,0.0,0.0,0.0,0.0,0.244886,12.9
16.023144368,0.038150343733333335,0.016848126043956045,365,1,0.0,0.0,0.0,0.0,0.0,0.237911,11.175
16.023144368,0.026705240613333334,0.016848126043956045,365,1,0.0,0.0,0.0,0.0,0.0,0.21625,1.81
16.023144368,0.04005786092,0.016848126043956045,365,0,0.0,0.0,0.0,0.0,0.0,0.25643799,0.93000001
16.023144368,0.038150343733333335,0.016848126043956045,365,0,0.0,0.0,0.0,0.0,0.0,0.24669901,1.23
