S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
394.41496752,0.3286791396,0.01733742777777778,186,1,0.0,0.0,0.0,0.0,0.0,0.158823,2.925
394.41496752,0.3756333024,0.016871812197802198,368,1,0.0,0.0,0.0,0.0,0.0,0.194226,13.9
394.41496752,0.3286791396,0.016871812197802198,368,1,0.0,0.0,0.0,0.0,0.0,0.17374,5.5749998
394.41496752,0.3585590613818182,0.016871812197802198,368,0,0.0,0.0,0.0,0.0,0.0,0.189485,6.47500015
392.0721812,0.3920721812,0.017331445714285715,185,1,0.0,0.0,0.0,0.0,0.0,0.200101,15.175
392.0721812,0.3920721812,0.016851285494505496,367,1,0.0,0.0,0.0,0.0,0.0,0.20231199,17.0250005
392.0721812,0.3734020773333333,0.016851285494505496,367,1,0.0,0.0,0.0,0.0,0.0,0.193664,13.399999999999999
393.65700724,0.34231044107826086,0.01747593142857143,93,1,0.0,0.0,0.0,0.0,0.0,0.15986,3.3000000500000004
393.65700724,0.4143757970947368,0.01733608253968254,184,0,0.0,0.0,0.0,0.0,0.0,0.22191,0.97500001
393.65700724,0.39365700723999997,0.016857384615384614,366,0,0.0,0.0,0.0,0.0,0.0,0.209462,3.5500000500000004
400.1685751,0.3637896137272727,0.017448359142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.175594,7.70000005
400.1685751,0.347972674,0.017448359142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.160035,4.2249999
400.1685751,0.3334738125833333,0.017448359142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.15077101,1.9100000000000001
400.1685751,0.2858346965,0.016848126043956045,365,1,0.0,0.0,0.0,0.0,0.0,0.156883,1.10499995
400.1685751,0.3811129286666667,0.016848126043956045,365,0,0.0,0.0,0.0,0.0,0.0,0.199358,4.32500005
400.1685751,0.3637896137272727,0.016848126043956045,365,0,0.0,0.0,0.0,0.0,0.0,0.187354,5.75
400.1685751,0.347972674,0.016848126043956045,365,0,0.0,0.0,0.0,0.0,0.0,0.179608,7.75
404.9919587,0.3681745079090909,0.017423758857142858,91,1,0.0,0.0,0.0,0.0,0.0,0.173996,8.7749996
404.9919587,0.35216692060869564,0.017423758857142858,91,1,0.0,0.0,0.0,0.0,0.0,0.154725,4.95000005
404.9919587,0.3374932989166667,0.017423758857142858,91,1,0.0,0.0,0.0,0.0,0.0,0.14867701,2.385
404.9919587,0.32399356696,0.017423758857142858,91,1,0.0,0.0,0.0,0.0,0.0,0.14042901,0.870000005
404.9919587,0.38570662733333333,0.017423758857142858,91,0,0.0,0.0,0.0,0.0,0.0,0.192947,0.64500001
404.9919587,0.35216692060869564,0.017423758857142858,91,0,0.0,0.0,0.0,0.0,0.0,0.158893,2.585
404.9919587,0.3374932989166667,0.017423758857142858,91,0,0.0,0.0,0.0,0.0,0.0,0.147251,4.9250002
404.9919587,0.38570662733333333,0.01735109777777778,182,1,0.0,0.0,0.0,0.0,0.0,0.186671,14.100000000000001
404.9919587,0.3681745079090909,0.01735109777777778,182,1,0.0,0.0,0.0,0.0,0.0,0.174101,10.0999999
404.9919587,0.32399356696,0.01735109777777778,182,1,0.0,0.0,0.0,0.0,0.0,0.148201,2.15499995
404.9919587,0.3681745079090909,0.01692361021978022,364,0,0.0,0.0,0.0,0.0,0.0,0.18888099,5.27499985
405.8532772,0.3529158932173913,0.016758222857142856,31,1,0.0,0.0,0.0,0.0,0.0,0.20482799,4.5
405.8532772,0.3382110643333333,0.016758222857142856,31,1,0.0,0.0,0.0,0.0,0.0,0.183645,1.6499999500000002
405.8532772,0.32468262175999996,0.016758222857142856,31,1,0.0,0.0,0.0,0.0,0.0,0.176286,0.40499999
405.8532772,0.4058532772,0.016758222857142856,31,0,0.0,0.0,0.0,0.0,0.0,0.28284299,0.0749999995
405.8532772,0.38652693066666666,0.016758222857142856,31,0,0.0,0.0,0.0,0.0,0.0,0.26076499,0.229999995
405.8532772,0.3689575247272727,0.016758222857142856,31,0,0.0,0.0,0.0,0.0,0.0,0.230565,0.59
405.8532772,0.3529158932173913,0.016758222857142856,31,0,0.0,0.0,0.0,0.0,0.0,0.202702,1.5150000000000001
405.8532772,0.3382110643333333,0.017192596031746034,178,1,0.0,0.0,0.0,0.0,0.0,0.160419,4.2249999
405.8532772,0.32468262175999996,0.017192596031746034,178,1,0.0,0.0,0.0,0.0,0.0,0.15263601,2.2950001
405.8532772,0.3121948286153846,0.017192596031746034,178,1,0.0,0.0,0.0,0.0,0.0,0.146597,1.105000005
405.8532772,0.3121948286153846,0.016673046593406595,360,1,0.0,0.0,0.0,0.0,0.0,0.164224,3.325
405.8532772,0.5073165964999999,0.016673046593406595,360,0,0.0,0.0,0.0,0.0,0.0,0.268282,0.83500001
405.3364861,0.3524665096521739,0.016714724285714286,30,1,0.0,0.0,0.0,0.0,0.0,0.20654,4.375
405.3364861,0.33778040508333335,0.016714724285714286,30,1,0.0,0.0,0.0,0.0,0.0,0.186222,1.58499995
405.3364861,0.32426918888,0.016714724285714286,30,1,0.0,0.0,0.0,0.0,0.0,0.179285,0.385000005
405.3364861,0.4053364861,0.016714724285714286,30,0,0.0,0.0,0.0,0.0,0.0,0.288542,0.080000002
405.3364861,0.38603474866666665,0.016714724285714286,30,0,0.0,0.0,0.0,0.0,0.0,0.25624299,0.20500000000000002
405.3364861,0.36848771463636365,0.016714724285714286,30,0,0.0,0.0,0.0,0.0,0.0,0.224802,0.53999999
405.3364861,0.3524665096521739,0.016714724285714286,30,0,0.0,0.0,0.0,0.0,0.0,0.20147599,1.51
405.3364861,0.33778040508333335,0.016714724285714286,30,0,0.0,0.0,0.0,0.0,0.0,0.18325099,3.75
407.0591231,0.3700537482727273,0.016692569285714286,29,1,0.0,0.0,0.0,0.0,0.0,0.23659199,8.7000003
407.0591231,0.35396445486956524,0.016692569285714286,29,1,0.0,0.0,0.0,0.0,0.0,0.21120401,4.625
407.0591231,0.3392159359166667,0.016692569285714286,29,1,0.0,0.0,0.0,0.0,0.0,0.190626,1.7349999999999999
