S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
18.28,0.20311111111111113,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.53300399,1.44999995
18.28,0.15233333333333335,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.50376099,0.48999999499999997
18.28,0.18280000000000002,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.520365,1.03
18.28,0.20311111111111113,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.530765,1.28999995
18.28,0.6093333333333334,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.93062299,0.0649999995
18.28,0.2611428571428572,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.57582903,0.504999995
18.28,0.16618181818181818,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.506881,2.54999995
17.3,0.34600000000000003,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.683653,3.8500000500000002
17.3,0.19222222222222224,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.532695,1.15999995
17.3,0.28833333333333333,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.62357402,3.01
17.3,0.24714285714285716,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.57753998,2.26
17.3,0.1572727272727273,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.51409799,0.544999985
17.3,0.17300000000000001,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.52289802,0.805000005
17.3,0.19222222222222224,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.53395402,1.5150000000000001
17.3,0.28833333333333333,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.61273998,0.350000005
17.3,0.21625,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.552068,1.00000001
18.3,0.1525,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.50368601,0.485
18.3,0.305,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.62447202,3.45000005
18.3,0.26142857142857145,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.58458602,2.67000005
18.3,0.22875,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.554102,1.995
18.3,0.183,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.52048898,1.025
18.3,0.20333333333333334,0.0033166949450549456,185,0,0.0,0.0,0.0,0.0,0.0,0.53238797,1.2850000000000001
18.3,0.1525,0.0033166949450549456,185,0,0.0,0.0,0.0,0.0,0.0,0.50454003,3.3249999499999996
18.3,0.305,0.0033166949450549456,185,0,0.0,0.0,0.0,0.0,0.0,0.62379599,0.29500000000000004
18.3,0.22875,0.0033166949450549456,185,0,0.0,0.0,0.0,0.0,0.0,0.55507499,0.84
18.3,0.183,0.0033166949450549456,185,0,0.0,0.0,0.0,0.0,0.0,0.52043998,1.865
18.0,0.36,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.76678503,4.07500005
18.0,0.2,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.535285,0.97
18.0,0.15,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.52568299,0.195
18.0,0.3,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.64555699,3.125
18.0,0.2571428571428571,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.59476203,2.27
18.0,0.225,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.55688298,1.5350000000000001
18.0,0.16363636363636364,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.52417201,0.33999999999999997
18.0,0.18,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.52437598,0.57999998
18.0,0.2,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.52222598,1.32999995
18.0,0.15,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.49540699,0.425
18.0,0.3,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.60842901,3.29999995
18.0,0.2571428571428571,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.56985998,2.525
18.0,0.225,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.54047602,1.8599999999999999
18.0,0.16363636363636364,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.50041699,0.6299999949999999
18.0,0.18,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.509323,0.925000015
18.0,0.36,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.75052297,0.0649999995
18.0,0.2,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.530168,0.9549999849999999
18.0,0.6,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,1.061619,0.0199999994
18.0,0.2571428571428571,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.58998001,0.260000005
18.0,0.225,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.55707401,0.53
18.0,0.18,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.52220899,1.5699999500000001
18.0,0.36,0.0031930445054945055,184,0,0.0,0.0,0.0,0.0,0.0,0.66179401,0.15500000000000003
18.0,0.225,0.0031930445054945055,184,0,0.0,0.0,0.0,0.0,0.0,0.54155397,0.84999999
18.0,0.18,0.0031930445054945055,184,0,0.0,0.0,0.0,0.0,0.0,0.50723702,1.9049999999999998
17.68,0.35359999999999997,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.71901798,3.8999999499999998
17.68,0.19644444444444445,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.55081803,0.905000005
17.68,0.14733333333333334,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.539051,0.18
17.68,0.2946666666666667,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.68670303,3.005
17.68,0.221,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.56828898,1.435
17.68,0.136,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.53853601,0.100000002
17.68,0.12628571428571428,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.53890502,0.055
17.68,0.16072727272727272,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.53140599,0.305000005
17.68,0.17679999999999998,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.537211,0.534999995
17.68,0.442,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.69848698,4.85000015
17.68,0.35359999999999997,0.0031622477142857143,183,1,0.0,0.0,0.0,0.0,0.0,0.65180498,4.0000001
17.68,0.19644444444444445,0.0031622477142857143,183,1,0.0,0.0,0.0,0.0,0.0,0.53097498,1.255
17.68,0.11786666666666666,0.0031622477142857143,183,1,0.0,0.0,0.0,0.0,0.0,0.49945399,0.12
17.68,0.14733333333333334,0.0031622477142857143,183,1,0.0,0.0,0.0,0.0,0.0,0.50270402,0.395
17.68,0.2946666666666667,0.0031622477142857143,183,1,0.0,0.0,0.0,0.0,0.0,0.60522401,3.1499999499999998
17.68,0.25257142857142856,0.0031622477142857143,183,1,0.0,0.0,0.0,0.0,0.0,0.57408297,2.4000001
17.68,0.221,0.0031622477142857143,183,1,0.0,0.0,0.0,0.0,0.0,0.54975301,1.7650000000000001
17.68,0.12628571428571428,0.0031622477142857143,183,1,0.0,0.0,0.0,0.0,0.0,0.497089,0.175
17.68,0.17679999999999998,0.0031622477142857143,183,1,0.0,0.0,0.0,0.0,0.0,0.51624602,0.8650000099999999
17.68,0.19644444444444445,0.002651853142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.54779702,1.0550000499999999
17.68,0.2946666666666667,0.002651853142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.64988798,0.135
17.68,0.25257142857142856,0.002651853142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.60450602,0.29999999499999996
17.68,0.221,0.002651853142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.56774497,0.59
17.68,0.16072727272727272,0.002651853142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.53523099,2.465
17.68,0.17679999999999998,0.002651853142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.53725803,1.68999995
17.68,0.19644444444444445,0.0031622477142857143,183,0,0.0,0.0,0.0,0.0,0.0,0.52861202,1.4
17.68,0.5893333333333334,0.0031622477142857143,183,0,0.0,0.0,0.0,0.0,0.0,0.85716403,0.044999999
17.68,0.2946666666666667,0.0031622477142857143,183,0,0.0,0.0,0.0,0.0,0.0,0.60897398,0.31
17.68,0.25257142857142856,0.0031622477142857143,183,0,0.0,0.0,0.0,0.0,0.0,0.56672901,0.53999999
17.68,0.221,0.0031622477142857143,183,0,0.0,0.0,0.0,0.0,0.0,0.548814,0.9149999950000001
17.68,0.17679999999999998,0.0031622477142857143,183,0,0.0,0.0,0.0,0.0,0.0,0.51636499,2.0149999999999997
18.02,0.3604,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.96824402,4.02499995
18.02,0.20022222222222222,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.56384802,0.605000015
18.02,0.15016666666666667,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.63719702,0.055
18.02,0.30033333333333334,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.839652,3.04999995
18.02,0.2574285714285714,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.67704099,2.0899999
18.02,0.22525,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.60296202,1.24
18.02,0.1287142857142857,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.70730197,0.0149999999
18.02,0.1638181818181818,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.57389998,0.100000002
18.02,0.1802,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.56184,0.25499999500000003
18.02,0.20022222222222222,0.0031651611428571425,179,1,0.0,0.0,0.0,0.0,0.0,0.51307398,1.29499995
18.02,0.12013333333333333,0.0031651611428571425,179,1,0.0,0.0,0.0,0.0,0.0,0.48461401,0.115
18.02,0.15016666666666667,0.0031651611428571425,179,1,0.0,0.0,0.0,0.0,0.0,0.486325,0.395
18.02,0.22525,0.0031651611428571425,179,1,0.0,0.0,0.0,0.0,0.0,0.533656,1.83499995
18.02,0.1287142857142857,0.0031651611428571425,179,1,0.0,0.0,0.0,0.0,0.0,0.481718,0.170000005
18.02,0.1802,0.0031651611428571425,179,1,0.0,0.0,0.0,0.0,0.0,0.50063902,0.890000015
18.02,0.20022222222222222,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.560803,0.59
18.02,0.2574285714285714,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.65624201,0.0699999985
18.02,0.22525,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.59244502,0.219999995
18.02,0.1638181818181818,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.55978298,2.0799999
18.02,0.1802,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.552948,1.2349999999999999
18.02,0.20022222222222222,0.0031651611428571425,179,0,0.0,0.0,0.0,0.0,0.0,0.51031703,1.2650000000000001
18.02,0.2574285714285714,0.0031651611428571425,179,0,0.0,0.0,0.0,0.0,0.0,0.55686301,0.47500001000000003
18.02,0.22525,0.0031651611428571425,179,0,0.0,0.0,0.0,0.0,0.0,0.53229398,0.81
18.02,0.901,0.0031651611428571425,179,0,0.0,0.0,0.0,0.0,0.0,1.07126,0.0249999995
18.02,0.4505,0.0031651611428571425,179,0,0.0,0.0,0.0,0.0,0.0,0.727777,0.0699999985
18.02,0.1802,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.49008799,1.41
18.02,0.12013333333333333,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.45928499,0.364999995
18.02,0.14416,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.468878,0.72
18.02,0.24026666666666666,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.52413499,2.5899999
18.02,0.7208,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,-99.989998,6.5
18.02,0.3604,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.61843598,0.364999995
18.02,0.1802,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.488058,2.3449999
18.02,0.24026666666666666,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.52175498,1.0350000000000001
18.02,0.7208,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.86962098,0.12
17.74,0.1971111111111111,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.56224102,0.514999985
17.74,0.14783333333333332,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.59975302,0.0299999995
17.74,0.29566666666666663,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.70475399,2.88
17.74,0.2534285714285714,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.63275701,1.93
17.74,0.22174999999999997,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.57689297,1.0950000000000002
17.74,0.16127272727272726,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.582322,0.080000002
17.74,0.17739999999999997,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.555731,0.19999999499999999
17.74,0.1971111111111111,0.0031335191428571428,178,1,0.0,0.0,0.0,0.0,0.0,0.51616198,1.21000005
17.74,0.14783333333333332,0.0031335191428571428,178,1,0.0,0.0,0.0,0.0,0.0,0.49222401,0.364999995
17.74,0.2534285714285714,0.0031335191428571428,178,1,0.0,0.0,0.0,0.0,0.0,0.55785298,2.37
17.74,0.22174999999999997,0.0031335191428571428,178,1,0.0,0.0,0.0,0.0,0.0,0.53198802,1.72
17.74,0.1267142857142857,0.0031335191428571428,178,1,0.0,0.0,0.0,0.0,0.0,0.48673001,0.15500000000000003
17.74,0.16127272727272726,0.0031335191428571428,178,1,0.0,0.0,0.0,0.0,0.0,0.49799299,0.555000005
17.74,0.17739999999999997,0.0031335191428571428,178,1,0.0,0.0,0.0,0.0,0.0,0.50407499,0.824999985
17.74,0.1971111111111111,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.56038398,0.655000005
17.74,0.2534285714285714,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.63449198,0.0699999985
17.74,0.22174999999999997,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.58788502,0.244999995
17.74,0.17739999999999997,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.55921102,1.3450000000000002
17.74,0.2534285714285714,0.0031335191428571428,178,0,0.0,0.0,0.0,0.0,0.0,0.55709398,0.504999995
17.74,0.22174999999999997,0.0031335191428571428,178,0,0.0,0.0,0.0,0.0,0.0,0.53406203,0.859999985
17.74,0.44349999999999995,0.0031335191428571428,178,0,0.0,0.0,0.0,0.0,0.0,0.71847999,0.0699999985
17.74,0.17739999999999997,0.005224085604395604,367,1,0.0,0.0,0.0,0.0,0.0,0.495906,1.3450000000000002
17.74,0.11826666666666666,0.005224085604395604,367,1,0.0,0.0,0.0,0.0,0.0,0.47070101,0.36
17.74,0.14192,0.005224085604395604,367,1,0.0,0.0,0.0,0.0,0.0,0.476542,0.69
17.74,0.23653333333333332,0.005224085604395604,367,1,0.0,0.0,0.0,0.0,0.0,0.529324,2.485
17.74,0.10137142857142856,0.005224085604395604,367,1,0.0,0.0,0.0,0.0,0.0,0.47627699,0.20500000000000002
17.74,0.7095999999999999,0.005224085604395604,367,1,0.0,0.0,0.0,0.0,0.0,0.668293,6.4000001
17.74,0.35479999999999995,0.005224085604395604,367,0,0.0,0.0,0.0,0.0,0.0,0.618016,0.38000001
