S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
1563.696,2.0849279999999997,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.54336298,56.75
1563.696,0.8687199999999999,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.376495,2.33499995
1563.696,1.1582933333333332,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.41657501,13.575
1563.696,1.1169257142857143,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.41085801,11.5
1563.696,1.0784110344827587,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.40501201,9.6500001
1563.696,1.0424639999999998,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.40007201,8.0500002
1563.696,1.008836129032258,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.39498401,6.64999985
1563.696,0.9198211764705881,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.382397,3.6000000500000002
1563.696,0.8935405714285714,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.379879,2.92000005
1563.696,1.563696,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.47568101,35.25
1563.696,0.822997894736842,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.37157801,1.4849999999999999
1563.696,0.8018953846153846,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.36896899,1.17
1563.696,0.781848,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.366714,0.91999999
1563.696,1.202843076923077,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.42330101,15.925
1563.696,1.421541818181818,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.45298699,7.29999995
1563.696,1.359735652173913,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.444628,8.9499998
1563.696,1.30308,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.43634099,10.825
1563.696,1.1582933333333332,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.414424,17.9749995
1563.696,1.1169257142857143,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.40815201,20.875
1563.696,0.9773099999999999,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.38736799,34.825001
1563.696,0.9476945454545455,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.38329399,38.825001
1563.696,1.7374399999999999,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.49600801,2.895
1563.696,1.645995789473684,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.48324099,3.70000005
1563.696,0.781848,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.35958099,70.324997
1563.696,1.2509568,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.42851299,12.95
