S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
388.23461121,0.12324908292380954,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.24549,13.15
388.23461121,0.12132331600312501,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.238241,9.9999999
388.23461121,0.11945680344923078,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.229847,7.25
388.23461121,0.11764685188181818,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.22355101,5.0500002
388.23461121,0.11418665035588237,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.21582,2.175
388.23461121,0.12941153707,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.26837,2.1
388.23461121,0.1272900364622951,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.26314601,3.0
388.23461121,0.12523697135806452,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.25323099,4.0500001
378.35985141000003,0.11916845713700788,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.235624,6.8499999
378.35985141000003,0.11641841581846155,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.226523,3.8499999000000003
378.35985141000003,0.11552972562137405,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.223086,3.075
378.35985141000003,0.11465450042727274,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.221039,2.4499999499999996
378.35985141000003,0.1112823092382353,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.214801,0.875
378.35985141000003,0.13046891427931034,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.28012201,1.775
378.35985141000003,0.12717978198655464,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.26449001,2.875
378.35985141000003,0.12611995047000002,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.25881499,3.35
378.35985141000003,0.12405241029836067,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.25150099,4.6500001
378.35985141000003,0.12011423854285716,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.235341,8.4000001
377.79385908000006,0.12089403490560002,0.01728078057142857,32,1,0.0,0.0,0.0,0.0,0.0,0.24181201,9.8000002
377.79385908000006,0.11993455843809525,0.01728078057142857,32,1,0.0,0.0,0.0,0.0,0.0,0.23727,8.4000001
377.79385908000006,0.13492637824285716,0.01728078057142857,32,0,0.0,0.0,0.0,0.0,0.0,0.296175,1.15
376.49328096,0.1195216764952381,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.23907401,7.79999995
376.49328096,0.11584408644923076,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.22645,3.75
376.49328096,0.1091284872347826,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.21377,0.525000005
371.79674886000004,0.11803071392380954,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.23547199,5.79999995
371.79674886000004,0.11439899964923078,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.224324,2.5500000500000004
371.79674886000004,0.11266568147272728,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.22020701,1.575
371.79674886000004,0.12710999961025643,0.016949128333333334,30,0,0.0,0.0,0.0,0.0,0.0,0.26577899,3.125
371.79674886000004,0.12497369709579834,0.016949128333333334,30,0,0.0,0.0,0.0,0.0,0.0,0.25630701,4.25
