S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
168.79347485000002,0.48226707100000005,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.37585601,7.97500015
168.79347485000002,0.37509661077777784,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.31691599,2.29999995
168.79347485000002,0.4116914020731708,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.334194,4.04999995
168.79347485000002,0.42198368712500006,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.34316301,3.4250000500000004
168.79347485000002,0.4441933548684211,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.35581899,2.635
168.79347485000002,0.4116914020731708,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.33466101,3.8500000500000002
168.79347485000002,0.5626449161666668,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.42623201,0.83000001
168.79347485000002,0.7501932215555557,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.52750701,0.265
171.03211510000003,0.38870935250000005,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.323033,2.9250000500000004
171.03211510000003,0.38007136688888893,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.31867,2.525
171.03211510000003,0.34206423020000004,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.30170801,1.105
171.03211510000003,0.3109674820000001,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.29282099,0.435000005
171.03211510000003,0.397749104883721,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.32627499,3.3500000500000002
171.03211510000003,0.38870935250000005,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.32209799,5.20000005
171.03211510000003,0.4750892086111112,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.372264,1.875
171.03211510000003,0.4886631860000001,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.379657,1.62
171.03211510000003,0.42758028775000007,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.34486899,3.225
171.03211510000003,0.38007136688888893,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.317285,5.79999995
171.03211510000003,0.4500845134210527,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.35718599,2.47
171.03211510000003,0.4171515002439025,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.338153,3.6499999499999998
171.03211510000003,0.40721932166666674,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.33463401,4.14999985
171.03211510000003,0.397749104883721,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.32789201,4.64999985
171.03211510000003,0.5701070503333334,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.42736399,0.77000001
171.03211510000003,0.7601427337777779,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.52615702,0.24
171.56124825,0.38124721833333336,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.320427,2.5949999
171.56124825,0.3431224965,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.30313301,1.145
171.56124825,0.3119295422727273,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.29076901,0.43499999
171.56124825,0.4084791625,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.33506101,3.95000005
171.56124825,0.39897964709302325,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.32959801,3.45000005
171.56124825,0.3899119278409091,0.0033166949450549456,185,0,0.0,0.0,0.0,0.0,0.0,0.32541901,5.14999985
171.56124825,0.490174995,0.0033166949450549456,185,0,0.0,0.0,0.0,0.0,0.0,0.38256001,1.605
171.56124825,0.428903120625,0.0033166949450549456,185,0,0.0,0.0,0.0,0.0,0.0,0.34628499,3.1750000500000004
171.56124825,0.38124721833333336,0.0033166949450549456,185,0,0.0,0.0,0.0,0.0,0.0,0.321152,5.75
171.56124825,0.4514769690789474,0.0033166949450549456,185,0,0.0,0.0,0.0,0.0,0.0,0.35957,2.44000005
171.56124825,0.418442068902439,0.0033166949450549456,185,0,0.0,0.0,0.0,0.0,0.0,0.340031,3.6000000500000002
171.56124825,0.4084791625,0.0033166949450549456,185,0,0.0,0.0,0.0,0.0,0.0,0.33485299,4.07500005
171.56124825,0.39897964709302325,0.0033166949450549456,185,0,0.0,0.0,0.0,0.0,0.0,0.33071101,4.60000015
171.56124825,0.686244993,0.0033166949450549456,185,0,0.0,0.0,0.0,0.0,0.0,0.49418899,0.36
171.56124825,0.7624944366666667,0.0033166949450549456,185,0,0.0,0.0,0.0,0.0,0.0,0.53201002,0.24499999500000003
173.71848340000003,0.3948147350000001,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.31068501,2.0749999
173.71848340000003,0.3776488769565218,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.30078399,1.32
173.71848340000003,0.3696137944680852,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.29736799,1.0350000000000001
173.71848340000003,0.49633852400000006,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.386639,8.2750001
173.71848340000003,0.43429620850000006,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.33408901,4.29999995
173.71848340000003,0.3860410742222223,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.30575901,1.67000005
173.71848340000003,0.3474369668,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.28682399,0.45000000500000004
173.71848340000003,0.46950941459459467,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.359449,6.54999995
