S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
157.28,0.10485333333333334,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.180557,8.1500001
157.28,0.10147096774193548,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.168562,4.4000001
157.28,0.0983,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.161773,1.875
157.28,0.09532121212121213,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.157618,0.599999995
157.28,0.09251764705882352,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.157005,0.15000000000000002
157.28,0.11234285714285715,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.228911,0.175
157.28,0.10846896551724138,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.200666,0.35000001000000003
157.28,0.10485333333333334,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.18345,0.875
157.28,0.10147096774193548,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.170601,2.125
157.28,0.0983,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.15809201,4.5
157.28,0.08065641025641025,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.198393,2.57500005
157.28,0.1497904761904762,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.30231899,1.6
157.28,0.13106666666666666,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.27431199,3.15
157.28,0.12098461538461538,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.25858599,4.8499999
157.28,0.09532121212121213,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.217636,17.8500005
157.28,0.09251764705882352,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.21373899,20.8500005
157.28,0.1655578947368421,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.324076,0.9999999900000001
156.37,0.10424666666666667,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.191194,7.45000005
156.37,0.10088387096774194,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.171489,3.8000000500000004
156.37,0.09773125,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.16427501,1.525
156.37,0.09476969696969698,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.15954401,0.45000000500000004
156.37,0.09198235294117647,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.164361,0.1250000005
156.37,0.10784137931034483,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.198678,0.39999998999999997
156.37,0.10424666666666667,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.182487,1.024999995
156.37,0.10088387096774194,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.16750699,2.42499995
156.37,0.09773125,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.156682,5.0999999
156.37,0.10088387096774194,0.005224085604395604,367,1,0.0,0.0,0.0,0.0,0.0,0.22516701,14.95
157.33,0.10850344827586207,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.20941301,12.7
157.33,0.10488666666666667,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.192939,8.25
157.33,0.10150322580645162,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.17892499,4.5
157.33,0.09833125000000001,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.166475,1.875
157.33,0.09535151515151516,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.162384,0.599999995
157.33,0.09254705882352941,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.166999,0.175
157.33,0.11237857142857144,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.22994401,0.15000000000000002
157.33,0.10850344827586207,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.20758601,0.35000001000000003
