S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
92.624976,0.2646427885714286,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.30927899,3.8000000500000004
92.624976,0.23156244,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.23098201,0.5
92.624976,0.2646427885714286,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.25212899,0.125000005
92.624976,0.23156244,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.196141,1.8
92.624976,0.246999936,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.22113,0.55000001
92.624976,0.23156244,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.21383201,3.3000000500000004
92.624976,0.20583328,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.199981,1.4
93.850047,0.26814299142857145,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.272349,4.29999995
93.850047,0.2346251175,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.227663,0.69999999
93.850047,0.250266792,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.251807,2.17499995
93.850047,0.22082364000000002,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.21732,0.125000005
93.850047,0.2346251175,0.045378857142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.227833,1.5
93.850047,0.250266792,0.045378857142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.246738,0.45000000500000004
93.850047,0.20855566,0.04771386703296703,367,1,0.0,0.0,0.0,0.0,0.0,0.200415,1.575
93.850047,0.26814299142857145,0.04771386703296703,367,0,0.0,0.0,0.0,0.0,0.0,0.234814,1.45
94.71480299999999,0.23678700749999998,0.04561330285714285,30,1,0.0,0.0,0.0,0.0,0.0,0.22287101,0.80000001
94.71480299999999,0.252572808,0.04561330285714285,30,1,0.0,0.0,0.0,0.0,0.0,0.256042,2.42499995
94.71480299999999,0.22285835999999998,0.04561330285714285,30,1,0.0,0.0,0.0,0.0,0.0,0.214763,0.15000000000000002
94.71480299999999,0.23678700749999998,0.04561330285714285,30,0,0.0,0.0,0.0,0.0,0.0,0.219781,1.25
94.71480299999999,0.252572808,0.04561330285714285,30,0,0.0,0.0,0.0,0.0,0.0,0.25947899,0.39999998999999997
94.71480299999999,0.23678700749999998,0.04808309043956044,366,1,0.0,0.0,0.0,0.0,0.0,0.210099,3.6999999499999996
94.71480299999999,0.23678700749999998,0.04808309043956044,366,0,0.0,0.0,0.0,0.0,0.0,0.214691,3.1
92.865186,0.26532910285714284,0.045703176428571426,29,1,0.0,0.0,0.0,0.0,0.0,0.30117401,3.95000005
92.865186,0.232162965,0.045703176428571426,29,1,0.0,0.0,0.0,0.0,0.0,0.229975,0.525000005
92.865186,0.247640496,0.045703176428571426,29,1,0.0,0.0,0.0,0.0,0.0,0.254217,1.85
92.865186,0.21850631999999998,0.045703176428571426,29,1,0.0,0.0,0.0,0.0,0.0,0.233199,0.10000000549999999
92.865186,0.232162965,0.045703176428571426,29,0,0.0,0.0,0.0,0.0,0.0,0.23017301,1.75
92.865186,0.247640496,0.045703176428571426,29,0,0.0,0.0,0.0,0.0,0.0,0.25014499,0.55000001
92.865186,0.37146074399999995,0.04800010461538462,365,1,0.0,0.0,0.0,0.0,0.0,0.271198,14.75
92.865186,0.232162965,0.04800010461538462,365,1,0.0,0.0,0.0,0.0,0.0,0.211574,3.3000000500000004
92.865186,0.232162965,0.04800010461538462,365,0,0.0,0.0,0.0,0.0,0.0,0.21194699,3.4
92.216619,0.2305415475,0.047963703076923075,362,1,0.0,0.0,0.0,0.0,0.0,0.20953099,3.1
92.216619,0.20492581999999998,0.047963703076923075,362,1,0.0,0.0,0.0,0.0,0.0,0.195096,1.25
92.216619,0.26347605428571425,0.047963703076923075,362,0,0.0,0.0,0.0,0.0,0.0,0.231589,1.575
92.384766,0.230961915,0.048109317692307696,361,1,0.0,0.0,0.0,0.0,0.0,0.206999,3.1
92.384766,0.20529948,0.048109317692307696,361,1,0.0,0.0,0.0,0.0,0.0,0.193545,1.25
92.384766,0.2639564742857143,0.048109317692307696,361,0,0.0,0.0,0.0,0.0,0.0,0.231591,1.55
92.384766,0.230961915,0.048109317692307696,361,0,0.0,0.0,0.0,0.0,0.0,0.209502,3.45000005
91.784241,0.20396498,0.04861849483516483,360,1,0.0,0.0,0.0,0.0,0.0,0.186554,1.1
91.784241,0.30594747,0.04861849483516483,360,0,0.0,0.0,0.0,0.0,0.0,0.25488701,0.599999995
91.784241,0.2294606025,0.04861849483516483,360,0,0.0,0.0,0.0,0.0,0.0,0.19919799,3.4
88.349238,0.220873095,0.05000594028571429,187,1,0.0,0.0,0.0,0.0,0.0,0.222156,1.45
88.349238,0.19633164,0.05000594028571429,187,1,0.0,0.0,0.0,0.0,0.0,0.208909,0.35000001000000003
88.349238,0.235597968,0.05000594028571429,187,1,0.0,0.0,0.0,0.0,0.0,0.22874001,2.5
88.349238,0.235597968,0.05000594028571429,187,0,0.0,0.0,0.0,0.0,0.0,0.229139,2.3999999499999998
89.790498,0.239441328,0.04643425,32,1,0.0,0.0,0.0,0.0,0.0,0.20439599,0.900000005
89.790498,0.224476245,0.050088905142857146,186,1,0.0,0.0,0.0,0.0,0.0,0.220075,1.65
89.790498,0.239441328,0.050088905142857146,186,1,0.0,0.0,0.0,0.0,0.0,0.225179,2.7749999499999998
89.790498,0.21127176,0.050088905142857146,186,1,0.0,0.0,0.0,0.0,0.0,0.215821,0.900000005
