S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
377.137486,0.9428437150000001,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.23522501,0.705000015
377.137486,0.8380833022222223,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.23748501,0.0249999995
377.137486,1.047604127777778,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.27738899,3.3500000500000002
377.137486,0.9670191948717949,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.239972,1.1549999999999998
377.137486,0.9198475268292684,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.228544,0.38499999500000004
377.137486,0.8979463952380953,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.22715101,0.19999999499999999
377.137486,0.8770639209302327,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.228448,0.100000002
377.137486,0.8571306500000001,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.232427,0.049999999
377.137486,0.9924670684210527,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.247954,1.76
377.137486,1.0192905027027028,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.25922999,2.5
377.137486,1.0775356742857143,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.28302899,0.135
377.137486,0.9428437150000001,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.23197,1.5950000000000002
377.137486,1.047604127777778,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.268087,0.229999995
377.137486,0.9670191948717949,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.23899999,1.0550000499999999
377.137486,0.9198475268292684,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.22874799,2.2899999500000003
377.137486,0.8979463952380953,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.22564299,3.1000000500000002
377.137486,0.9924670684210527,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.24806599,0.6649999950000001
377.137486,1.0192905027027028,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.25792801,0.399999995
377.137486,0.9428437150000001,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.30551901,4.22500015
