S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
368.2474321000001,0.4603092901250001,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.192095,0.75
368.2474321000001,0.5260677601428573,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.256284,0.25000000499999997
368.2474321000001,0.4909965761333334,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.215381,0.999999995
365.86518710000007,0.48782024946666674,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.20809799,2.875
365.86518710000007,0.4573314838750001,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.18535499,0.55000001
365.86518710000007,0.5226645530000001,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.25453299,0.274999995
365.86518710000007,0.48782024946666674,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.20817401,1.075
362.8159135000001,0.48375455133333345,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.22420099,2.57500005
362.8159135000001,0.4535198918750001,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.202255,0.5
357.7179092,0.47695721226666665,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.23442,2.025
357.7179092,0.4471473865,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.213163,0.35000001000000003
357.7179092,0.5110255845714285,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.254383,0.44999999999999996
357.7179092,0.47695721226666665,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.212871,1.75
366.4369259,0.5234813227142857,0.0023469157142857145,32,1,0.0,0.0,0.0,0.0,0.0,0.21006,6.95000005
366.4369259,0.48858256786666665,0.0023469157142857145,32,1,0.0,0.0,0.0,0.0,0.0,0.208079,2.8000000500000004
368.5809464,0.460726183,0.002342586857142857,31,1,0.0,0.0,0.0,0.0,0.0,0.18889201,0.599999995
368.5809464,0.4914412618666667,0.002342586857142857,31,0,0.0,0.0,0.0,0.0,0.0,0.19388101,0.950000005
371.4396404,0.5306280577142857,0.002336524,30,1,0.0,0.0,0.0,0.0,0.0,0.24241599,8.0
371.4396404,0.4642995505,0.002336524,30,1,0.0,0.0,0.0,0.0,0.0,0.18192001,0.69999999
371.4396404,0.4952528538666666,0.002336524,30,0,0.0,0.0,0.0,0.0,0.0,0.199627,0.775000005
378.18129500000003,0.47272661875000005,0.00371890956043956,187,1,0.0,0.0,0.0,0.0,0.0,0.194905,3.65
378.32490815000006,0.4729061351875001,0.002392358,32,1,0.0,0.0,0.0,0.0,0.0,0.159574,1.02499999
379.3302002,0.47416275025,0.00240692,31,1,0.0,0.0,0.0,0.0,0.0,0.158196,1.1
379.3302002,0.5057736002666666,0.00240692,31,0,0.0,0.0,0.0,0.0,0.0,0.191578,0.375
380.04826595000003,0.447115607,0.003174645714285714,93,1,0.0,0.0,0.0,0.0,0.0,0.164123,0.724999995
380.04826595000003,0.5067310212666667,0.003174645714285714,93,0,0.0,0.0,0.0,0.0,0.0,0.20037299,1.525
378.6600055,0.473325006875,0.0032365457142857147,92,1,0.0,0.0,0.0,0.0,0.0,0.178498,2.3000000500000004
378.6600055,0.5048800073333334,0.0032365457142857147,92,0,0.0,0.0,0.0,0.0,0.0,0.203439,1.65
383.63859470000006,0.5115181262666667,0.0031712331428571426,89,1,0.0,0.0,0.0,0.0,0.0,0.19839901,6.25
383.63859470000006,0.47954824337500007,0.0031712331428571426,89,1,0.0,0.0,0.0,0.0,0.0,0.165904,2.65
383.63859470000006,0.45133952317647064,0.0031712331428571426,89,1,0.0,0.0,0.0,0.0,0.0,0.151113,0.724999995
383.63859470000006,0.5115181262666667,0.0031712331428571426,89,0,0.0,0.0,0.0,0.0,0.0,0.19824301,1.2
383.63859470000006,0.45133952317647064,0.003908071428571428,180,1,0.0,0.0,0.0,0.0,0.0,0.171058,1.825
383.63859470000006,0.4262651052222223,0.003908071428571428,180,1,0.0,0.0,0.0,0.0,0.0,0.16505,0.724999995
383.63859470000006,0.5902132226153847,0.003908071428571428,180,0,0.0,0.0,0.0,0.0,0.0,0.23516101,0.650000005
381.58013955,0.4489178112352941,0.003785888901098901,179,1,0.0,0.0,0.0,0.0,0.0,0.175054,1.75
378.22916605000006,0.4202546289444445,0.003900212637362637,178,1,0.0,0.0,0.0,0.0,0.0,0.17435201,0.67500001
378.22916605000006,0.5403273800714287,0.003900212637362637,178,0,0.0,0.0,0.0,0.0,0.0,0.21275,1.4249999999999998
381.3407843,0.476675980375,0.002666382142857143,32,1,0.0,0.0,0.0,0.0,0.0,0.16900501,1.425
376.0749688,0.470093711,0.0026859660714285715,31,1,0.0,0.0,0.0,0.0,0.0,0.17204601,0.97499999
369.89960335,0.46237450418750004,0.0027089189285714288,30,1,0.0,0.0,0.0,0.0,0.0,0.188802,0.67500001
369.89960335,0.49319947113333334,0.0027089189285714288,30,0,0.0,0.0,0.0,0.0,0.0,0.208956,0.900000005
371.23999275,0.4640499909375,0.0027262621428571425,29,1,0.0,0.0,0.0,0.0,0.0,0.184824,0.69999999
371.23999275,0.494986657,0.0027262621428571425,29,0,0.0,0.0,0.0,0.0,0.0,0.21665899,0.849999995
355.68190150000004,0.4742425353333334,0.0035548931428571427,32,1,0.0,0.0,0.0,0.0,0.0,0.228228,1.575
355.68190150000004,0.44460237687500004,0.0035548931428571427,32,1,0.0,0.0,0.0,0.0,0.0,0.224134,0.29999999499999996
