S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
1915.0710441600002,0.6383570147200001,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.36219001,9.600000099999999
1893.0071139000001,0.5567667982058824,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.41783899,1.525000055
1892.81185788,0.6641445115368421,0.01728078057142857,32,1,0.0,0.0,0.0,0.0,0.0,0.44856799,18.3499995
1892.81185788,0.610584470283871,0.01728078057142857,32,1,0.0,0.0,0.0,0.0,0.0,0.428406,7.5
1892.81185788,0.8054518544170213,0.01728078057142857,32,0,0.0,0.0,0.0,0.0,0.0,0.479323,1.074999995
1888.0606280599998,0.7124757087018867,0.01740261057142857,31,0,0.0,0.0,0.0,0.0,0.0,0.48199299,6.0
1888.0606280599998,0.6624774133543859,0.01740261057142857,31,0,0.0,0.0,0.0,0.0,0.0,0.459232,12.75
1888.0606280599998,0.6567167401947825,0.01740261057142857,31,0,0.0,0.0,0.0,0.0,0.0,0.45751101,13.9
1888.0606280599998,0.6510553889862069,0.01740261057142857,31,0,0.0,0.0,0.0,0.0,0.0,0.45685601,15.15
1904.78756044,0.6568232967034483,0.016949128333333334,30,0,0.0,0.0,0.0,0.0,0.0,0.450315,13.6
1915.4615562000001,0.5633710459411765,0.016955843333333335,29,1,0.0,0.0,0.0,0.0,0.0,0.452104,2.575
1915.4615562000001,0.649309002101695,0.016955843333333335,29,0,0.0,0.0,0.0,0.0,0.0,0.45548499,15.45
1929.84541634,0.6541848868949153,0.01684587875,28,0,0.0,0.0,0.0,0.0,0.0,0.47300199,14.6
1912.8581425999998,0.6831636223571428,0.017024108333333333,32,0,0.0,0.0,0.0,0.0,0.0,0.469886,9.85
1912.8581425999998,0.6596062560689655,0.017024108333333333,32,0,0.0,0.0,0.0,0.0,0.0,0.451525,13.6
1912.8581425999998,0.6484264890169491,0.017024108333333333,32,0,0.0,0.0,0.0,0.0,0.0,0.46011201,16.450000000000003
1912.8581425999998,1.0067674434736842,0.01733742777777778,186,1,0.0,0.0,0.0,0.0,0.0,0.45559901,108.55
1912.8581425999998,0.9809528936410256,0.01733742777777778,186,1,0.0,0.0,0.0,0.0,0.0,0.4522,104.1
1912.8581425999998,0.6271666041311474,0.016871812197802198,368,1,0.0,0.0,0.0,0.0,0.0,0.478634,53.4499985
1912.8581425999998,0.38257162852,0.016871812197802198,368,1,0.0,0.0,0.0,0.0,0.0,0.41776001,8.35000015
1912.8581425999998,0.9564290712999999,0.016871812197802198,368,0,0.0,0.0,0.0,0.0,0.0,0.49992701,14.3000005
1912.8581425999998,0.8694809739090908,0.016871812197802198,368,0,0.0,0.0,0.0,0.0,0.0,0.49076399,20.0
