S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
735.7300810200001,0.15737541840000002,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.23641101,1.5
756.15498189,0.21604428054000002,0.01733742777777778,186,0,0.0,0.0,0.0,0.0,0.0,0.287718,0.875
756.15498189,0.14541441959423076,0.016871812197802198,368,1,0.0,0.0,0.0,0.0,0.0,0.217383,44.75
756.15498189,0.21604428054000002,0.016871812197802198,368,0,0.0,0.0,0.0,0.0,0.0,0.29039201,5.0
749.2310416800001,0.14408289263076926,0.017331445714285715,185,1,0.0,0.0,0.0,0.0,0.0,0.208868,29.1000005
749.2310416800001,0.25835553161379315,0.016851285494505496,367,0,0.0,0.0,0.0,0.0,0.0,0.33198801,2.2
749.2310416800001,0.18730776042000002,0.016851285494505496,367,0,0.0,0.0,0.0,0.0,0.0,0.267847,11.350000000000001
749.2310416800001,0.17838834325714287,0.016851285494505496,367,0,0.0,0.0,0.0,0.0,0.0,0.258232,14.8
749.2310416800001,0.16649578704,0.016851285494505496,367,0,0.0,0.0,0.0,0.0,0.0,0.246099,21.8500005
766.4902997400001,0.14462081127169812,0.01747593142857143,93,1,0.0,0.0,0.0,0.0,0.0,0.191624,19.85
766.4902997400001,0.1419426481,0.01747593142857143,93,1,0.0,0.0,0.0,0.0,0.0,0.186147,14.9
766.4902997400001,0.1368732678107143,0.01747593142857143,93,1,0.0,0.0,0.0,0.0,0.0,0.177572,7.6500001
766.4902997400001,0.17420234085000003,0.01747593142857143,93,0,0.0,0.0,0.0,0.0,0.0,0.260656,2.3499999
766.4902997400001,0.1596854791125,0.01747593142857143,93,0,0.0,0.0,0.0,0.0,0.0,0.224354,6.25
766.4902997400001,0.14462081127169812,0.01747593142857143,93,0,0.0,0.0,0.0,0.0,0.0,0.19098701,21.0999995
766.4902997400001,0.12774838329000002,0.01733608253968254,184,1,0.0,0.0,0.0,0.0,0.0,0.18778101,6.6999998
766.4902997400001,0.1564265917836735,0.016857384615384614,366,1,0.0,0.0,0.0,0.0,0.0,0.233668,67.799999
766.4902997400001,0.13936187268000003,0.016857384615384614,366,1,0.0,0.0,0.0,0.0,0.0,0.219392,36.1000005
766.4902997400001,0.1368732678107143,0.016857384615384614,366,1,0.0,0.0,0.0,0.0,0.0,0.216103,31.799999
766.4902997400001,0.12774838329000002,0.016857384615384614,366,1,0.0,0.0,0.0,0.0,0.0,0.21005601,19.0500005
766.4902997400001,0.18694885359512198,0.016857384615384614,366,0,0.0,0.0,0.0,0.0,0.0,0.26492399,11.35
