S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
181.4,0.4122727272727273,0.01728078057142857,32,0,0.0,0.0,0.0,0.0,0.0,0.25116101,0.745000005
181.4,0.40764044943820227,0.01728078057142857,32,0,0.0,0.0,0.0,0.0,0.0,0.24330699,0.89500001
181.4,0.3986813186813187,0.01728078057142857,32,0,0.0,0.0,0.0,0.0,0.0,0.23825701,1.335
181.6,0.3905376344086021,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.23411299,0.7999999799999999
182.68,0.37281632653061225,0.01684587875,28,1,0.0,0.0,0.0,0.0,0.0,0.24557599,0.255
181.88,0.39973626373626375,0.017024108333333333,32,1,0.0,0.0,0.0,0.0,0.0,0.26658499,1.4500000000000002
181.88,0.3953913043478261,0.017024108333333333,32,1,0.0,0.0,0.0,0.0,0.0,0.25914299,1.17999995
181.88,0.3789166666666667,0.017024108333333333,32,1,0.0,0.0,0.0,0.0,0.0,0.245506,0.46499999000000003
181.88,0.3031333333333333,0.016871812197802198,368,1,0.0,0.0,0.0,0.0,0.0,0.23367999,0.815
181.88,0.433047619047619,0.016871812197802198,368,0,0.0,0.0,0.0,0.0,0.0,0.27982599,3.07500005
181.88,0.40417777777777775,0.016871812197802198,368,0,0.0,0.0,0.0,0.0,0.0,0.26817501,4.27499985
170.64,0.4161951219512195,0.01691604,31,1,0.0,0.0,0.0,0.0,0.0,0.28840101,2.42499995
170.64,0.40628571428571425,0.01691604,31,1,0.0,0.0,0.0,0.0,0.0,0.28173199,1.77499995
170.64,0.3968372093023255,0.01691604,31,1,0.0,0.0,0.0,0.0,0.0,0.27532199,1.2349999999999999
170.64,0.3922758620689655,0.01691604,31,1,0.0,0.0,0.0,0.0,0.0,0.27150601,1.005000015
170.64,0.3709565217391304,0.01691604,31,1,0.0,0.0,0.0,0.0,0.0,0.259247,0.28999999
170.64,0.40150588235294116,0.01691604,31,0,0.0,0.0,0.0,0.0,0.0,0.273844,1.25
170.64,0.46118918918918916,0.016851285494505496,367,1,0.0,0.0,0.0,0.0,0.0,0.29766399,8.4749999
170.64,0.40628571428571425,0.016851285494505496,367,1,0.0,0.0,0.0,0.0,0.0,0.27238899,5.27499985
170.64,0.3792,0.016851285494505496,367,1,0.0,0.0,0.0,0.0,0.0,0.26536199,3.85
170.64,0.363063829787234,0.016851285494505496,367,1,0.0,0.0,0.0,0.0,0.0,0.25509799,2.96500005
170.64,0.4875428571428571,0.016851285494505496,367,0,0.0,0.0,0.0,0.0,0.0,0.30526501,1.6749999999999998
170.64,0.4266,0.016851285494505496,367,0,0.0,0.0,0.0,0.0,0.0,0.27912,3.125
170.64,0.40628571428571425,0.016851285494505496,367,0,0.0,0.0,0.0,0.0,0.0,0.27004501,3.92499995
170.28,0.516,0.016857384615384614,366,0,0.0,0.0,0.0,0.0,0.0,0.31690699,1.2850000499999998
170.28,0.4054285714285714,0.016857384615384614,366,0,0.0,0.0,0.0,0.0,0.0,0.26965901,3.95000005
172.8,0.4114285714285715,0.0167118575,29,1,0.0,0.0,0.0,0.0,0.0,0.267674,2.0
172.8,0.39724137931034487,0.0167118575,29,1,0.0,0.0,0.0,0.0,0.0,0.25284299,1.1099999999999999
172.8,0.36000000000000004,0.0167118575,29,1,0.0,0.0,0.0,0.0,0.0,0.235329,0.0750000005
172.8,0.3676595744680851,0.016848126043956045,365,1,0.0,0.0,0.0,0.0,0.0,0.251461,3.125
172.8,0.49371428571428577,0.016848126043956045,365,0,0.0,0.0,0.0,0.0,0.0,0.30381599,1.545
172.8,0.43200000000000005,0.016848126043956045,365,0,0.0,0.0,0.0,0.0,0.0,0.276151,2.89
172.8,0.4114285714285715,0.016848126043956045,365,0,0.0,0.0,0.0,0.0,0.0,0.26704699,3.6499999499999998
177.12,0.4217142857142857,0.01663783375,28,1,0.0,0.0,0.0,0.0,0.0,0.26208001,2.67499995
177.12,0.4167529411764706,0.01663783375,28,1,0.0,0.0,0.0,0.0,0.0,0.25550601,2.28499995
177.12,0.40254545454545454,0.01663783375,28,1,0.0,0.0,0.0,0.0,0.0,0.237551,1.28
177.12,0.3850434782608696,0.01663783375,28,1,0.0,0.0,0.0,0.0,0.0,0.232793,0.48499998499999997
177.12,0.4787027027027027,0.01692361021978022,364,1,0.0,0.0,0.0,0.0,0.0,0.29701599,9.7000003
177.12,0.4217142857142857,0.01692361021978022,364,1,0.0,0.0,0.0,0.0,0.0,0.271106,6.25
177.12,0.3220363636363636,0.01692361021978022,364,1,0.0,0.0,0.0,0.0,0.0,0.231389,1.205
177.12,0.5367272727272727,0.01692361021978022,364,0,0.0,0.0,0.0,0.0,0.0,0.321879,1.08
177.12,0.5060571428571429,0.01692361021978022,364,0,0.0,0.0,0.0,0.0,0.0,0.30647501,1.38
176.28,0.4407,0.016758222857142856,31,1,0.0,0.0,0.0,0.0,0.0,0.28081101,4.29999995
176.28,0.409953488372093,0.016758222857142856,31,1,0.0,0.0,0.0,0.0,0.0,0.25301099,1.9100000499999998
176.28,0.4006363636363636,0.016758222857142856,31,1,0.0,0.0,0.0,0.0,0.0,0.243147,1.30000005
