S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
29.21,0.11684,0.05383790257142858,32,1,0.0,0.0,0.0,0.0,0.0,0.43898699,4.5
29.21,0.09736666666666667,0.05383790257142858,32,1,0.0,0.0,0.0,0.0,0.0,0.40327099,1.1
29.21,0.08345714285714285,0.05383790257142858,32,1,0.0,0.0,0.0,0.0,0.0,0.475528,0.225
29.21,0.11684,0.05383790257142858,32,0,0.0,0.0,0.0,0.0,0.0,0.44887301,0.20000000499999998
29.21,0.09736666666666667,0.05383790257142858,32,0,0.0,0.0,0.0,0.0,0.0,0.40375099,1.775
28.4,0.11359999999999999,0.05384070771428571,31,1,0.0,0.0,0.0,0.0,0.0,0.42206901,3.75
28.4,0.09466666666666666,0.05384070771428571,31,1,0.0,0.0,0.0,0.0,0.0,0.40935001,0.775000005
28.4,0.08114285714285714,0.05384070771428571,31,1,0.0,0.0,0.0,0.0,0.0,0.50596499,0.17500000500000001
28.4,0.11359999999999999,0.05384070771428571,31,0,0.0,0.0,0.0,0.0,0.0,0.443326,0.275000005
28.4,0.09466666666666666,0.05384070771428571,31,0,0.0,0.0,0.0,0.0,0.0,0.40707499,2.25
27.33,0.10931999999999999,0.053845918,30,1,0.0,0.0,0.0,0.0,0.0,0.427607,2.8500000500000002
27.33,0.0911,0.053845918,30,1,0.0,0.0,0.0,0.0,0.0,0.45519799,0.55000001
27.33,0.07808571428571429,0.053845918,30,1,0.0,0.0,0.0,0.0,0.0,0.54569,0.125000005
27.33,0.12146666666666665,0.053845918,30,1,0.0,0.0,0.0,0.0,0.0,0.43266299,5.0
27.33,0.10931999999999999,0.053845918,30,0,0.0,0.0,0.0,0.0,0.0,0.422418,0.39999998999999997
27.33,0.0911,0.053845918,30,0,0.0,0.0,0.0,0.0,0.0,0.42992699,3.04999995
25.95,0.1038,0.05384744857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.52080798,2.07500005
25.95,0.0865,0.05384744857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.54928702,0.42500000000000004
25.95,0.07414285714285714,0.05384744857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.58836401,0.0750000005
25.95,0.11533333333333333,0.05384744857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.52690703,3.85
25.95,0.1038,0.05384744857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.47585401,0.900000005
25.95,0.0865,0.05384744857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.50856102,4.29999995
25.95,0.07414285714285714,0.05384744857142856,29,0,0.0,0.0,0.0,0.0,0.0,-99.989998,9.0
25.95,0.11533333333333333,0.05384744857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.50854403,0.275000005
23.51,0.09404000000000001,0.05537417214285715,32,1,0.0,0.0,0.0,0.0,0.0,0.47529501,0.775000005
23.51,0.07836666666666667,0.05537417214285715,32,1,0.0,0.0,0.0,0.0,0.0,0.51478702,0.10000000549999999
23.51,0.1044888888888889,0.05537417214285715,32,1,0.0,0.0,0.0,0.0,0.0,0.50941002,2.0
23.51,0.11755,0.05537417214285715,32,0,0.0,0.0,0.0,0.0,0.0,0.56077898,0.29999999499999996
23.51,0.09404000000000001,0.05537417214285715,32,0,0.0,0.0,0.0,0.0,0.0,0.475784,2.17499995
23.51,0.1044888888888889,0.05537417214285715,32,0,0.0,0.0,0.0,0.0,0.0,0.48956001,0.849999995
24.94,0.1247,0.055402578214285715,31,1,0.0,0.0,0.0,0.0,0.0,0.57737201,5.14999985
24.94,0.09976,0.055402578214285715,31,1,0.0,0.0,0.0,0.0,0.0,0.421184,1.225
24.94,0.08313333333333334,0.055402578214285715,31,1,0.0,0.0,0.0,0.0,0.0,0.46209899,0.15000000000000002
24.94,0.07125714285714287,0.055402578214285715,31,1,0.0,0.0,0.0,0.0,0.0,0.59298199,0.05
24.94,0.14251428571428573,0.055402578214285715,31,1,0.0,0.0,0.0,0.0,0.0,0.78626603,7.5999999
24.94,0.11084444444444445,0.055402578214285715,31,1,0.0,0.0,0.0,0.0,0.0,0.47789299,2.92499995
24.94,0.1247,0.055402578214285715,31,0,0.0,0.0,0.0,0.0,0.0,0.59109002,0.17500000500000001
24.94,0.09976,0.055402578214285715,31,0,0.0,0.0,0.0,0.0,0.0,0.42413101,1.225
24.94,0.08313333333333334,0.055402578214285715,31,0,0.0,0.0,0.0,0.0,0.0,0.41029799,5.0999999
24.94,0.11084444444444445,0.055402578214285715,31,0,0.0,0.0,0.0,0.0,0.0,0.47830099,0.42500000000000004
25.27,0.12635,0.055453067142857145,30,1,0.0,0.0,0.0,0.0,0.0,0.45541,5.4000001
25.27,0.10108,0.055453067142857145,30,1,0.0,0.0,0.0,0.0,0.0,0.39164299,1.325
25.27,0.08423333333333333,0.055453067142857145,30,1,0.0,0.0,0.0,0.0,0.0,0.45873699,0.17500000500000001
25.27,0.11231111111111111,0.055453067142857145,30,1,0.0,0.0,0.0,0.0,0.0,0.414015,3.1
25.27,0.10108,0.055453067142857145,30,0,0.0,0.0,0.0,0.0,0.0,0.392353,0.94999999
25.27,0.08423333333333333,0.055453067142857145,30,0,0.0,0.0,0.0,0.0,0.0,0.440128,4.79999995
25.27,0.11231111111111111,0.055453067142857145,30,0,0.0,0.0,0.0,0.0,0.0,0.45580399,0.29999999499999996
24.42,0.09768,0.05542655642857144,29,1,0.0,0.0,0.0,0.0,0.0,0.413131,0.924999985
24.42,0.0814,0.05542655642857144,29,1,0.0,0.0,0.0,0.0,0.0,0.494771,0.125000005
24.42,0.13954285714285716,0.05542655642857144,29,1,0.0,0.0,0.0,0.0,0.0,0.44954899,7.0
24.42,0.10853333333333334,0.05542655642857144,29,1,0.0,0.0,0.0,0.0,0.0,0.45880601,2.475
24.42,0.09768,0.05542655642857144,29,0,0.0,0.0,0.0,0.0,0.0,0.39273301,1.35
24.42,0.0814,0.05542655642857144,29,0,0.0,0.0,0.0,0.0,0.0,0.44835201,5.5999999
24.42,0.10853333333333334,0.05542655642857144,29,0,0.0,0.0,0.0,0.0,0.0,0.40595999,0.35000001000000003
23.65,0.15766666666666665,0.05070752890109889,187,1,0.0,0.0,0.0,0.0,0.0,0.51517302,8.9500003
23.65,0.11825,0.05070752890109889,187,1,0.0,0.0,0.0,0.0,0.0,0.45702401,5.0
23.65,0.09459999999999999,0.05070752890109889,187,1,0.0,0.0,0.0,0.0,0.0,0.44105199,2.4250000500000004
23.65,0.07883333333333332,0.05070752890109889,187,1,0.0,0.0,0.0,0.0,0.0,0.432827,1.05
23.65,0.13514285714285715,0.05070752890109889,187,1,0.0,0.0,0.0,0.0,0.0,0.48367599,6.8499999
23.65,0.15766666666666665,0.05070752890109889,187,0,0.0,0.0,0.0,0.0,0.0,0.50827402,0.32499999999999996
23.65,0.11825,0.05070752890109889,187,0,0.0,0.0,0.0,0.0,0.0,0.45933601,1.3250000000000002
23.65,0.09459999999999999,0.05070752890109889,187,0,0.0,0.0,0.0,0.0,0.0,0.449175,3.6999999499999996
23.65,0.07883333333333332,0.05070752890109889,187,0,0.0,0.0,0.0,0.0,0.0,0.44993401,7.29999995
23.65,0.06757142857142857,0.05070752890109889,187,0,0.0,0.0,0.0,0.0,0.0,0.439293,11.6
23.65,0.13514285714285715,0.05070752890109889,187,0,0.0,0.0,0.0,0.0,0.0,0.47523701,0.674999985
