S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
355.50240063,1.0157211446571428,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.45729899,13.5
355.50240063,0.888756001575,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,-99.989998,8.5
355.50240063,0.7900053347333333,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.17357901,3.54999995
355.50240063,0.71100480126,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.17209899,0.35000001000000003
355.50240063,0.94800640168,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,-99.989998,11.0
355.50240063,0.7484261065894737,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.17186099,1.45
355.50240063,0.7900053347333333,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.200902,0.17500000500000001
355.50240063,0.71100480126,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.172253,2.20000005
355.50240063,0.7484261065894737,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.18012799,0.724999995
355.50240063,1.0157211446571428,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.235879,13.8
355.50240063,0.888756001575,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.217823,9.5
355.50240063,0.7900053347333333,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.187087,5.5999999
355.50240063,0.71100480126,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.17146,2.7749999499999998
355.50240063,0.6463680011454546,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.157279,1.05
355.50240063,0.59250400105,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.15369301,0.35000001000000003
355.50240063,0.8364762367764706,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.204294,7.5
355.50240063,0.7484261065894737,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.18160599,4.0999999
355.50240063,0.7900053347333333,0.04771222131868132,368,0,0.0,0.0,0.0,0.0,0.0,0.191091,1.95
355.50240063,0.71100480126,0.04771222131868132,368,0,0.0,0.0,0.0,0.0,0.0,0.169531,3.95000005
355.50240063,0.6463680011454546,0.04771222131868132,368,0,0.0,0.0,0.0,0.0,0.0,0.155836,7.29999995
355.50240063,0.8364762367764706,0.04771222131868132,368,0,0.0,0.0,0.0,0.0,0.0,0.20445301,1.35
355.50240063,0.7484261065894737,0.04771222131868132,368,0,0.0,0.0,0.0,0.0,0.0,0.179594,2.79999995
354.98856276,1.0142530364571427,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,-99.989998,13.4
354.98856276,0.8874714068999999,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.33812499,8.4499998
354.98856276,0.7888634727999999,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.191873,3.5
354.98856276,0.7099771255199999,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.173485,0.32499999999999996
354.98856276,0.9466361673599999,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,-99.989998,10.9
354.98856276,0.8352672064941176,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.301092,6.0
354.98856276,0.7473443426526315,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.17519,1.4
354.98856276,0.7888634727999999,0.045378857142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.201024,0.17500000500000001
354.98856276,0.7099771255199999,0.045378857142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.173501,2.25
354.98856276,0.5916476046,0.045378857142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.37860501,12.0
354.98856276,0.47331808367999995,0.045378857142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.72791499,27.0
354.98856276,0.7473443426526315,0.045378857142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.18237001,0.75
354.98856276,0.8874714068999999,0.04771386703296703,367,1,0.0,0.0,0.0,0.0,0.0,0.21493299,9.4000001
354.98856276,0.7888634727999999,0.04771386703296703,367,1,0.0,0.0,0.0,0.0,0.0,0.190579,5.5999999
354.98856276,0.7099771255199999,0.04771386703296703,367,1,0.0,0.0,0.0,0.0,0.0,0.17230199,2.75
354.98856276,0.6454337504727272,0.04771386703296703,367,1,0.0,0.0,0.0,0.0,0.0,0.15877099,1.05
354.98856276,0.5916476046,0.04771386703296703,367,1,0.0,0.0,0.0,0.0,0.0,0.15189999,0.32499999999999996
354.98856276,0.8352672064941176,0.04771386703296703,367,1,0.0,0.0,0.0,0.0,0.0,0.2016,7.4000001
