S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
321.14536064,0.8028634015999999,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.77669603,23.0
321.14536064,0.64229072128,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.45907599,13.05
321.14536064,0.5839006557090909,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.365639,8.25
321.14536064,0.5352422677333333,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.31523499,4.04999995
321.14536064,0.4940697856,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.29140601,1.3250000000000002
321.14536064,0.5585136706782609,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.341589,6.04999995
321.14536064,0.64229072128,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.43068999,0.10000000549999999
321.14536064,0.5839006557090909,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.36625001,0.32499999999999996
321.14536064,0.5352422677333333,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.313829,1.1
321.14536064,0.4940697856,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.285467,3.3500000500000002
321.14536064,0.6760954960842105,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.414951,0.0250000005
321.14536064,0.5585136706782609,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.33844101,0.599999995
321.14536064,1.0704845354666666,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.30874699,33.3999995
321.14536064,0.7136563569777777,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.29476199,19.8500005
321.14536064,0.64229072128,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.281176,15.75
321.14536064,0.5839006557090909,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.26945299,12.05
321.14536064,0.5352422677333333,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.26194,8.9000001
321.14536064,0.4940697856,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.25660601,6.3499999
321.14536064,0.4587790866285714,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.249294,4.29999995
321.14536064,0.40143170079999996,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.24156,1.7999999999999998
321.14536064,0.9175581732571428,0.04771222131868132,368,0,0.0,0.0,0.0,0.0,0.0,0.33447,0.20000000499999998
321.14536064,0.7136563569777777,0.04771222131868132,368,0,0.0,0.0,0.0,0.0,0.0,0.298944,0.849999995
321.14536064,0.64229072128,0.04771222131868132,368,0,0.0,0.0,0.0,0.0,0.0,0.28552499,1.575
321.14536064,0.5839006557090909,0.04771222131868132,368,0,0.0,0.0,0.0,0.0,0.0,0.27559701,2.75
321.14536064,0.5352422677333333,0.04771222131868132,368,0,0.0,0.0,0.0,0.0,0.0,0.26430699,4.4000001
316.86070865,0.7041349081111111,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.50333601,17.0500005
316.86070865,0.6337214173,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.430096,12.15
316.86070865,0.5761103793636364,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.35237801,7.4000001
