S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
125.77562712,0.2286829584,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.2122,1.45
125.77562712,0.21874022107826085,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.197476,0.45000000500000004
125.77562712,0.2286829584,0.047610910000000006,186,1,0.0,0.0,0.0,0.0,0.0,0.225996,3.85
125.77562712,0.2647907939368421,0.047610910000000006,186,1,0.0,0.0,0.0,0.0,0.0,0.260198,9.0499997
125.77562712,0.25155125423999997,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.255806,0.20000000499999998
125.77562712,0.21874022107826085,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.19395,2.92499995
122.51258019,0.2227501458,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.211235,0.80000001
122.51258019,0.2333572956,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.229964,2.1499999499999998
122.51258019,0.24502516038,0.047606391428571426,185,1,0.0,0.0,0.0,0.0,0.0,0.24743301,6.04999995
122.51258019,0.2227501458,0.047606391428571426,185,1,0.0,0.0,0.0,0.0,0.0,0.22693899,3.1
122.51258019,0.20418763364999998,0.047606391428571426,185,1,0.0,0.0,0.0,0.0,0.0,0.211762,1.275
122.51258019,0.2130653568521739,0.047606391428571426,185,1,0.0,0.0,0.0,0.0,0.0,0.217171,2.0249999499999998
122.51258019,0.24502516038,0.045378857142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.25198701,0.35000001000000003
122.51258019,0.2227501458,0.045378857142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.21586099,2.17499995
122.51258019,0.20418763364999998,0.045378857142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.161163,6.4000001
122.51258019,0.2333572956,0.045378857142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.228196,0.92500001
122.51258019,0.2130653568521739,0.045378857142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.207185,4.0999999
122.51258019,0.24502516038,0.047606391428571426,185,0,0.0,0.0,0.0,0.0,0.0,0.24515601,1.875
122.51258019,0.2227501458,0.047606391428571426,185,0,0.0,0.0,0.0,0.0,0.0,0.22628701,3.9
122.51258019,0.2333572956,0.047606391428571426,185,0,0.0,0.0,0.0,0.0,0.0,0.23372801,2.7250000500000002
122.51258019,0.2130653568521739,0.047606391428571426,185,0,0.0,0.0,0.0,0.0,0.0,0.22122,5.4000001
122.51258019,0.27225017819999997,0.04771386703296703,367,1,0.0,0.0,0.0,0.0,0.0,0.25069699,10.899999999999999
122.51258019,0.2227501458,0.04771386703296703,367,0,0.0,0.0,0.0,0.0,0.0,0.226615,5.0
