S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
396.78071159999996,0.3890006976470588,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.229513,1.90500005
396.78071159999996,0.40695457599999996,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.25934899,0.8250000150000001
390.61512,0.3867476435643564,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.240325,2.20500005
383.2623648,0.3794676879207921,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.237533,2.28
383.2623648,0.3871337018181818,0.01740261057142857,31,0,0.0,0.0,0.0,0.0,0.0,0.248577,2.4250000500000004
387.3216984,0.37972715529411766,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.241375,2.30499995
387.3216984,0.36887780800000003,0.016949128333333334,30,0,0.0,0.0,0.0,0.0,0.0,0.231473,5.22500015
388.891818,0.388891818,0.01684587875,28,0,0.0,0.0,0.0,0.0,0.0,0.25622499,2.19000005
390.2704596,0.371686152,0.017024108333333333,32,1,0.0,0.0,0.0,0.0,0.0,0.211908,1.31
390.2704596,0.36136153666666665,0.017024108333333333,32,1,0.0,0.0,0.0,0.0,0.0,0.201364,0.53
390.2704596,0.3902704596,0.016871812197802198,368,1,0.0,0.0,0.0,0.0,0.0,0.24667799,10.825
390.2704596,0.3902704596,0.016871812197802198,368,0,0.0,0.0,0.0,0.0,0.0,0.24812999,9.0
390.2704596,0.5575292279999999,0.016871812197802198,368,0,0.0,0.0,0.0,0.0,0.0,0.338112,1.90000005
390.2704596,0.4730551025454545,0.016871812197802198,368,0,0.0,0.0,0.0,0.0,0.0,0.292225,3.6499999499999998
390.2704596,0.433633844,0.016871812197802198,368,0,0.0,0.0,0.0,0.0,0.0,0.27163699,5.45000005
390.2704596,0.41081101010526316,0.016871812197802198,368,0,0.0,0.0,0.0,0.0,0.0,0.25889999,7.02499985
392.7596736,0.38505850352941173,0.01691604,31,1,0.0,0.0,0.0,0.0,0.0,0.245965,3.04999995
392.7596736,0.38132007145631064,0.01691604,31,1,0.0,0.0,0.0,0.0,0.0,0.241693,2.5149999999999997
392.7596736,0.3776535323076923,0.01691604,31,1,0.0,0.0,0.0,0.0,0.0,0.233318,1.99499995
392.7596736,0.374056832,0.01691604,31,1,0.0,0.0,0.0,0.0,0.0,0.231233,1.6099999999999999
392.7596736,0.37052799396226416,0.01691604,31,1,0.0,0.0,0.0,0.0,0.0,0.228331,1.2650000000000001
392.7596736,0.36366636444444445,0.01691604,31,1,0.0,0.0,0.0,0.0,0.0,0.220248,0.72
392.7596736,0.3603299757798165,0.01691604,31,1,0.0,0.0,0.0,0.0,0.0,0.21661,0.52499999
392.7596736,0.3570542487272727,0.01691604,31,1,0.0,0.0,0.0,0.0,0.0,0.21489701,0.385000005
392.7596736,0.388870963960396,0.01691604,31,0,0.0,0.0,0.0,0.0,0.0,0.23411299,2.30999995
392.7596736,0.38505850352941173,0.01691604,31,0,0.0,0.0,0.0,0.0,0.0,0.22758099,2.72000005
392.7596736,0.7855193471999999,0.016851285494505496,367,0,0.0,0.0,0.0,0.0,0.0,0.43918601,0.659999995
391.9171704,0.380502107184466,0.016863545833333334,30,1,0.0,0.0,0.0,0.0,0.0,0.235559,2.4300000500000003
391.9171704,0.39191717039999996,0.016863545833333334,30,0,0.0,0.0,0.0,0.0,0.0,0.235797,1.81
391.9171704,0.39991548,0.016863545833333334,30,0,0.0,0.0,0.0,0.0,0.0,0.247867,1.25
391.9171704,0.3938866034170854,0.016863545833333334,30,0,0.0,0.0,0.0,0.0,0.0,0.24134199,1.6800000000000002
391.9171704,0.2612781136,0.016857384615384614,366,1,0.0,0.0,0.0,0.0,0.0,0.174641,0.11
391.9171704,0.39191717039999996,0.016857384615384614,366,0,0.0,0.0,0.0,0.0,0.0,0.241925,8.5250001
391.9171704,0.42369423827027025,0.016857384615384614,366,0,0.0,0.0,0.0,0.0,0.0,0.25966501,5.82500005
394.13831519999997,0.3427289697391304,0.016848126043956045,365,1,0.0,0.0,0.0,0.0,0.0,0.21366701,4.42499995
394.13831519999997,0.40424442584615383,0.016848126043956045,365,1,0.0,0.0,0.0,0.0,0.0,0.246145,12.675
394.13831519999997,0.3941383152,0.016848126043956045,365,0,0.0,0.0,0.0,0.0,0.0,0.238745,8.1500001
394.13831519999997,0.563054736,0.016848126043956045,365,0,0.0,0.0,0.0,0.0,0.0,0.33010799,1.63500005
394.13831519999997,0.46369213552941174,0.016848126043956045,365,0,0.0,0.0,0.0,0.0,0.0,0.277542,3.70000005
394.13831519999997,0.40424442584615383,0.016848126043956045,365,0,0.0,0.0,0.0,0.0,0.0,0.244259,7.17499995
398.77208279999996,0.38715736194174755,0.01663783375,28,1,0.0,0.0,0.0,0.0,0.0,0.22540601,3.15
398.77208279999996,0.37268418953271026,0.01663783375,28,1,0.0,0.0,0.0,0.0,0.0,0.208667,1.225
398.77208279999996,0.36923341,0.01663783375,28,1,0.0,0.0,0.0,0.0,0.0,0.206388,0.925000015
398.77208279999996,0.40899700799999994,0.01663783375,28,0,0.0,0.0,0.0,0.0,0.0,0.25864401,0.7549999949999999
398.77208279999996,0.40899700799999994,0.01692361021978022,364,0,0.0,0.0,0.0,0.0,0.0,0.245717,6.79999995
391.3427364,0.3913427364,0.016758222857142856,31,1,0.0,0.0,0.0,0.0,0.0,0.253878,4.125
391.3427364,0.3874680558415841,0.016758222857142856,31,1,0.0,0.0,0.0,0.0,0.0,0.245353,3.45000005
391.3427364,0.38366934941176467,0.016758222857142856,31,1,0.0,0.0,0.0,0.0,0.0,0.24209601,2.885
391.3427364,0.3799444042718446,0.016758222857142856,31,1,0.0,0.0,0.0,0.0,0.0,0.23608901,2.3499999
391.3427364,0.372707368,0.016758222857142856,31,1,0.0,0.0,0.0,0.0,0.0,0.227378,1.49
391.3427364,0.369191260754717,0.016758222857142856,31,1,0.0,0.0,0.0,0.0,0.0,0.223548,1.15499995
391.3427364,0.3590300333944954,0.016758222857142856,31,1,0.0,0.0,0.0,0.0,0.0,0.21363699,0.47500001000000003
391.3427364,0.35576612399999996,0.016758222857142856,31,1,0.0,0.0,0.0,0.0,0.0,0.21029601,0.33499999
391.3427364,0.34941315749999996,0.016758222857142856,31,1,0.0,0.0,0.0,0.0,0.0,0.208442,0.170000005
391.3427364,0.4119397225263158,0.016758222857142856,31,1,0.0,0.0,0.0,0.0,0.0,0.27531001,7.924999699999999
391.3427364,0.3913427364,0.016758222857142856,31,0,0.0,0.0,0.0,0.0,0.0,0.23364501,1.885
391.3427364,0.38366934941176467,0.016758222857142856,31,0,0.0,0.0,0.0,0.0,0.0,0.223801,2.69000005
391.3427364,0.3799444042718446,0.016758222857142856,31,0,0.0,0.0,0.0,0.0,0.0,0.218427,3.17499995
391.3427364,0.37629109269230765,0.016758222857142856,31,0,0.0,0.0,0.0,0.0,0.0,0.21327101,3.7250000500000002
391.3427364,0.372707368,0.016758222857142856,31,0,0.0,0.0,0.0,0.0,0.0,0.20919301,4.35000015
391.3427364,0.46040321929411765,0.016758222857142856,31,0,0.0,0.0,0.0,0.0,0.0,0.339616,0.12000000699999999
391.3427364,0.43482526266666666,0.016758222857142856,31,0,0.0,0.0,0.0,0.0,0.0,0.30104101,0.29500000000000004
391.3427364,0.4230732285405405,0.016758222857142856,31,0,0.0,0.0,0.0,0.0,0.0,0.28029901,0.45499999999999996
391.3427364,0.4119397225263158,0.016758222857142856,31,0,0.0,0.0,0.0,0.0,0.0,0.260162,0.71000001
391.3427364,0.40344611999999996,0.016758222857142856,31,0,0.0,0.0,0.0,0.0,0.0,0.24736901,1.04499995
391.3427364,0.39932932285714284,0.016758222857142856,31,0,0.0,0.0,0.0,0.0,0.0,0.243239,1.28499995
391.3427364,0.3952956933333333,0.016758222857142856,31,0,0.0,0.0,0.0,0.0,0.0,0.238304,1.56
391.3427364,0.372707368,0.016673046593406595,360,1,0.0,0.0,0.0,0.0,0.0,0.230354,8.0250001
391.3427364,0.34029803165217387,0.016673046593406595,360,1,0.0,0.0,0.0,0.0,0.0,0.21257,4.07500005
391.3427364,0.3913427364,0.016673046593406595,360,0,0.0,0.0,0.0,0.0,0.0,0.23861,8.4000001
391.3427364,0.9208064385882353,0.016673046593406595,360,0,0.0,0.0,0.0,0.0,0.0,0.44972,0.264999995
391.3427364,0.7115322479999999,0.016673046593406595,360,0,0.0,0.0,0.0,0.0,0.0,0.39174601,0.670000015
391.3427364,0.652237894,0.016673046593406595,360,0,0.0,0.0,0.0,0.0,0.0,0.36364701,0.854999995
391.3427364,0.4891784205,0.016673046593406595,360,0,0.0,0.0,0.0,0.0,0.0,0.29185799,2.855
391.3427364,0.40137716553846153,0.016673046593406595,360,0,0.0,0.0,0.0,0.0,0.0,0.243613,7.375
408.8438256,0.4088438256,0.016714724285714286,30,1,0.0,0.0,0.0,0.0,0.0,0.212915,7.17499995
408.8438256,0.40082728,0.016714724285714286,30,1,0.0,0.0,0.0,0.0,0.0,0.200303,5.42499995
408.8438256,0.39693575300970874,0.016714724285714286,30,1,0.0,0.0,0.0,0.0,0.0,0.194135,4.60000015
408.8438256,0.39311906307692307,0.016714724285714286,30,1,0.0,0.0,0.0,0.0,0.0,0.188122,3.82500005
408.8438256,0.389375072,0.016714724285714286,30,1,0.0,0.0,0.0,0.0,0.0,0.186012,3.1499999499999998
408.8438256,0.38570172226415095,0.016714724285714286,30,1,0.0,0.0,0.0,0.0,0.0,0.180905,2.51
408.8438256,0.38209703327102806,0.016714724285714286,30,1,0.0,0.0,0.0,0.0,0.0,0.17846,1.975
408.8438256,0.3785590977777778,0.016714724285714286,30,1,0.0,0.0,0.0,0.0,0.0,0.174439,1.495
408.8438256,0.37508607853211007,0.016714724285714286,30,1,0.0,0.0,0.0,0.0,0.0,0.17123701,1.105
408.8438256,0.3716762050909091,0.016714724285714286,30,1,0.0,0.0,0.0,0.0,0.0,0.16880199,0.794999985
408.8438256,0.3683277708108108,0.016714724285714286,30,1,0.0,0.0,0.0,0.0,0.0,0.16701099,0.56
408.8438256,0.36180869522123893,0.016714724285714286,30,1,0.0,0.0,0.0,0.0,0.0,0.163234,0.250000005
408.8438256,0.3555163700869565,0.016714724285714286,30,1,0.0,0.0,0.0,0.0,0.0,0.165356,0.115
408.8438256,0.4088438256,0.016714724285714286,30,0,0.0,0.0,0.0,0.0,0.0,0.216627,0.525000005
408.8438256,0.40082728,0.016714724285714286,30,0,0.0,0.0,0.0,0.0,0.0,0.204125,0.825000015
408.8438256,0.39693575300970874,0.016714724285714286,30,0,0.0,0.0,0.0,0.0,0.0,0.197385,1.025
408.8438256,0.39311906307692307,0.016714724285714286,30,0,0.0,0.0,0.0,0.0,0.0,0.191521,1.28
408.8438256,0.389375072,0.016714724285714286,30,0,0.0,0.0,0.0,0.0,0.0,0.187409,1.6099999999999999
408.8438256,0.38570172226415095,0.016714724285714286,30,0,0.0,0.0,0.0,0.0,0.0,0.182933,2.0
408.8438256,0.38209703327102806,0.016714724285714286,30,0,0.0,0.0,0.0,0.0,0.0,0.17891,2.46500005
408.8438256,0.3785590977777778,0.016714724285714286,30,0,0.0,0.0,0.0,0.0,0.0,0.174998,3.005
408.8438256,0.45427091733333336,0.016714724285714286,30,0,0.0,0.0,0.0,0.0,0.0,0.31084001,0.1
408.8438256,0.4303619216842105,0.016714724285714286,30,0,0.0,0.0,0.0,0.0,0.0,0.25555801,0.189999995
408.8438256,0.41932700061538464,0.016714724285714286,30,0,0.0,0.0,0.0,0.0,0.0,0.23427001,0.305000005
406.0482468,0.4060482468,0.016692569285714286,29,1,0.0,0.0,0.0,0.0,0.0,0.23283,6.67499995
406.0482468,0.39808651647058824,0.016692569285714286,29,1,0.0,0.0,0.0,0.0,0.0,0.21109299,4.92499995
406.0482468,0.39422159883495145,0.016692569285714286,29,1,0.0,0.0,0.0,0.0,0.0,0.204739,4.14999985
406.0482468,0.386712616,0.016692569285714286,29,1,0.0,0.0,0.0,0.0,0.0,0.19383299,2.76999995
406.0482468,0.3830643837735849,0.016692569285714286,29,1,0.0,0.0,0.0,0.0,0.0,0.18793599,2.1750000500000004
406.0482468,0.37948434280373833,0.016692569285714286,29,1,0.0,0.0,0.0,0.0,0.0,0.183153,1.66500005
406.0482468,0.37252132733944954,0.016692569285714286,29,1,0.0,0.0,0.0,0.0,0.0,0.175633,0.9000000100000001
406.0482468,0.36913476981818183,0.016692569285714286,29,1,0.0,0.0,0.0,0.0,0.0,0.172251,0.629999995
406.0482468,0.36254307750000003,0.016692569285714286,29,1,0.0,0.0,0.0,0.0,0.0,0.167733,0.28500000999999997
406.0482468,0.4060482468,0.016692569285714286,29,0,0.0,0.0,0.0,0.0,0.0,0.213338,0.5850000049999999
