S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
15.529409999999999,0.0887394857142857,0.005192929047619047,179,1,0.0,0.0,0.0,0.0,0.0,0.567545,1.42499995
20.41003392,0.1020501696,0.0028034288571428573,29,1,0.0,0.0,0.0,0.0,0.0,0.238198,0.32499999
28.43777332,0.11375109328,0.002911004761904762,187,0,0.0,0.0,0.0,0.0,0.0,0.28165001,1.5
32.899618,0.14622052444444442,0.002769078928571429,93,1,0.0,0.0,0.0,0.0,0.0,-99.989998,7.8499999
32.899618,0.10966539333333332,0.0030329733333333336,184,0,0.0,0.0,0.0,0.0,0.0,0.247026,2.1
37.30061608,0.1065731888,0.002097899285714286,31,1,0.0,0.0,0.0,0.0,0.0,0.227378,0.575
37.559498319999996,0.10731285234285713,0.0020869157142857143,30,1,0.0,0.0,0.0,0.0,0.0,0.22469699,0.650000005
40.41324716,0.1010331179,0.0026285817142857144,92,1,0.0,0.0,0.0,0.0,0.0,0.248072,0.69999999
39.68799696000001,0.11339427702857145,0.0021362237142857144,92,1,0.0,0.0,0.0,0.0,0.0,0.265964,1.475
69.37269536,0.11562115893333333,0.002108646,31,1,0.0,0.0,0.0,0.0,0.0,0.238864,0.77499998
68.08079871999999,0.13616159743999998,0.005897788571428571,93,0,0.0,0.0,0.0,0.0,0.0,0.31189099,1.17500001
68.27421007999999,0.1241349274181818,0.004353287142857143,31,0,0.0,0.0,0.0,0.0,0.0,0.265784,1.074999995
72.7710242,0.12128504033333333,0.004419762857142857,31,1,0.0,0.0,0.0,0.0,0.0,0.37049299,2.6999999499999996
72.7710242,0.1323109530909091,0.004419762857142857,31,0,0.0,0.0,0.0,0.0,0.0,0.39243299,0.799999995
72.7710242,0.12128504033333333,0.004419762857142857,31,0,0.0,0.0,0.0,0.0,0.0,0.341315,2.275
72.58970104999999,0.12098283508333331,0.0044106828571428575,30,0,0.0,0.0,0.0,0.0,0.0,0.30743399,2.07500005
74.14908014,0.12358180023333333,0.004412413714285714,29,0,0.0,0.0,0.0,0.0,0.0,0.27566701,1.69999995
79.93933272999999,0.13323222121666664,0.0044727,31,0,0.0,0.0,0.0,0.0,0.0,0.34636399,0.64999999
88.59681082,0.11812908109333334,0.004524068571428571,32,1,0.0,0.0,0.0,0.0,0.0,0.25380701,1.27499999
93.42006310000001,0.1099059565882353,0.004475461428571428,32,1,0.0,0.0,0.0,0.0,0.0,0.26739499,0.275000005
91.28857535000002,0.12171810046666669,0.004492426285714286,31,1,0.0,0.0,0.0,0.0,0.0,0.25082701,2.175
91.28857535000002,0.11411071918750001,0.004492426285714286,31,1,0.0,0.0,0.0,0.0,0.0,0.253775,0.599999995
91.28857535000002,0.13041225050000002,0.004492426285714286,31,0,0.0,0.0,0.0,0.0,0.0,0.269831,0.599999995
91.28857535000002,0.12171810046666669,0.004492426285714286,31,0,0.0,0.0,0.0,0.0,0.0,0.236733,2.07500005
90.85009787000001,0.12113346382666669,0.004511882285714286,28,1,0.0,0.0,0.0,0.0,0.0,0.267946,1.925
100.25300383000001,0.11794471038823531,0.004515155,31,1,0.0,0.0,0.0,0.0,0.0,0.227109,0.97500001
102.17743277000001,0.12020874443529413,0.004524240434782609,29,1,0.0,0.0,0.0,0.0,0.0,0.206655,1.15
102.51847081000001,0.1281480885125,0.0045059956521739135,28,1,0.0,0.0,0.0,0.0,0.0,-99.989998,4.04999995
102.51847081000001,0.12060996565882354,0.0045059956521739135,28,1,0.0,0.0,0.0,0.0,0.0,0.21311601,1.175
104.04531759999999,0.12240625599999999,0.004985965714285714,32,1,0.0,0.0,0.0,0.0,0.0,0.26892701,2.5249999499999998
104.04531759999999,0.11560590844444443,0.007353905000000001,186,1,0.0,0.0,0.0,0.0,0.0,0.232539,3.20000005
103.8124992,0.129765624,0.004959032285714285,31,1,0.0,0.0,0.0,0.0,0.0,0.319022,6.0
103.8124992,0.122132352,0.004959032285714285,31,1,0.0,0.0,0.0,0.0,0.0,0.25807899,2.42499995
104.5109544,0.122954064,0.0049637405714285715,30,1,0.0,0.0,0.0,0.0,0.0,0.25586599,2.525
104.5109544,0.11612328266666667,0.0049637405714285715,30,1,0.0,0.0,0.0,0.0,0.0,0.240402,0.69999999
104.5109544,0.14930136342857142,0.0049637405714285715,30,0,0.0,0.0,0.0,0.0,0.0,0.43700999,0.25
104.5109544,0.122954064,0.006876335714285714,93,1,0.0,0.0,0.0,0.0,0.0,0.25559801,4.3500001500000005
104.5109544,0.1393479392,0.007676119285714286,184,0,0.0,0.0,0.0,0.0,0.0,0.26741201,2.425
