S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
,,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.404515,9.9000001
,,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.35309801,5.5999999
,,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.33373299,2.5
,,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.31777999,0.80000001
,,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.31542501,0.20000000499999998
,,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.32637799,0.05
,,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.44586799,0.125000005
,,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.39431801,0.375
,,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.35904601,1.15
,,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.335401,3.0249999499999998
,,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.31603801,6.29999995
,,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.373377,8.2999997
,,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.36029801,6.3499999
,,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.344596,4.64999985
,,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.32537001,2.42499995
,,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.31603101,1.675
,,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.30731899,1.125
,,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.491404,0.875
,,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.41146201,6.4000001
,,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.39709699,8.4000001
,,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.34816799,19.9499995
,,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.34696099,4.79999995
,,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.32687399,1.95
,,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.31766,0.575000015
,,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.32558301,0.15000000000000002
,,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.446201,0.15000000000000002
,,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.38657799,0.42500000000000004
,,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.340316,1.25
,,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.32717901,3.45000005
,,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.30317101,7.0
,,0.005224085604395604,367,1,0.0,0.0,0.0,0.0,0.0,0.33914101,4.14999985
,,0.005224085604395604,367,1,0.0,0.0,0.0,0.0,0.0,0.33098599,3.0249999499999998
,,0.005224085604395604,367,0,0.0,0.0,0.0,0.0,0.0,0.42141101,4.8499999
,,0.005224085604395604,367,0,0.0,0.0,0.0,0.0,0.0,0.366018,13.85
,,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.382938,7.45000005
,,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.347662,3.6499999499999998
,,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.329045,1.3
,,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.32646099,0.35000001000000003
,,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.345503,0.10000000549999999
,,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.43955001,0.20000000499999998
,,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.38947701,0.625
,,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.347936,1.8
,,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.32201201,4.4000001
,,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.32692799,8.5
,,0.005042444395604395,366,1,0.0,0.0,0.0,0.0,0.0,0.37001801,6.9000001
,,0.005042444395604395,366,0,0.0,0.0,0.0,0.0,0.0,0.453127,2.5500000500000004
,,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.44948599,9.9000001
,,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.38200799,2.54999995
,,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.361716,0.825000015
,,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.354119,0.20000000499999998
,,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.33237401,0.0250000005
,,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.458343,0.39999998999999997
,,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.417806,1.2
,,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.382148,3.0249999499999998
,,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.36198699,6.29999995
,,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.34477401,10.65
,,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.45374101,0.0250000005
,,0.005043505054945056,365,1,0.0,0.0,0.0,0.0,0.0,0.42789999,13.05
,,0.005043505054945056,365,1,0.0,0.0,0.0,0.0,0.0,0.38409501,6.25
,,0.005043505054945056,365,1,0.0,0.0,0.0,0.0,0.0,0.328058,1.125
,,0.005043505054945056,365,0,0.0,0.0,0.0,0.0,0.0,0.55337501,0.375
,,0.005043505054945056,365,0,0.0,0.0,0.0,0.0,0.0,0.511774,1.325
,,0.005043505054945056,365,0,0.0,0.0,0.0,0.0,0.0,0.474803,3.1999999499999996
,,0.005043505054945056,365,0,0.0,0.0,0.0,0.0,0.0,0.44136801,6.25
,,0.005043505054945056,365,0,0.0,0.0,0.0,0.0,0.0,0.55568701,0.22500000999999997
,,0.005008636373626374,362,1,0.0,0.0,0.0,0.0,0.0,0.43706799,15.600000000000001
,,0.005008636373626374,362,1,0.0,0.0,0.0,0.0,0.0,0.35986,3.3000000500000004
,,0.005008636373626374,362,1,0.0,0.0,0.0,0.0,0.0,0.34813499,2.32500005
,,0.005008636373626374,362,1,0.0,0.0,0.0,0.0,0.0,0.33616,1.575
,,0.005008636373626374,362,0,0.0,0.0,0.0,0.0,0.0,0.47349599,3.1999999499999996
,,0.005008636373626374,362,0,0.0,0.0,0.0,0.0,0.0,0.45241201,4.5
,,0.005008636373626374,362,0,0.0,0.0,0.0,0.0,0.0,0.423935,8.2999997
,,0.005008636373626374,362,0,0.0,0.0,0.0,0.0,0.0,0.370756,20.0500005
,,0.004990436923076923,361,0,0.0,0.0,0.0,0.0,0.0,0.37605301,19.3500005
,,0.004990436923076923,361,0,0.0,0.0,0.0,0.0,0.0,0.36143199,22.9499995
,,0.0052232156043956045,360,0,0.0,0.0,0.0,0.0,0.0,0.429362,8.00000025
,,0.0052232156043956045,360,0,0.0,0.0,0.0,0.0,0.0,0.387126,16.0
,,0.0052232156043956045,360,0,0.0,0.0,0.0,0.0,0.0,0.36611801,23.0999995
,,0.0023469157142857145,32,1,0.0,0.0,0.0,0.0,0.0,0.44029799,4.04999995
,,0.0023469157142857145,32,1,0.0,0.0,0.0,0.0,0.0,0.41104999,1.75
