S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
1125.5437206,2.473722462857143,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.22111499,3.1499999499999998
1125.5437206,2.394773873617021,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.20079599,1.92000005
1125.5437206,2.369565727578947,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.191385,1.54499995
1125.5437206,2.3448827512499997,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.187547,1.23
1125.5437206,2.3207087022680413,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.18232401,0.944999995
1125.5437206,2.2970280012244895,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.178065,0.705000015
1125.5437206,2.273825698181818,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.17458899,0.5099999900000001
1125.5437206,2.2510874411999997,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.172389,0.359999995
1125.5437206,2.2069484717647057,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.169626,0.165
1125.5437206,2.143892801142857,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.177302,0.05499999950000001
1125.5437206,2.473722462857143,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.209325,0.21000000000000002
1125.5437206,2.394773873617021,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.187387,0.45499999999999996
1125.5437206,2.369565727578947,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.18108401,0.59
1125.5437206,2.3448827512499997,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.17691,0.7699999799999999
1107.1798309,2.4603996242222226,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.19018801,2.83499995
1107.1798309,2.3557017678723406,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.204421,1.435
1107.1798309,2.330904907157895,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.19869301,1.13
1107.1798309,2.3066246477083334,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.193564,0.8650000099999999
1107.1798309,2.2828450121649486,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.188582,0.63999999
1107.1798309,2.2595506753061225,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.18473201,0.459999995
1107.1798309,2.2143596618,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.180172,0.219999995
1107.1798309,2.488044563820225,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.22307301,0.190000005
1107.1798309,2.4603996242222226,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.21524601,0.24499999500000003
1107.1798309,2.433362265714286,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.20725399,0.31500001
1107.1798309,2.4069126758695654,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.20060401,0.41000000000000003
1107.1798309,2.3810318944086024,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.194906,0.534999995
1107.1798309,2.3557017678723406,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.188981,0.69
1107.1798309,2.330904907157895,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.181906,0.875
1107.1798309,2.3066246477083334,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.17766599,1.115
1111.1315539999998,2.3392243242105257,0.01728078057142857,32,1,0.0,0.0,0.0,0.0,0.0,0.19170199,1.26999995
1111.1315539999998,2.3148574041666663,0.01728078057142857,32,1,0.0,0.0,0.0,0.0,0.0,0.185041,0.980000005
1111.1315539999998,2.2909928948453606,0.01728078057142857,32,1,0.0,0.0,0.0,0.0,0.0,0.183285,0.755000025
1111.1315539999998,2.2676154163265303,0.01728078057142857,32,1,0.0,0.0,0.0,0.0,0.0,0.181099,0.565
1111.1315539999998,2.24471021010101,0.01728078057142857,32,1,0.0,0.0,0.0,0.0,0.0,0.178774,0.41000000000000003
1111.1315539999998,2.2222631079999995,0.01728078057142857,32,1,0.0,0.0,0.0,0.0,0.0,0.171957,0.27
1111.1315539999998,2.4691812311111105,0.01728078057142857,32,0,0.0,0.0,0.0,0.0,0.0,0.219091,0.274999995
1111.1315539999998,2.415503378260869,0.01728078057142857,32,0,0.0,0.0,0.0,0.0,0.0,0.20512301,0.44
1111.1315539999998,2.3895302236559135,0.01728078057142857,32,0,0.0,0.0,0.0,0.0,0.0,0.20136601,0.56999999
1111.1315539999998,2.364109689361702,0.01728078057142857,32,0,0.0,0.0,0.0,0.0,0.0,0.196851,0.724999995
1111.1315539999998,2.3392243242105257,0.01728078057142857,32,0,0.0,0.0,0.0,0.0,0.0,0.191029,0.905000005
1103.9254707,2.348777597234043,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.196288,1.37999995
1103.9254707,2.324053622526316,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.18842401,1.070000015
1103.9254707,2.299844730625,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.18839701,0.8400000000000001
1103.9254707,2.2761349911340205,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.185102,0.629999995
1103.9254707,2.230152466060606,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.17846701,0.32000000500000003
1103.9254707,2.164559746470588,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.188224,0.13
