S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
150.14676075,0.5004892025,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.341829,4.04999995
150.14676075,0.428990745,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.25008801,0.55000001
150.14676075,0.46920862734375,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.29004899,2.29999995
150.14676075,0.4549901840909091,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.281638,1.6
150.14676075,0.41707433541666666,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.242231,0.275000005
150.14676075,0.4416081198529412,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.265542,0.999999995
150.14676075,0.40580205608108105,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.238028,0.125000005
150.14676075,0.517747450862069,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.37452799,5.0
150.14676075,0.5004892025,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.33833101,0.17500000500000001
150.14676075,0.428990745,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.24167199,1.65
150.14676075,0.46920862734375,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.288122,0.42500000000000004
150.14676075,0.4549901840909091,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.273404,0.69999999
150.14676075,0.53623843125,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.391449,0.0750000005
150.14676075,0.4416081198529412,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.257833,1.1
150.14676075,0.484344389516129,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.31420499,0.275000005
150.14676075,0.517747450862069,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.37281001,0.125000005
150.14676075,0.428990745,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.26496401,3.04999995
150.14676075,0.375366901875,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.25301301,1.4
150.14676075,0.3336594683333333,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.242649,0.55000001
150.14676075,0.3002935215,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.237076,0.20000000499999998
150.14676075,0.27299411045454547,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.236974,0.0750000005
150.14676075,0.600587043,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.319756,0.875
150.14676075,0.5004892025,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.29075,2.125
150.14676075,0.428990745,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.26470801,4.29999995
150.14676075,0.375366901875,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.24861901,7.5999999
150.14676075,0.375366901875,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,-99.989998,6.0999999
150.0915093,0.6253812887500001,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.42177099,9.8499999
150.0915093,0.42883288371428574,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.24308001,0.5
150.0915093,0.4690359665625,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.28571999,2.25
150.0915093,0.4548227554545455,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.27105501,1.525
150.0915093,0.4169208591666667,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.239382,0.25000000499999997
150.0915093,0.4414456155882353,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.25455701,0.924999985
150.0915093,0.4841661590322581,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.31107199,3.1
150.0915093,0.40565272783783785,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.243691,0.125000005
150.0915093,0.500305031,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.327438,0.15000000000000002
150.0915093,0.42883288371428574,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.23979101,1.65
150.0915093,0.4690359665625,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.282096,0.39999998999999997
150.0915093,0.4548227554545455,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.26795799,0.674999985
150.0915093,0.4169208591666667,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.235084,2.3999999499999998
150.0915093,0.4414456155882353,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.25795501,1.1
150.0915093,0.4841661590322581,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.29562199,0.225
150.0915093,0.40565272783783785,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.22258399,3.25
150.0915093,0.5175569286206897,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.33560699,0.0750000005
150.0915093,0.6003660372,0.005224085604395604,367,1,0.0,0.0,0.0,0.0,0.0,0.31597301,9.5999999
150.0915093,0.42883288371428574,0.005224085604395604,367,1,0.0,0.0,0.0,0.0,0.0,0.26582599,3.04999995
150.0915093,0.37522877325000004,0.005224085604395604,367,1,0.0,0.0,0.0,0.0,0.0,0.25153899,1.375
150.0915093,0.500305031,0.005224085604395604,367,0,0.0,0.0,0.0,0.0,0.0,0.28862599,2.1000000500000002
150.0915093,0.37522877325000004,0.005224085604395604,367,0,0.0,0.0,0.0,0.0,0.0,0.24807,7.5999999
150.0915093,1.2007320744,0.005224085604395604,367,0,0.0,0.0,0.0,0.0,0.0,0.457362,0.05
150.0915093,0.39497765605263163,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.239344,0.05
150.0915093,0.38485002384615385,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,-99.989998,5.14999985
147.38675832,0.4912891944,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.326848,3.45000005
147.38675832,0.4211050237714286,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.25361401,0.35000001000000003
147.38675832,0.46058361975000006,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.284982,1.8
147.38675832,0.4466265403636364,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.26991999,1.15
147.38675832,0.40940766200000006,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.25389501,0.17500000500000001
147.38675832,0.5263812797142857,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.350344,5.29999995
147.38675832,0.43349046564705884,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.26883501,0.69999999
147.38675832,0.5082302011034483,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.37056699,4.4000001
147.38675832,0.6550522592000001,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.70436901,10.8
147.38675832,0.4912891944,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.337127,0.225
147.38675832,0.4211050237714286,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.25227499,2.1000000500000002
147.38675832,0.46058361975000006,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.291253,0.575000015
147.38675832,0.4466265403636364,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.26888201,0.900000005
147.38675832,0.5458768826666667,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.35979,0.0250000005
147.38675832,0.43349046564705884,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.26777199,1.45
147.38675832,0.4754411558709678,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.30976599,0.35000001000000003
147.38675832,0.3878598903157895,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.267481,4.79999995
147.38675832,0.4912891944,0.005042444395604395,366,1,0.0,0.0,0.0,0.0,0.0,0.28907901,5.4000001
147.38675832,0.3684668958,0.005042444395604395,366,1,0.0,0.0,0.0,0.0,0.0,0.25192899,1.2
147.38675832,0.32752612960000005,0.005042444395604395,366,1,0.0,0.0,0.0,0.0,0.0,0.24127699,0.45000000500000004
147.38675832,0.9825783888,0.005042444395604395,366,0,0.0,0.0,0.0,0.0,0.0,0.41510499,0.10000000549999999
147.38675832,0.58954703328,0.005042444395604395,366,0,0.0,0.0,0.0,0.0,0.0,0.32154,0.974999995
147.38675832,0.4912891944,0.005042444395604395,366,0,0.0,0.0,0.0,0.0,0.0,0.28978699,2.29999995
147.38675832,0.4211050237714286,0.005042444395604395,366,0,0.0,0.0,0.0,0.0,0.0,0.266718,4.64999985
147.38675832,1.17909406656,0.005042444395604395,366,0,0.0,0.0,0.0,0.0,0.0,0.451038,0.05
147.38675832,0.4912891944,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.34417701,3.45000005
147.38675832,0.4211050237714286,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.277235,0.39999998999999997
147.38675832,0.46058361975000006,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.30362099,1.8250000000000002
147.38675832,0.4466265403636364,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.29261899,1.2
147.38675832,0.43349046564705884,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.283847,0.724999995
147.38675832,0.4754411558709678,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.315712,2.5749999499999996
147.38675832,0.58954703328,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.47943199,0.0250000005
147.38675832,0.4912891944,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.35277599,0.25000000499999997
147.38675832,0.4211050237714286,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.28152001,2.20000005
147.38675832,0.46058361975000006,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.31557101,0.650000005
147.38675832,0.4466265403636364,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.29639599,0.999999995
147.38675832,0.5458768826666667,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.40949401,0.05
147.38675832,0.43349046564705884,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.28064501,1.5
147.38675832,0.4754411558709678,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.33101001,0.39999998999999997
147.38675832,0.6550522592000001,0.005043505054945056,365,1,0.0,0.0,0.0,0.0,0.0,0.335825,11.2
147.38675832,0.7369337916,0.005043505054945056,365,0,0.0,0.0,0.0,0.0,0.0,0.36302501,0.35000001000000003
147.38675832,0.58954703328,0.005043505054945056,365,0,0.0,0.0,0.0,0.0,0.0,0.331249,1.05
147.38675832,0.4912891944,0.005043505054945056,365,0,0.0,0.0,0.0,0.0,0.0,0.29828501,2.3999999499999998
147.38675832,0.4211050237714286,0.005043505054945056,365,0,0.0,0.0,0.0,0.0,0.0,0.27407601,4.75
147.38675832,0.3684668958,0.005043505054945056,365,0,0.0,0.0,0.0,0.0,0.0,0.26085901,8.2000003
147.38675832,0.8422100475428572,0.005043505054945056,365,0,0.0,0.0,0.0,0.0,0.0,0.390122,0.20000000499999998
146.49995472,0.4185712992,0.005008636373626374,362,1,0.0,0.0,0.0,0.0,0.0,0.27509001,2.75
146.49995472,0.36624988680000004,0.005008636373626374,362,1,0.0,0.0,0.0,0.0,0.0,0.26273701,1.25
146.49995472,0.58599981888,0.005008636373626374,362,0,0.0,0.0,0.0,0.0,0.0,0.32905999,1.05
146.49995472,0.4883331824,0.005008636373626374,362,0,0.0,0.0,0.0,0.0,0.0,0.296781,2.4250000500000004
146.49995472,0.4185712992,0.005008636373626374,362,0,0.0,0.0,0.0,0.0,0.0,0.271754,4.79999995
146.49995472,0.36624988680000004,0.005008636373626374,362,0,0.0,0.0,0.0,0.0,0.0,0.25440401,8.25
145.48013058,0.36370032645,0.004990436923076923,361,1,0.0,0.0,0.0,0.0,0.0,0.259666,1.15
145.48013058,0.48493376860000004,0.004990436923076923,361,0,0.0,0.0,0.0,0.0,0.0,0.29497099,2.475
143.97256446,0.57589025784,0.0052232156043956045,360,1,0.0,0.0,0.0,0.0,0.0,0.32999101,8.5
143.97256446,0.4113501841714286,0.0052232156043956045,360,1,0.0,0.0,0.0,0.0,0.0,0.27237901,2.45000005
