S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
49.83,0.1661,0.01733742777777778,186,1,0.0,0.0,0.0,0.0,0.0,0.441791,20.3500005
49.83,0.09966,0.01733742777777778,186,1,0.0,0.0,0.0,0.0,0.0,0.34095901,4.95000005
49.83,0.08305,0.01733742777777778,186,1,0.0,0.0,0.0,0.0,0.0,0.325858,1.625
49.83,0.11724705882352941,0.01733742777777778,186,0,0.0,0.0,0.0,0.0,0.0,0.360497,1.825
49.83,0.11073333333333334,0.01733742777777778,186,0,0.0,0.0,0.0,0.0,0.0,0.35435,2.6
49.83,0.09966,0.01733742777777778,186,0,0.0,0.0,0.0,0.0,0.0,0.340009,4.70000005
49.83,0.08305,0.016871812197802198,368,1,0.0,0.0,0.0,0.0,0.0,0.33909699,3.65
50.86,0.09687619047619048,0.017331445714285715,185,1,0.0,0.0,0.0,0.0,0.0,0.34082499,4.4000001
50.86,0.11967058823529411,0.017331445714285715,185,0,0.0,0.0,0.0,0.0,0.0,0.36526,1.65
50.86,0.07534814814814815,0.016851285494505496,367,1,0.0,0.0,0.0,0.0,0.0,0.33743599,2.4
50.86,0.15649230769230768,0.016851285494505496,367,0,0.0,0.0,0.0,0.0,0.0,0.39951301,0.97499999
50.86,0.13562666666666667,0.016851285494505496,367,0,0.0,0.0,0.0,0.0,0.0,0.381953,1.85
50.86,0.13078285714285715,0.016851285494505496,367,0,0.0,0.0,0.0,0.0,0.0,-99.989998,3.875
50.6,0.1012,0.01747593142857143,93,1,0.0,0.0,0.0,0.0,0.0,0.346214,3.9
50.6,0.09638095238095239,0.01747593142857143,93,1,0.0,0.0,0.0,0.0,0.0,0.33957699,2.7250000500000002
50.6,0.092,0.01747593142857143,93,1,0.0,0.0,0.0,0.0,0.0,0.33369601,1.825
50.6,0.15569230769230769,0.01747593142857143,93,0,0.0,0.0,0.0,0.0,0.0,0.479967,0.125
50.6,0.1265,0.01747593142857143,93,0,0.0,0.0,0.0,0.0,0.0,0.38248199,0.45000000500000004
50.6,0.11905882352941177,0.01733608253968254,184,0,0.0,0.0,0.0,0.0,0.0,0.36352301,1.675
50.6,0.1012,0.01733608253968254,184,0,0.0,0.0,0.0,0.0,0.0,0.34060499,4.3499999
50.6,0.1012,0.016857384615384614,366,0,0.0,0.0,0.0,0.0,0.0,0.346894,6.25
51.34,0.10268000000000001,0.017448359142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.33067,4.14999985
51.34,0.09779047619047619,0.017448359142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.337347,3.0249999499999998
51.34,0.09334545454545455,0.017448359142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.326487,2.0
51.34,0.08928695652173914,0.017448359142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.322947,1.3
51.34,0.10268000000000001,0.017448359142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.335502,2.6999999499999996
51.34,0.09779047619047619,0.017448359142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.33034,3.94999995
51.34,0.09334545454545455,0.017330392063492062,183,1,0.0,0.0,0.0,0.0,0.0,0.33417001,3.54999995
51.34,0.1208,0.017330392063492062,183,0,0.0,0.0,0.0,0.0,0.0,0.36372399,1.525
51.34,0.09779047619047619,0.017330392063492062,183,0,0.0,0.0,0.0,0.0,0.0,0.33622599,5.29999995
51.34,0.11408888888888889,0.016848126043956045,365,0,0.0,0.0,0.0,0.0,0.0,0.361018,3.9
51.34,0.1080842105263158,0.016848126043956045,365,0,0.0,0.0,0.0,0.0,0.0,0.35349399,4.8499999
50.34,0.10068,0.017423758857142858,91,1,0.0,0.0,0.0,0.0,0.0,0.33775401,3.65
50.34,0.0958857142857143,0.017423758857142858,91,1,0.0,0.0,0.0,0.0,0.0,0.331002,2.5
50.34,0.09152727272727273,0.017423758857142858,91,1,0.0,0.0,0.0,0.0,0.0,0.33226499,1.7000000000000002
50.34,0.07744615384615385,0.017423758857142858,91,1,0.0,0.0,0.0,0.0,0.0,0.32721999,0.25
50.34,0.07191428571428572,0.017423758857142858,91,1,0.0,0.0,0.0,0.0,0.0,0.36098599,0.1500000005
50.34,0.11844705882352942,0.017423758857142858,91,0,0.0,0.0,0.0,0.0,0.0,0.362194,0.75
50.34,0.11186666666666667,0.017423758857142858,91,0,0.0,0.0,0.0,0.0,0.0,0.34589899,1.225
50.34,0.10597894736842106,0.017423758857142858,91,0,0.0,0.0,0.0,0.0,0.0,0.33647299,1.97499995
50.34,0.10068,0.017423758857142858,91,0,0.0,0.0,0.0,0.0,0.0,0.34213299,3.1499999499999998
50.34,0.0958857142857143,0.017423758857142858,91,0,0.0,0.0,0.0,0.0,0.0,0.330549,4.45000005
50.34,0.09152727272727273,0.01735109777777778,182,1,0.0,0.0,0.0,0.0,0.0,0.33707801,3.1499999499999998
50.34,0.0958857142857143,0.01735109777777778,182,0,0.0,0.0,0.0,0.0,0.0,0.33035001,5.70000005
50.34,0.0958857142857143,0.01692361021978022,364,0,0.0,0.0,0.0,0.0,0.0,0.34138599,7.6500001
