S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
313.74596062,0.392182450775,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.207165,0.724999995
313.74596062,0.36911289484705884,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.206862,0.10000000549999999
313.74596062,0.41832794749333335,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.23128299,1.3
313.74596062,0.392182450775,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.204758,4.95000005
313.74596062,0.5704472011272728,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.28114501,1.05
313.74596062,0.392182450775,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.205182,8.0999999
310.39650498,0.41386200663999995,0.005224085604395604,367,1,0.0,0.0,0.0,0.0,0.0,0.212253,6.9000001
310.39650498,0.47753308458461535,0.005224085604395604,367,0,0.0,0.0,0.0,0.0,0.0,0.24209601,2.6499999499999998
310.39650498,0.38799563122499997,0.005224085604395604,367,0,0.0,0.0,0.0,0.0,0.0,0.20377,8.5
310.39650498,0.5643572817818181,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.44554201,21.0
310.39650498,0.44342357854285713,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.26616901,6.4000001
310.39650498,0.41386200663999995,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.219088,2.45000005
310.39650498,0.38799563122499997,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.201056,0.474999995
310.39650498,0.44342357854285713,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.26142401,0.39999998999999997
310.39650498,0.41386200663999995,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.222149,1.5
310.39650498,0.3651723588,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.21707401,9.0999999
305.16808641999995,0.4359544091714285,0.005042444395604395,366,1,0.0,0.0,0.0,0.0,0.0,0.224566,9.0999999
305.16808641999995,0.4068907818933333,0.005042444395604395,366,1,0.0,0.0,0.0,0.0,0.0,0.212441,6.20000005
305.16808641999995,0.5548510662181817,0.005042444395604395,366,0,0.0,0.0,0.0,0.0,0.0,0.275718,1.175
305.16808641999995,0.38146010802499997,0.005042444395604395,366,0,0.0,0.0,0.0,0.0,0.0,0.20301899,9.2000003
305.16808641999995,0.4068907818933333,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.227327,1.8
305.16808641999995,0.38146010802499997,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.210915,0.29999999499999996
305.16808641999995,0.4068907818933333,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.22163101,2.04999995
300.0213619,0.5000356031666666,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.39471799,13.55
300.0213619,0.42860194557142856,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.27404001,4.35000015
300.0213619,0.40002848253333334,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.24969301,1.4
300.0213619,0.37502670237499997,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.23858801,0.25000000499999997
300.0213619,0.42860194557142856,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.27416399,0.900000005
300.0213619,0.40002848253333334,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.246759,2.92499995
300.0213619,0.37502670237499997,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.239134,6.79999995
300.0213619,0.35296630811764707,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.26174101,11.6
300.0213619,0.40002848253333334,0.005043505054945056,365,1,0.0,0.0,0.0,0.0,0.0,0.22212601,5.79999995
300.0213619,0.37502670237499997,0.005043505054945056,365,1,0.0,0.0,0.0,0.0,0.0,0.21177,3.6999999499999996
300.0213619,0.40002848253333334,0.005043505054945056,365,0,0.0,0.0,0.0,0.0,0.0,0.22250099,7.3499999
300.0213619,0.37502670237499997,0.005043505054945056,365,0,0.0,0.0,0.0,0.0,0.0,0.212707,10.25
300.0213619,0.35296630811764707,0.005043505054945056,365,0,0.0,0.0,0.0,0.0,0.0,0.20458101,13.75
304.39199304,0.32041262425263156,0.005008636373626374,362,1,0.0,0.0,0.0,0.0,0.0,0.189603,0.75
304.39199304,0.5073199884,0.005008636373626374,362,0,0.0,0.0,0.0,0.0,0.0,0.265753,2.0249999499999998
304.39199304,0.3804899913,0.005008636373626374,362,0,0.0,0.0,0.0,0.0,0.0,0.21135101,9.5
302.51303012,0.4033507068266667,0.004990436923076923,361,1,0.0,0.0,0.0,0.0,0.0,0.222204,6.0999999
302.51303012,0.37814128765,0.004990436923076923,361,1,0.0,0.0,0.0,0.0,0.0,0.211062,3.9
302.51303012,0.3361255890222222,0.004990436923076923,361,1,0.0,0.0,0.0,0.0,0.0,0.19473501,1.3
302.51303012,0.46540466172307693,0.004990436923076923,361,0,0.0,0.0,0.0,0.0,0.0,0.24808601,3.1999999499999996
303.04404138,0.40405872184,0.0052232156043956045,360,1,0.0,0.0,0.0,0.0,0.0,0.22242101,6.1500001
303.04404138,0.5050734023,0.0052232156043956045,360,0,0.0,0.0,0.0,0.0,0.0,0.26687199,2.1000000500000002
300.225597,0.42889371,0.0023469157142857145,32,1,0.0,0.0,0.0,0.0,0.0,0.26160499,4.29999995
300.225597,0.400300796,0.0023469157142857145,32,1,0.0,0.0,0.0,0.0,0.0,0.211904,1.15
300.225597,0.46188553384615383,0.0023469157142857145,32,0,0.0,0.0,0.0,0.0,0.0,0.285276,0.20000000499999998
300.225597,0.42889371,0.0023469157142857145,32,0,0.0,0.0,0.0,0.0,0.0,0.23529699,0.75
300.225597,0.400300796,0.0023469157142857145,32,0,0.0,0.0,0.0,0.0,0.0,0.193535,2.65
307.29213146,0.4097228419466667,0.002342586857142857,31,1,0.0,0.0,0.0,0.0,0.0,0.204175,1.85
307.29213146,0.38411516432500004,0.002342586857142857,31,1,0.0,0.0,0.0,0.0,0.0,0.190073,0.275000005
307.29213146,0.43898875922857145,0.002342586857142857,31,0,0.0,0.0,0.0,0.0,0.0,0.23710001,0.39999998999999997
308.35415398,0.61670830796,0.002336524,30,1,0.0,0.0,0.0,0.0,0.0,-99.989998,25.450001
308.35415398,0.4111388719733333,0.002336524,30,1,0.0,0.0,0.0,0.0,0.0,0.200571,1.9249999999999998
308.35415398,0.38544269247499996,0.002336524,30,1,0.0,0.0,0.0,0.0,0.0,0.185983,0.275000005
308.35415398,0.4111388719733333,0.002336524,30,0,0.0,0.0,0.0,0.0,0.0,0.201177,1.55
308.35415398,0.38544269247499996,0.002336524,30,0,0.0,0.0,0.0,0.0,0.0,0.185627,4.89999985
310.2331169,0.443190167,0.0023342174285714288,29,1,0.0,0.0,0.0,0.0,0.0,0.220248,6.1500001
