S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
99.17643465,0.247941086625,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.218832,3.4499999499999996
99.61313274000001,0.22136251720000003,0.045703176428571426,29,0,0.0,0.0,0.0,0.0,0.0,0.203987,1.9749999999999999
107.28982548,0.2384218344,0.04643425,32,1,0.0,0.0,0.0,0.0,0.0,0.204063,2.07500005
107.28982548,0.2384218344,0.04643425,32,0,0.0,0.0,0.0,0.0,0.0,0.189891,0.42499999499999996
108.16322166000002,0.24036271480000004,0.04640658742857143,31,1,0.0,0.0,0.0,0.0,0.0,0.19722401,2.35
108.43903098000001,0.24097562440000003,0.046406774,30,1,0.0,0.0,0.0,0.0,0.0,0.208619,2.4499999499999996
107.74950768000002,0.26937376920000006,0.04640452371428571,29,1,0.0,0.0,0.0,0.0,0.0,0.36888799,7.0
109.97372928,0.24438606506666666,0.049871273714285715,93,1,0.0,0.0,0.0,0.0,0.0,0.186395,3.6999999499999996
109.97372928,0.21994745856,0.049871273714285715,93,1,0.0,0.0,0.0,0.0,0.0,0.17637201,0.94999999
109.97372928,0.24438606506666666,0.05054601857142857,184,1,0.0,0.0,0.0,0.0,0.0,0.19844399,4.6500001
110.64261312000001,0.2458724736,0.05003197428571429,89,1,0.0,0.0,0.0,0.0,0.0,0.18982901,3.9
110.64261312000001,0.22128522624000002,0.05003197428571429,89,1,0.0,0.0,0.0,0.0,0.0,0.172599,0.97499999
110.64261312000001,0.2458724736,0.05072386114285714,180,1,0.0,0.0,0.0,0.0,0.0,0.20091,4.85000015
111.86505600000001,0.223730112,0.051213336571428576,178,1,0.0,0.0,0.0,0.0,0.0,0.184679,2.17499995
112.00344576,0.22400689152,0.05133228714285714,177,1,0.0,0.0,0.0,0.0,0.0,0.185496,2.2250000500000002
112.83378432,0.25074174293333334,0.04986361771428571,32,0,0.0,0.0,0.0,0.0,0.0,0.21857999,0.1250000005
112.48780992000002,0.22497561984000003,0.049875528,31,1,0.0,0.0,0.0,0.0,0.0,0.19552299,0.67500001
113.9409024,0.2278818048,0.050027896571428566,30,1,0.0,0.0,0.0,0.0,0.0,0.198073,0.92500001
114.6328512,0.22926570240000002,0.050088292857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.198615,1.05
112.25716032000001,0.22451432064000001,0.05139253,31,1,0.0,0.0,0.0,0.0,0.0,0.192725,0.57499999
112.25716032000001,0.22451432064000001,0.05139253,31,0,0.0,0.0,0.0,0.0,0.0,0.19290601,1.9
111.49601664000001,0.22299203328,0.051396900588235296,30,1,0.0,0.0,0.0,0.0,0.0,0.19645,0.47500001000000003
106.58332364999998,0.2368518303333333,0.05486033428571428,93,0,0.0,0.0,0.0,0.0,0.0,0.226119,1.5
106.18985644,0.21237971288,0.05582717114285715,183,1,0.0,0.0,0.0,0.0,0.0,0.21745799,1.575
106.00469539999999,0.21200939079999997,0.05513152485714286,89,1,0.0,0.0,0.0,0.0,0.0,0.214406,0.625
106.00469539999999,0.23556598977777776,0.05593829457142857,180,1,0.0,0.0,0.0,0.0,0.0,0.23296399,3.75
106.00469539999999,0.21200939079999997,0.05593829457142857,180,1,0.0,0.0,0.0,0.0,0.0,0.217599,1.5
108.94412691,0.2420980598,0.05374113035714286,31,0,0.0,0.0,0.0,0.0,0.0,0.214284,0.375
109.2450136,0.24276669688888888,0.05395621535714286,30,0,0.0,0.0,0.0,0.0,0.0,0.222073,0.35000001000000003
106.72219442999999,0.23716043206666665,0.05453478571428571,30,1,0.0,0.0,0.0,0.0,0.0,0.26374701,2.125
112.02242919999999,0.2240448584,0.05391611,31,0,0.0,0.0,0.0,0.0,0.0,0.18928801,2.07500005
111.60581685999999,0.22321163371999997,0.05386814588235293,29,1,0.0,0.0,0.0,0.0,0.0,0.18556,0.375
110.8291851,0.2216583702,0.054466581714285714,92,1,0.0,0.0,0.0,0.0,0.0,0.20447899,1.2
110.31802323999999,0.20057822407272724,0.054243884285714285,179,1,0.0,0.0,0.0,0.0,0.0,0.20377,0.724999995
109.34216878,0.21868433756,0.05393981321428571,30,1,0.0,0.0,0.0,0.0,0.0,0.20206501,0.225
108.18043727999999,0.21636087455999997,0.05391241321428571,29,0,0.0,0.0,0.0,0.0,0.0,0.207737,3.5
117.98545114,0.23597090227999998,0.053840742857142854,32,1,0.0,0.0,0.0,0.0,0.0,0.223388,1.8
117.98545114,0.23597090227999998,0.053840742857142854,32,0,0.0,0.0,0.0,0.0,0.0,0.20740101,0.849999995
118.00868576999999,0.23601737153999996,0.05383930828571429,31,1,0.0,0.0,0.0,0.0,0.0,0.22814301,1.8
118.00868576999999,0.23601737153999996,0.05383930828571429,31,0,0.0,0.0,0.0,0.0,0.0,0.21010999,0.849999995
117.91574725,0.2358314945,0.05383651142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.224988,1.775
117.91574725,0.2358314945,0.05383651142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.215533,0.82499999
118.54308226,0.23708616452,0.05437678142857142,89,0,0.0,0.0,0.0,0.0,0.0,0.23531599,1.725
116.73078112,0.23346156224,0.05383723,32,1,0.0,0.0,0.0,0.0,0.0,0.173177,1.175
116.73078112,0.23346156224,0.05383723,32,0,0.0,0.0,0.0,0.0,0.0,0.177536,0.92500001
117.14900446,0.23429800892,0.053828118,31,1,0.0,0.0,0.0,0.0,0.0,0.171901,1.25
116.28932314999999,0.23257864629999997,0.05381539375,29,1,0.0,0.0,0.0,0.0,0.0,0.18018401,1.05
116.28932314999999,0.23257864629999997,0.05381539375,29,0,0.0,0.0,0.0,0.0,0.0,0.164298,0.900000005
115.07346170000001,0.2301469234,0.054126565714285715,32,1,0.0,0.0,0.0,0.0,0.0,0.153054,0.69999999
114.67697835,0.2293539567,0.054136766571428574,31,1,0.0,0.0,0.0,0.0,0.0,0.151614,0.599999995
113.97730184999999,0.22795460369999998,0.05413298771428571,30,1,0.0,0.0,0.0,0.0,0.0,0.160914,0.525000005
117.96545789999999,0.23593091579999997,0.05408104285714286,31,1,0.0,0.0,0.0,0.0,0.0,0.15038601,1.225
117.63894219999999,0.23527788439999997,0.05383571,30,1,0.0,0.0,0.0,0.0,0.0,0.169131,1.225
117.63894219999999,0.23527788439999997,0.05383571,30,0,0.0,0.0,0.0,0.0,0.0,0.16247199,0.724999995
116.70604019999999,0.23341208039999997,0.053831514,29,1,0.0,0.0,0.0,0.0,0.0,0.15884399,0.92500001
111.76206118000002,0.22352412236000002,0.053704568285714294,93,1,0.0,0.0,0.0,0.0,0.0,0.181171,1.024999995
111.2002075,0.22240041500000002,0.05376626028571429,92,1,0.0,0.0,0.0,0.0,0.0,0.183559,0.94999999
