S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
62.2108701,0.15552717525,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.26974699,1.525
62.2108701,0.17774534314285714,0.047610910000000006,186,0,0.0,0.0,0.0,0.0,0.0,0.29511601,1.225
62.494938000000005,0.156237345,0.04710781107142857,93,1,0.0,0.0,0.0,0.0,0.0,0.28271201,2.1999999499999996
62.494938000000005,0.17855696571428573,0.04710781107142857,93,0,0.0,0.0,0.0,0.0,0.0,0.31670901,0.69999999
62.494938000000005,0.156237345,0.04710781107142857,93,0,0.0,0.0,0.0,0.0,0.0,0.28326499,2.35
61.34288485,0.153357212125,0.045703176428571426,29,1,0.0,0.0,0.0,0.0,0.0,0.27206001,0.775000005
61.34288485,0.153357212125,0.045703176428571426,29,0,0.0,0.0,0.0,0.0,0.0,0.26528099,1.75
62.700098149999995,0.15675024537499999,0.04794210476190476,179,0,0.0,0.0,0.0,0.0,0.0,0.281277,2.9749999
62.700098149999995,0.13933355144444443,0.04794210476190476,179,0,0.0,0.0,0.0,0.0,0.0,0.257357,6.0
65.1778015,0.16294450375,0.04643425,32,1,0.0,0.0,0.0,0.0,0.0,0.29182699,2.1999999499999996
66.28251,0.14729446666666668,0.046406774,30,1,0.0,0.0,0.0,0.0,0.0,0.240116,0.274999995
65.3987432,0.163496858,0.04640452371428571,29,0,0.0,0.0,0.0,0.0,0.0,0.269115,0.599999995
65.16201995,0.162905049875,0.048684148571428575,32,1,0.0,0.0,0.0,0.0,0.0,0.36555099,2.45000005
65.16201995,0.14480448877777777,0.048684148571428575,32,1,0.0,0.0,0.0,0.0,0.0,0.32922101,0.42500000000000004
65.16201995,0.21720673316666667,0.048684148571428575,32,0,0.0,0.0,0.0,0.0,0.0,0.48937801,0.0250000005
65.16201995,0.18617719985714287,0.048684148571428575,32,0,0.0,0.0,0.0,0.0,0.0,0.38820601,0.15000000000000002
65.16201995,0.162905049875,0.048684148571428575,32,0,0.0,0.0,0.0,0.0,0.0,0.35976601,1.175
64.89373359999999,0.16223433399999998,0.04877162571428571,31,1,0.0,0.0,0.0,0.0,0.0,0.25239101,1.7999999999999998
64.89373359999999,0.14420829688888886,0.04877162571428571,31,1,0.0,0.0,0.0,0.0,0.0,0.259202,0.175
64.89373359999999,0.16223433399999998,0.04877162571428571,31,0,0.0,0.0,0.0,0.0,0.0,0.26027301,0.775000005
65.3987432,0.163496858,0.04888326607142857,30,1,0.0,0.0,0.0,0.0,0.0,0.26203999,1.95
65.3987432,0.163496858,0.04888326607142857,30,0,0.0,0.0,0.0,0.0,0.0,0.23598801,0.599999995
65.6196849,0.16404921225,0.04890811357142857,29,1,0.0,0.0,0.0,0.0,0.0,0.25277799,2.1
65.6196849,0.14582152199999998,0.04890811357142857,29,1,0.0,0.0,0.0,0.0,0.0,0.231709,0.15000000000000002
65.6196849,0.16404921225,0.04890811357142857,29,0,0.0,0.0,0.0,0.0,0.0,0.233735,0.47500001000000003
62.978471600000006,0.15744617900000002,0.04986361771428571,32,1,0.0,0.0,0.0,0.0,0.0,0.23950499,1.0499999949999999
62.978471600000006,0.15744617900000002,0.0522271,186,1,0.0,0.0,0.0,0.0,0.0,0.24939699,3.1
62.978471600000006,0.1399521591111111,0.0522271,186,1,0.0,0.0,0.0,0.0,0.0,0.237496,1.175
62.978471600000006,0.15744617900000002,0.04986361771428571,32,0,0.0,0.0,0.0,0.0,0.0,0.24196,1.225
62.978471600000006,0.1799384902857143,0.0522271,186,0,0.0,0.0,0.0,0.0,0.0,0.27053699,0.92500001
62.011036000000004,0.15502759000000002,0.049875528,31,1,0.0,0.0,0.0,0.0,0.0,0.237326,0.724999995
64.59615079999999,0.16149037699999996,0.050027896571428566,30,1,0.0,0.0,0.0,0.0,0.0,0.232068,1.575
