S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
,,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.30583701,0.8650000099999999
,,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.31643,1.5
,,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.31012401,1.145
,,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.34890899,3.6499999499999998
,,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.43606299,8.6500001
,,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.35686299,4.35000015
,,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.32235301,1.92000005
,,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.34140199,3.0149999999999997
,,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.323973,2.465
,,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.33203501,1.97
,,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.34974599,3.45000005
,,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.32331601,1.78
,,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.338478,2.80999995
,,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.32374501,2.5999999
,,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.30698001,0.784999995
,,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.30333701,0.57999998
,,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.31727701,1.38
,,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.31097001,1.04499995
,,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.295019,0.6299999949999999
,,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.31081799,1.51
,,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.30406901,1.145
,,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.317615,1.9449999500000001
,,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.33469099,3.04999995
,,0.0033166949450549456,185,0,0.0,0.0,0.0,0.0,0.0,0.42729101,0.170000005
,,0.0033166949450549456,185,0,0.0,0.0,0.0,0.0,0.0,0.31754699,2.3449999
,,0.0033166949450549456,185,0,0.0,0.0,0.0,0.0,0.0,0.32548001,1.8599999999999999
,,0.0033166949450549456,185,0,0.0,0.0,0.0,0.0,0.0,0.366541,0.625
,,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.28758401,0.229999995
,,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.28577799,0.13500000499999998
,,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.29897901,0.625
,,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.29328099,0.390000005
,,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.29743499,0.655000005
,,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.30803099,1.20500005
,,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.30286101,0.90000001
,,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.283481,4.32500005
,,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.295293,2.715
,,0.0031930445054945055,184,0,0.0,0.0,0.0,0.0,0.0,0.30581701,3.275
,,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.35774699,3.3999999499999998
,,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.30554599,0.955000015
,,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.315734,1.4049999999999998
,,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.32567799,1.96000005
,,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.34020799,3.20000005
,,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.31441101,1.58500005
,,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.322781,2.04999995
,,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.33388099,0.715000005
,,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.34948,0.48000000499999995
,,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.31134999,1.49
,,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.32097599,1.04499995
,,0.0031930445054945055,184,0,0.0,0.0,0.0,0.0,0.0,0.338081,1.275
,,0.0031930445054945055,184,0,0.0,0.0,0.0,0.0,0.0,0.349785,0.97
,,0.0031930445054945055,184,0,0.0,0.0,0.0,0.0,0.0,0.31219599,2.6550001
,,0.0031930445054945055,184,0,0.0,0.0,0.0,0.0,0.0,0.32043999,2.12
,,0.0031930445054945055,184,0,0.0,0.0,0.0,0.0,0.0,0.32896301,1.65999995
,,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.30459899,0.13
,,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.31455299,0.56
,,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.31174701,0.359999995
,,0.0031622477142857143,183,1,0.0,0.0,0.0,0.0,0.0,0.30400199,0.5850000049999999
,,0.0031622477142857143,183,1,0.0,0.0,0.0,0.0,0.0,0.30153,0.425
,,0.0031622477142857143,183,1,0.0,0.0,0.0,0.0,0.0,0.31263301,1.07499995
,,0.0031622477142857143,183,1,0.0,0.0,0.0,0.0,0.0,0.29724401,0.21500000000000002
,,0.0031622477142857143,183,1,0.0,0.0,0.0,0.0,0.0,0.30895501,0.805000005
,,0.002651853142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.30779901,3.04999995
,,0.002651853142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.30348599,3.8500000500000002
,,0.0031622477142857143,183,0,0.0,0.0,0.0,0.0,0.0,0.309315,3.54999995
,,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.35880101,3.0749999499999996
,,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.31983599,0.84999999
,,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.32507899,1.2349999999999999
,,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.36544299,3.8500000500000002
,,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.33398101,1.74
,,0.0031622477142857143,183,1,0.0,0.0,0.0,0.0,0.0,0.342132,2.9300000500000003
,,0.0031622477142857143,183,1,0.0,0.0,0.0,0.0,0.0,0.32524899,1.8450000000000002
,,0.0031622477142857143,183,1,0.0,0.0,0.0,0.0,0.0,0.33264801,2.3449999
,,0.002651853142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.340556,0.8549999850000001
,,0.002651853142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.35386601,0.574999985
,,0.002651853142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.31505701,2.3449999
,,0.002651853142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.32273301,1.74
,,0.002651853142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.33037201,1.24
,,0.0031622477142857143,183,0,0.0,0.0,0.0,0.0,0.0,0.339073,1.40999995
,,0.0031622477142857143,183,0,0.0,0.0,0.0,0.0,0.0,0.34830499,1.065
,,0.0031622477142857143,183,0,0.0,0.0,0.0,0.0,0.0,0.31574401,2.9000001
,,0.0031622477142857143,183,0,0.0,0.0,0.0,0.0,0.0,0.32275,2.3249999
,,0.0031622477142857143,183,0,0.0,0.0,0.0,0.0,0.0,0.37875301,0.49499998999999995
