S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
254.62530134999997,0.5304693778124999,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.17709599,0.0750000005
254.62530134999997,0.5786938667045454,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.20854799,1.4
254.62530134999997,0.5535332638043478,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.19368701,0.45000000500000004
254.62530134999997,0.565834003,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.202209,0.849999995
254.62530134999997,0.5417559603191489,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.192085,0.225
254.62530134999997,0.5786938667045454,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.206531,0.900000005
254.62530134999997,0.565834003,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.200702,1.4
254.62530134999997,0.6062507174999999,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.223621,0.32499999999999996
254.62530134999997,0.5921518636046511,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.21954601,0.575000015
254.62530134999997,0.6210373203658536,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.23913699,0.20000000499999998
254.62530134999997,0.636563253375,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.26535901,6.54999995
254.62530134999997,0.565834003,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.246243,3.6999999499999996
254.62530134999997,0.5092506027,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.232408,1.85
254.62530134999997,0.4629550933636363,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.222747,0.825000015
254.62530134999997,1.0185012054,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.36680099,0.35000001000000003
254.62530134999997,0.7275008609999999,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.29458299,1.55
254.62530134999997,0.565834003,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.24866,5.20000005
251.83597880000002,0.5723544972727274,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.217072,1.15
251.83597880000002,0.5474695191304348,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.209282,0.375
251.83597880000002,0.629589947,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.26708201,4.35000015
251.83597880000002,0.5596355084444445,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.210177,0.674999985
251.83597880000002,0.5996094733333334,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.23457,2.54999995
251.83597880000002,0.5856650669767443,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.222608,1.775
251.83597880000002,0.5723544972727274,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.21646801,1.15
251.83597880000002,0.5474695191304348,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.199009,2.3999999499999998
251.83597880000002,0.5596355084444445,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.20703299,1.7
251.83597880000002,0.5996094733333334,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.23341399,0.45000000500000004
251.83597880000002,0.66272626,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.30173901,0.0750000005
251.83597880000002,0.5856650669767443,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.222343,0.724999995
251.83597880000002,0.6142340946341464,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.246176,0.275000005
251.83597880000002,0.5596355084444445,0.005224085604395604,367,1,0.0,0.0,0.0,0.0,0.0,0.247492,3.5
251.83597880000002,0.5036719576,0.005224085604395604,367,1,0.0,0.0,0.0,0.0,0.0,0.234919,1.75
251.83597880000002,0.45788359781818183,0.005224085604395604,367,1,0.0,0.0,0.0,0.0,0.0,0.225154,0.775000005
251.83597880000002,1.259179894,0.005224085604395604,367,0,0.0,0.0,0.0,0.0,0.0,0.41299599,0.15000000000000002
251.83597880000002,0.629589947,0.005224085604395604,367,0,0.0,0.0,0.0,0.0,0.0,0.26607499,3.04999995
251.83597880000002,0.5596355084444445,0.005224085604395604,367,0,0.0,0.0,0.0,0.0,0.0,0.247806,5.4000001
245.40345945,0.5577351351136364,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.218284,0.599999995
245.40345945,0.545341021,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.210241,0.29999999499999996
245.40345945,0.5707057196511628,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.225866,1.05
245.40345945,0.522135020106383,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.21573,0.0750000005
245.40345945,0.5334857814130435,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.19354901,3.4
245.40345945,0.613508648625,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.260775,0.32499999999999996
245.40345945,0.5842939510714286,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.235806,0.825000015
245.40345945,0.5707057196511628,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.223407,1.25
245.40345945,0.5985450230487805,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.24188399,0.5
245.40345945,0.545341021,0.005042444395604395,366,1,0.0,0.0,0.0,0.0,0.0,0.247299,2.95000005
245.40345945,0.49080691890000006,0.005042444395604395,366,1,0.0,0.0,0.0,0.0,0.0,0.2341,1.4
245.40345945,0.7011527412857144,0.005042444395604395,366,0,0.0,0.0,0.0,0.0,0.0,0.28897399,1.8
245.40345945,0.613508648625,0.005042444395604395,366,0,0.0,0.0,0.0,0.0,0.0,0.26510501,3.45000005
239.5401896,0.5444095218181818,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.238102,0.375
239.5401896,0.5323115324444444,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.237804,0.20000000499999998
239.5401896,0.5703337847619048,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.25402099,1.15
239.5401896,0.557070208372093,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.248045,0.69999999
239.5401896,0.5842443648780488,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.26343101,1.75
239.5401896,0.598850474,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.274775,0.575000015
239.5401896,0.5323115324444444,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.221515,3.4
239.5401896,0.5703337847619048,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.254282,1.3250000000000002
239.5401896,0.557070208372093,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.24600799,1.9
239.5401896,0.6142056143589744,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.28278199,0.35000001000000003
239.5401896,0.5842443648780488,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.26660201,0.900000005
239.5401896,0.598850474,0.005043505054945056,365,1,0.0,0.0,0.0,0.0,0.0,0.27744699,5.0
239.5401896,0.5323115324444444,0.005043505054945056,365,1,0.0,0.0,0.0,0.0,0.0,0.25692701,2.6499999499999998
239.5401896,0.9581607583999999,0.005043505054945056,365,0,0.0,0.0,0.0,0.0,0.0,0.36930001,0.5
239.5401896,0.7984672986666667,0.005043505054945056,365,0,0.0,0.0,0.0,0.0,0.0,0.326507,1.05
239.5401896,0.598850474,0.005043505054945056,365,0,0.0,0.0,0.0,0.0,0.0,0.27389699,4.0
239.5401896,0.5323115324444444,0.005043505054945056,365,0,0.0,0.0,0.0,0.0,0.0,0.258358,6.79999995
241.98796245,0.604969906125,0.005008636373626374,362,1,0.0,0.0,0.0,0.0,0.0,0.273377,5.20000005
241.98796245,0.4839759249,0.005008636373626374,362,1,0.0,0.0,0.0,0.0,0.0,0.239133,1.3
241.98796245,0.6913941784285714,0.005008636373626374,362,0,0.0,0.0,0.0,0.0,0.0,0.299887,2.04999995
