S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
53.82086856,0.5382086856,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.21009199,0.0299999995
53.82086856,0.6331866889411765,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.34438199,0.95499996
53.82086856,0.5980096506666667,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.241101,0.47999999
53.82086856,0.5665354585263158,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.21941,0.160000005
53.82086856,0.5382086856,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.21638,0.7699999799999999
53.82086856,0.6331866889411765,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.27139801,0.044999999
53.82086856,0.5980096506666667,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.225638,0.125
53.82086856,0.5665354585263158,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.20702399,0.36
52.62104028,0.5262104028,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.24899299,0.0249999995
52.62104028,0.5011527645714285,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.286145,0.01
52.62104028,0.6190710621176471,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.271373,0.7400000099999999
52.62104028,0.5846782253333334,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.25259101,0.33999999999999997
52.62104028,0.5539056871578948,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.23782,0.100000002
52.62104028,0.6190710621176471,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.24583501,0.055
52.62104028,0.5846782253333334,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.22695699,0.195
52.62104028,0.5539056871578948,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.237792,0.519999995
52.335366879999995,0.5233536688,0.01728078057142857,32,1,0.0,0.0,0.0,0.0,0.0,0.294222,0.045
52.335366879999995,0.4984320655238095,0.01728078057142857,32,1,0.0,0.0,0.0,0.0,0.0,0.33702299,0.0249999995
52.335366879999995,0.6157101985882353,0.01728078057142857,32,1,0.0,0.0,0.0,0.0,0.0,0.31024399,0.705000015
52.335366879999995,0.5815040764444444,0.01728078057142857,32,1,0.0,0.0,0.0,0.0,0.0,0.293742,0.33999999999999997
52.335366879999995,0.5508985987368421,0.01728078057142857,32,1,0.0,0.0,0.0,0.0,0.0,0.29324901,0.135
52.335366879999995,0.6157101985882353,0.01728078057142857,32,0,0.0,0.0,0.0,0.0,0.0,0.31204599,0.135
52.335366879999995,0.5815040764444444,0.01728078057142857,32,0,0.0,0.0,0.0,0.0,0.0,0.29135001,0.31500001
52.849579,0.52849579,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.296832,0.055
52.849579,0.6606197375,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,-99.989998,1.245
52.849579,0.6217597529411765,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.294249,0.77000001
52.849579,0.5872175444444444,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.30275199,0.395
52.849579,0.5563113578947368,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.291161,0.155000005
52.849579,0.6217597529411765,0.01740261057142857,31,0,0.0,0.0,0.0,0.0,0.0,0.33015901,0.125
52.849579,0.5872175444444444,0.01740261057142857,31,0,0.0,0.0,0.0,0.0,0.0,0.305287,0.284999995
52.849579,0.52849579,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.28367499,0.055
52.849579,0.6217597529411765,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.29629901,0.7999999799999999
52.849579,0.5872175444444444,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.27005899,0.399999995
52.849579,0.5563113578947368,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.27768499,0.165
52.849579,0.6217597529411765,0.016949128333333334,30,0,0.0,0.0,0.0,0.0,0.0,0.32719699,0.11
52.849579,0.5872175444444444,0.016949128333333334,30,0,0.0,0.0,0.0,0.0,0.0,0.30175099,0.260000005
52.906713679999996,0.5290671368,0.016955843333333335,29,1,0.0,0.0,0.0,0.0,0.0,0.29580799,0.055
52.906713679999996,0.5038734636190476,0.016955843333333335,29,1,0.0,0.0,0.0,0.0,0.0,0.330603,0.0249999995
52.906713679999996,0.6224319256470587,0.016955843333333335,29,1,0.0,0.0,0.0,0.0,0.0,0.315469,0.794999985
52.906713679999996,0.5878523742222221,0.016955843333333335,29,1,0.0,0.0,0.0,0.0,0.0,0.27151901,0.38499999500000004
52.906713679999996,0.5569127755789474,0.016955843333333335,29,1,0.0,0.0,0.0,0.0,0.0,0.27073601,0.145000005
52.906713679999996,0.661333921,0.016955843333333335,29,0,0.0,0.0,0.0,0.0,0.0,0.35083699,0.04
52.906713679999996,0.6224319256470587,0.016955843333333335,29,0,0.0,0.0,0.0,0.0,0.0,0.303478,0.095000002
52.906713679999996,0.5878523742222221,0.016955843333333335,29,0,0.0,0.0,0.0,0.0,0.0,0.27850899,0.244999995
52.849579,0.52849579,0.01684587875,28,1,0.0,0.0,0.0,0.0,0.0,0.29386401,0.055
52.849579,0.5033293238095238,0.01684587875,28,1,0.0,0.0,0.0,0.0,0.0,0.33032,0.0249999995
52.849579,0.6217597529411765,0.01684587875,28,1,0.0,0.0,0.0,0.0,0.0,0.296379,0.794999985
52.849579,0.5872175444444444,0.01684587875,28,1,0.0,0.0,0.0,0.0,0.0,0.27505499,0.395
52.849579,0.5563113578947368,0.01684587875,28,1,0.0,0.0,0.0,0.0,0.0,0.278209,0.155000005
52.849579,0.6217597529411765,0.01684587875,28,0,0.0,0.0,0.0,0.0,0.0,0.331949,0.10500000000000001
52.849579,0.5872175444444444,0.01684587875,28,0,0.0,0.0,0.0,0.0,0.0,0.29727301,0.244999995
52.849579,0.5563113578947368,0.01684587875,28,0,0.0,0.0,0.0,0.0,0.0,0.27633601,0.52000001
52.79244432,0.5279244432,0.017024108333333333,32,1,0.0,0.0,0.0,0.0,0.0,0.272001,0.045
52.79244432,0.5865827146666667,0.017024108333333333,32,1,0.0,0.0,0.0,0.0,0.0,0.27912399,0.385000005
52.79244432,0.5557099402105263,0.017024108333333333,32,1,0.0,0.0,0.0,0.0,0.0,0.271009,0.145000005
52.79244432,0.6599055540000001,0.017024108333333333,32,0,0.0,0.0,0.0,0.0,0.0,0.35599399,0.049999999
52.79244432,0.6210875802352941,0.017024108333333333,32,0,0.0,0.0,0.0,0.0,0.0,0.30875799,0.11
52.79244432,0.5865827146666667,0.017024108333333333,32,0,0.0,0.0,0.0,0.0,0.0,0.28036001,0.260000005
52.79244432,0.5557099402105263,0.017024108333333333,32,0,0.0,0.0,0.0,0.0,0.0,0.27474999,0.554999975
