S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
360.8853695,0.34370035190476195,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.260627,1.475
360.8853695,0.32807760863636365,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.25524801,0.849999995
360.8853695,0.31381336478260874,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.25432801,0.5
360.8853695,0.5155505278571428,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.33456901,18.9499995
360.8853695,0.4811804926666667,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.32185799,15.0
360.8853695,0.451106711875,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.306703,11.4
360.8853695,0.4245710229411765,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.29349801,8.2999997
360.8853695,0.4009837438888889,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.28353801,5.79999995
360.8853695,0.3798793363157895,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.27635401,3.9
360.8853695,0.8019674877777778,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.438849,0.125000005
360.8853695,0.5155505278571428,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.33626699,1.85
360.8853695,0.4811804926666667,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.32003501,2.8500000500000002
360.8853695,0.451106711875,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.30724201,4.29999995
360.8853695,0.4245710229411765,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.293825,6.20000005
358.11410076,0.29842841729999997,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.252446,0.25000000499999997
358.11410076,0.31140356587826085,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.247988,0.39999998999999997
358.11410076,0.44764262595,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.308283,11.0
358.11410076,0.3979045564,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.283667,5.5
358.11410076,0.35811410076,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.26582199,2.25
358.11410076,0.47748546768,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.32293499,3.0249999499999998
358.11410076,0.44764262595,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.30849299,4.5
354.97057204,0.33806721146666663,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.25905499,1.2
354.97057204,0.44371321505,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.30482399,10.4
354.97057204,0.4176124376941176,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.29413301,7.5
354.97057204,0.39441174671111107,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.284035,5.14999985
354.97057204,0.35497057204,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.265634,2.04999995
354.97057204,0.5071008172,0.0033166949450549456,185,0,0.0,0.0,0.0,0.0,0.0,0.33373299,2.0
354.97057204,0.4732940960533333,0.0033166949450549456,185,0,0.0,0.0,0.0,0.0,0.0,0.318414,3.1
354.97057204,0.4176124376941176,0.0033166949450549456,185,0,0.0,0.0,0.0,0.0,0.0,0.29212499,6.70000005
