S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
481.36291966,0.3319744273517241,0.016871812197802198,368,1,0.0,0.0,0.0,0.0,0.0,0.24646901,13.425
481.36291966,0.43760265423636363,0.016871812197802198,368,0,0.0,0.0,0.0,0.0,0.0,0.29947001,3.8000000500000004
481.36291966,0.41857645187826087,0.016871812197802198,368,0,0.0,0.0,0.0,0.0,0.0,0.28951001,4.67499995
481.36291966,0.3319744273517241,0.016871812197802198,368,0,0.0,0.0,0.0,0.0,0.0,0.236017,14.15
480.4186079,0.3558656354814815,0.016851285494505496,367,1,0.0,0.0,0.0,0.0,0.0,0.25127399,18.3500005
487.26486816,0.33604473666206897,0.01747593142857143,93,1,0.0,0.0,0.0,0.0,0.0,0.199389,5.67499995
487.26486816,0.32484324544,0.01747593142857143,93,1,0.0,0.0,0.0,0.0,0.0,0.19141801,3.425
487.26486816,0.38981189452799997,0.01747593142857143,93,0,0.0,0.0,0.0,0.0,0.0,0.25216299,1.0550000000000002
487.26486816,0.37481912935384615,0.01747593142857143,93,0,0.0,0.0,0.0,0.0,0.0,0.236159,1.635
487.26486816,0.37481912935384615,0.01733608253968254,184,1,0.0,0.0,0.0,0.0,0.0,0.232281,18.375
487.26486816,0.3480463344,0.01733608253968254,184,1,0.0,0.0,0.0,0.0,0.0,0.216728,11.425
493.20054208000005,0.3793850323692308,0.017448359142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.24413,17.95
493.20054208000005,0.34013830488275865,0.017448359142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.19747899,6.5250001
493.20054208000005,0.3082503388,0.017448359142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.18302999,1.26
493.20054208000005,0.3793850323692308,0.017448359142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.23759501,1.36500005
493.20054208000005,0.3653337348740741,0.017448359142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.22087499,2.09000005
493.20054208000005,0.3288003613866667,0.016848126043956045,365,1,0.0,0.0,0.0,0.0,0.0,0.237886,12.600000000000001
493.20054208000005,0.2989094194424243,0.016848126043956045,365,1,0.0,0.0,0.0,0.0,0.0,0.22491001,6.7750001
493.20054208000005,0.4110004517333334,0.016848126043956045,365,0,0.0,0.0,0.0,0.0,0.0,0.27856699,4.9000001
496.06720278000006,0.38159015598461543,0.017423758857142858,91,1,0.0,0.0,0.0,0.0,0.0,0.24029399,18.425
496.06720278000006,0.342115312262069,0.017423758857142858,91,1,0.0,0.0,0.0,0.0,0.0,0.19858,6.875
496.06720278000006,0.3006467895636364,0.017423758857142858,91,1,0.0,0.0,0.0,0.0,0.0,0.17670301,0.6200000050000001
496.06720278000006,0.3200433566322581,0.01735109777777778,182,1,0.0,0.0,0.0,0.0,0.0,0.197436,5.1500001
496.06720278000006,0.39685376222400004,0.01692361021978022,364,0,0.0,0.0,0.0,0.0,0.0,0.259532,5.3499999
497.85465004,0.3556104643142857,0.016758222857142856,31,1,0.0,0.0,0.0,0.0,0.0,0.254053,9.25
497.85465004,0.34334803451034485,0.016758222857142856,31,1,0.0,0.0,0.0,0.0,0.0,0.234082,5.54999995
497.85465004,0.3319031000266667,0.016758222857142856,31,1,0.0,0.0,0.0,0.0,0.0,0.21837699,2.78999995
497.85465004,0.32119654841290324,0.016758222857142856,31,1,0.0,0.0,0.0,0.0,0.0,0.21199299,1.19
497.85465004,0.311159156275,0.016758222857142856,31,1,0.0,0.0,0.0,0.0,0.0,0.21134999,0.44500001
497.85465004,0.34334803451034485,0.016758222857142856,31,0,0.0,0.0,0.0,0.0,0.0,0.22510301,2.5849999
497.85465004,0.3319031000266667,0.016758222857142856,31,0,0.0,0.0,0.0,0.0,0.0,0.21091101,4.8499999
501.12601578000005,0.34560414881379314,0.016714724285714286,30,1,0.0,0.0,0.0,0.0,0.0,0.239943,6.20000005
501.12601578000005,0.33408401052000003,0.016714724285714286,30,1,0.0,0.0,0.0,0.0,0.0,0.226972,3.3000000500000004
501.12601578000005,0.3233071069548387,0.016714724285714286,30,1,0.0,0.0,0.0,0.0,0.0,0.2185,1.47
501.12601578000005,0.31320375986250004,0.016714724285714286,30,1,0.0,0.0,0.0,0.0,0.0,0.21701001,0.574999985
501.12601578000005,0.4772628721714286,0.016714724285714286,30,0,0.0,0.0,0.0,0.0,0.0,0.51362401,0.0549999985
502.54248342,0.34658102304827587,0.016692569285714286,29,1,0.0,0.0,0.0,0.0,0.0,0.25758001,6.6500001
502.54248342,0.33502832228,0.016692569285714286,29,1,0.0,0.0,0.0,0.0,0.0,0.24296001,3.675
502.54248342,0.3242209570451613,0.016692569285714286,29,1,0.0,0.0,0.0,0.0,0.0,0.234466,1.745
502.54248342,0.3140890521375,0.016692569285714286,29,1,0.0,0.0,0.0,0.0,0.0,0.233522,0.745000005
502.54248342,0.3722536914222222,0.016692569285714286,29,0,0.0,0.0,0.0,0.0,0.0,0.30727401,0.7599999900000001
502.54248342,0.35895891672857144,0.016692569285714286,29,0,0.0,0.0,0.0,0.0,0.0,0.27844799,1.34500005
502.54248342,0.34658102304827587,0.016692569285714286,29,0,0.0,0.0,0.0,0.0,0.0,0.25795099,2.505
502.54248342,0.33502832228,0.016692569285714286,29,0,0.0,0.0,0.0,0.0,0.0,0.241568,4.5
