S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
1151.0096420900002,0.6672519664289857,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.203621,7.20000005
1151.0096420900002,0.6394498011611112,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.190264,2.6999999499999996
1162.29847734,0.6457213763,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.218054,3.9999998999999997
1162.29847734,0.6368758779945206,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.21011899,2.7750001
1174.6194346700001,0.6712111055257144,0.01728078057142857,32,1,0.0,0.0,0.0,0.0,0.0,0.223138,8.6499996
1174.6194346700001,0.6617574279830987,0.01728078057142857,32,1,0.0,0.0,0.0,0.0,0.0,0.19660801,6.45000005
1174.6194346700001,0.6182207550894737,0.01728078057142857,32,1,0.0,0.0,0.0,0.0,0.0,0.18925101,1.175
1174.6194346700001,0.7457901172507937,0.01728078057142857,32,0,0.0,0.0,0.0,0.0,0.0,0.29354399,0.32500000500000004
1174.6194346700001,0.6525663525944445,0.01728078057142857,32,0,0.0,0.0,0.0,0.0,0.0,0.21198501,3.89999995
1161.2663552600002,0.6451479751444446,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.21349899,4.0999999
1164.23370624,0.6467965034666666,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.212882,4.20000005
1164.23370624,0.6293155168864865,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.19770899,1.97499995
1164.23370624,0.612754582231579,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.189035,0.775000005
1164.23370624,0.674918090573913,0.016949128333333334,30,0,0.0,0.0,0.0,0.0,0.0,0.228967,1.9
1171.5230684300002,0.6600129962985917,0.016955843333333335,29,1,0.0,0.0,0.0,0.0,0.0,0.208159,5.95000005
1171.5230684300002,0.633255712664865,0.016955843333333335,29,1,0.0,0.0,0.0,0.0,0.0,0.191901,2.1
1157.97646613,0.6175874486026667,0.01684587875,28,1,0.0,0.0,0.0,0.0,0.0,0.18650401,0.900000005
1168.42670219,0.6491259456611111,0.017024108333333333,32,1,0.0,0.0,0.0,0.0,0.0,0.20412,4.5
1168.42670219,0.6402338094191781,0.017024108333333333,32,1,0.0,0.0,0.0,0.0,0.0,0.193827,3.15
1168.42670219,0.7538236788322581,0.016871812197802198,368,1,0.0,0.0,0.0,0.0,0.0,0.230573,30.8499995
1168.42670219,0.687309824817647,0.016871812197802198,368,0,0.0,0.0,0.0,0.0,0.0,0.214,10.65
1167.39458011,0.6485525445055557,0.01691604,31,1,0.0,0.0,0.0,0.0,0.0,0.21014699,4.29999995
1167.39458011,0.6310240973567568,0.01691604,31,1,0.0,0.0,0.0,0.0,0.0,0.196548,2.07500005
1167.39458011,0.5075628609173913,0.016851285494505496,367,1,0.0,0.0,0.0,0.0,0.0,0.174035,1.25
