S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
139.29998213000002,0.09286665475333335,0.047610910000000006,186,0,0.0,0.0,0.0,0.0,0.0,0.186711,18.0500005
139.29998213000002,0.11608331844166668,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.245441,13.15
139.29998213000002,0.11143998570400002,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.22303499,8.6500001
139.29998213000002,0.10715383240769231,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.208446,4.85000015
139.29998213000002,0.10318517194814816,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.198203,2.1750000500000004
139.29998213000002,0.0994999872357143,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.192224,0.75
139.29998213000002,0.09606895319310346,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.194657,0.225
139.29998213000002,0.11608331844166668,0.047610910000000006,186,1,0.0,0.0,0.0,0.0,0.0,0.22645099,17.5500005
139.29998213000002,0.11143998570400002,0.047610910000000006,186,1,0.0,0.0,0.0,0.0,0.0,0.218071,13.85
139.29998213000002,0.10715383240769231,0.047610910000000006,186,1,0.0,0.0,0.0,0.0,0.0,0.210071,10.55
139.29998213000002,0.10318517194814816,0.047610910000000006,186,1,0.0,0.0,0.0,0.0,0.0,0.202246,7.70000005
139.29998213000002,0.09606895319310346,0.047610910000000006,186,1,0.0,0.0,0.0,0.0,0.0,0.19377901,3.6999999499999996
139.29998213000002,0.11143998570400002,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.215828,0.75
139.29998213000002,0.10715383240769231,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.20213901,1.925
139.29998213000002,0.10318517194814816,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.19367801,4.29999995
139.29998213000002,0.0994999872357143,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.188949,8.00000025
139.29998213000002,0.12663634739090912,0.047610910000000006,186,0,0.0,0.0,0.0,0.0,0.0,0.250817,1.35
139.29998213000002,0.11608331844166668,0.047610910000000006,186,0,0.0,0.0,0.0,0.0,0.0,0.228269,2.82500005
139.29998213000002,0.11143998570400002,0.047610910000000006,186,0,0.0,0.0,0.0,0.0,0.0,0.21747699,4.0
139.29998213000002,0.10715383240769231,0.047610910000000006,186,0,0.0,0.0,0.0,0.0,0.0,0.21042,5.70000005
139.29998213000002,0.10318517194814816,0.047610910000000006,186,0,0.0,0.0,0.0,0.0,0.0,0.20364,7.9000001
139.29998213000002,0.0994999872357143,0.047610910000000006,186,0,0.0,0.0,0.0,0.0,0.0,0.19683801,10.65
139.29998213000002,0.12113041924347828,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.241256,25.5500005
139.29998213000002,0.11608331844166668,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.232875,21.8500005
139.29998213000002,0.10715383240769231,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.218385,15.25
139.29998213000002,0.10318517194814816,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.211886,12.4
139.29998213000002,0.09606895319310346,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.201106,7.75
139.29998213000002,0.09286665475333335,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.196657,5.95000005
139.29998213000002,0.10318517194814816,0.04771222131868132,368,0,0.0,0.0,0.0,0.0,0.0,0.212447,10.45
139.29998213000002,0.15477775792222223,0.04771222131868132,368,0,0.0,0.0,0.0,0.0,0.0,0.28632,0.94999999
139.06884859000002,0.09271256572666668,0.047606391428571426,185,1,0.0,0.0,0.0,0.0,0.0,0.18459199,2.125
139.06884859000002,0.11589070715833334,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.236444,12.75
139.06884859000002,0.11125507887200001,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.21601599,8.25
139.06884859000002,0.10697603737692309,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.20345099,4.5
139.06884859000002,0.10301396191851853,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.19569799,1.95
139.06884859000002,0.09933489185000001,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.19169199,0.650000005
139.06884859000002,0.09590955075172415,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.197439,0.20000000499999998
139.06884859000002,0.1545209428777778,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,-99.989998,42.3500005
139.06884859000002,0.1264262259909091,0.047606391428571426,185,1,0.0,0.0,0.0,0.0,0.0,0.249337,25.5
139.06884859000002,0.12092943355652175,0.047606391428571426,185,1,0.0,0.0,0.0,0.0,0.0,0.236994,21.2
139.06884859000002,0.10697603737692309,0.047606391428571426,185,1,0.0,0.0,0.0,0.0,0.0,0.210374,10.25
139.06884859000002,0.10301396191851853,0.047606391428571426,185,1,0.0,0.0,0.0,0.0,0.0,0.20132101,7.39999985
139.06884859000002,0.09933489185000001,0.047606391428571426,185,1,0.0,0.0,0.0,0.0,0.0,0.195586,5.14999985
139.06884859000002,0.09590955075172415,0.047606391428571426,185,1,0.0,0.0,0.0,0.0,0.0,0.189832,3.4
139.06884859000002,0.1324465224666667,0.045378857142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.324218,0.0250000005
139.06884859000002,0.11589070715833334,0.045378857142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.237893,0.29999999499999996
139.06884859000002,0.11125507887200001,0.045378857142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.218408,0.80000001
139.06884859000002,0.10697603737692309,0.045378857142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.205578,2.04999995
139.06884859000002,0.10301396191851853,0.045378857142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.19677199,4.5
139.06884859000002,0.11125507887200001,0.047606391428571426,185,0,0.0,0.0,0.0,0.0,0.0,0.218789,4.14999985
139.06884859000002,0.10301396191851853,0.047606391428571426,185,0,0.0,0.0,0.0,0.0,0.0,0.202829,8.04999995
139.06884859000002,0.16361041010588237,0.04771386703296703,367,0,0.0,0.0,0.0,0.0,0.0,0.300969,0.75
139.06884859000002,0.14638826167368424,0.04771386703296703,367,0,0.0,0.0,0.0,0.0,0.0,0.27964199,1.375
139.06884859000002,0.13906884859000002,0.04771386703296703,367,0,0.0,0.0,0.0,0.0,0.0,0.26935601,1.825
140.59222874,0.09372815249333333,0.04710781107142857,93,1,0.0,0.0,0.0,0.0,0.0,0.18524399,0.849999995
140.59222874,0.09372815249333333,0.04784644761904762,184,1,0.0,0.0,0.0,0.0,0.0,0.179525,2.32500005
140.59222874,0.09372815249333333,0.04561330285714285,30,0,0.0,0.0,0.0,0.0,0.0,0.248447,16.4499995
140.59222874,0.09372815249333333,0.04784644761904762,184,0,0.0,0.0,0.0,0.0,0.0,0.177718,16.8500005
140.59222874,0.12781111703636364,0.04561330285714285,30,1,0.0,0.0,0.0,0.0,0.0,-99.989998,23.9499995
140.59222874,0.11716019061666666,0.04561330285714285,30,1,0.0,0.0,0.0,0.0,0.0,0.22149,14.15
140.59222874,0.11247378299199999,0.04561330285714285,30,1,0.0,0.0,0.0,0.0,0.0,0.21568801,9.5499997
140.59222874,0.10814786826153845,0.04561330285714285,30,1,0.0,0.0,0.0,0.0,0.0,0.195243,5.4000001
140.59222874,0.10414239165925926,0.04561330285714285,30,1,0.0,0.0,0.0,0.0,0.0,0.18682501,2.42499995
140.59222874,0.10042302052857142,0.04561330285714285,30,1,0.0,0.0,0.0,0.0,0.0,0.18535,0.849999995
140.59222874,0.09696015775172413,0.04561330285714285,30,1,0.0,0.0,0.0,0.0,0.0,0.189184,0.25000000499999997
140.59222874,0.1338973607047619,0.04710781107142857,93,1,0.0,0.0,0.0,0.0,0.0,0.284686,29.9499995
140.59222874,0.12781111703636364,0.04710781107142857,93,1,0.0,0.0,0.0,0.0,0.0,0.26199099,25.1499995
140.59222874,0.12225411194782608,0.04710781107142857,93,1,0.0,0.0,0.0,0.0,0.0,0.24639601,20.5
140.59222874,0.11716019061666666,0.04710781107142857,93,1,0.0,0.0,0.0,0.0,0.0,0.228466,16.0
140.59222874,0.11247378299199999,0.04710781107142857,93,1,0.0,0.0,0.0,0.0,0.0,0.217252,11.9
140.59222874,0.10814786826153845,0.04710781107142857,93,1,0.0,0.0,0.0,0.0,0.0,0.205751,8.25
140.59222874,0.10414239165925926,0.04710781107142857,93,1,0.0,0.0,0.0,0.0,0.0,0.19755501,5.29999995
140.59222874,0.10042302052857142,0.04710781107142857,93,1,0.0,0.0,0.0,0.0,0.0,0.19239999,3.1499999499999998
140.59222874,0.09696015775172413,0.04710781107142857,93,1,0.0,0.0,0.0,0.0,0.0,0.186584,1.675
140.59222874,0.175740285925,0.04710781107142857,93,1,0.0,0.0,0.0,0.0,0.0,0.43081301,54.4499985
140.59222874,0.1562135874888889,0.04710781107142857,93,1,0.0,0.0,0.0,0.0,0.0,0.32870501,44.5500015
140.59222874,0.14059222874,0.04710781107142857,93,1,0.0,0.0,0.0,0.0,0.0,0.29149401,34.75
140.59222874,0.11247378299199999,0.04784644761904762,184,1,0.0,0.0,0.0,0.0,0.0,0.21323501,14.45
140.59222874,0.10814786826153845,0.04784644761904762,184,1,0.0,0.0,0.0,0.0,0.0,0.204456,11.0
140.59222874,0.10414239165925926,0.04784644761904762,184,1,0.0,0.0,0.0,0.0,0.0,0.19589899,8.00000025
140.59222874,0.10042302052857142,0.04784644761904762,184,1,0.0,0.0,0.0,0.0,0.0,0.190199,5.5999999
140.59222874,0.09696015775172413,0.04784644761904762,184,1,0.0,0.0,0.0,0.0,0.0,0.18439899,3.6999999499999996
140.59222874,0.11247378299199999,0.04561330285714285,30,0,0.0,0.0,0.0,0.0,0.0,0.21995801,0.55000001
140.59222874,0.10814786826153845,0.04561330285714285,30,0,0.0,0.0,0.0,0.0,0.0,0.20417701,1.475
140.59222874,0.10414239165925926,0.04561330285714285,30,0,0.0,0.0,0.0,0.0,0.0,0.186712,3.4
140.59222874,0.10042302052857142,0.04561330285714285,30,0,0.0,0.0,0.0,0.0,0.0,0.18523,6.9000001
140.59222874,0.1338973607047619,0.04710781107142857,93,0,0.0,0.0,0.0,0.0,0.0,0.273305,0.225
140.59222874,0.11716019061666666,0.04710781107142857,93,0,0.0,0.0,0.0,0.0,0.0,0.229031,1.2
140.59222874,0.11247378299199999,0.04710781107142857,93,0,0.0,0.0,0.0,0.0,0.0,0.216776,2.04999995
140.59222874,0.10814786826153845,0.04710781107142857,93,0,0.0,0.0,0.0,0.0,0.0,0.20562799,3.4
140.59222874,0.10414239165925926,0.04710781107142857,93,0,0.0,0.0,0.0,0.0,0.0,0.19854,5.5
140.59222874,0.10042302052857142,0.04710781107142857,93,0,0.0,0.0,0.0,0.0,0.0,0.192839,8.4000001
140.59222874,0.1562135874888889,0.04710781107142857,93,0,0.0,0.0,0.0,0.0,0.0,0.333758,0.05
140.59222874,0.14059222874,0.04710781107142857,93,0,0.0,0.0,0.0,0.0,0.0,0.28902501,0.1250000005
140.59222874,0.12781111703636364,0.04784644761904762,184,0,0.0,0.0,0.0,0.0,0.0,0.24544699,1.125
140.59222874,0.10814786826153845,0.04784644761904762,184,0,0.0,0.0,0.0,0.0,0.0,0.203418,5.0
140.59222874,0.10414239165925926,0.04784644761904762,184,0,0.0,0.0,0.0,0.0,0.0,0.197594,7.0999999
140.59222874,0.11716019061666666,0.04808309043956044,366,1,0.0,0.0,0.0,0.0,0.0,0.227007,22.4499995
140.59222874,0.11247378299199999,0.04808309043956044,366,1,0.0,0.0,0.0,0.0,0.0,0.220173,18.9499995
140.59222874,0.10414239165925926,0.04808309043956044,366,1,0.0,0.0,0.0,0.0,0.0,0.20642,12.75
140.59222874,0.09372815249333333,0.04808309043956044,366,1,0.0,0.0,0.0,0.0,0.0,0.18978,6.0
140.59222874,0.1338973607047619,0.04808309043956044,366,0,0.0,0.0,0.0,0.0,0.0,0.256524,2.125
140.59222874,0.11716019061666666,0.04808309043956044,366,0,0.0,0.0,0.0,0.0,0.0,0.230037,4.70000005
140.59222874,0.10814786826153845,0.04808309043956044,366,0,0.0,0.0,0.0,0.0,0.0,0.21442901,7.6500001
140.59222874,0.175740285925,0.04808309043956044,366,0,0.0,0.0,0.0,0.0,0.0,0.306963,0.45000000500000004
138.3544012,0.09223626746666667,0.04715043107142857,92,1,0.0,0.0,0.0,0.0,0.0,0.180346,0.525000005
138.3544012,0.09223626746666667,0.04782803238095238,183,1,0.0,0.0,0.0,0.0,0.0,0.17358901,1.675
138.3544012,0.09223626746666667,0.04782803238095238,183,0,0.0,0.0,0.0,0.0,0.0,0.172359,18.6499995
138.3544012,0.13176609638095238,0.045703176428571426,29,1,0.0,0.0,0.0,0.0,0.0,0.290088,26.8000005
138.3544012,0.11529533433333335,0.045703176428571426,29,1,0.0,0.0,0.0,0.0,0.0,0.23810899,12.15
138.3544012,0.11068352096,0.045703176428571426,29,1,0.0,0.0,0.0,0.0,0.0,0.228613,7.79999995
138.3544012,0.10642646246153847,0.045703176428571426,29,1,0.0,0.0,0.0,0.0,0.0,0.209069,4.0999999
138.3544012,0.10248474162962964,0.045703176428571426,29,1,0.0,0.0,0.0,0.0,0.0,0.20055,1.7
138.3544012,0.0988245722857143,0.045703176428571426,29,1,0.0,0.0,0.0,0.0,0.0,0.19199499,0.5
138.3544012,0.0954168284137931,0.045703176428571426,29,1,0.0,0.0,0.0,0.0,0.0,0.193407,0.125000005
138.3544012,0.15372711244444445,0.045703176428571426,29,1,0.0,0.0,0.0,0.0,0.0,0.48706201,41.75
138.3544012,0.1456362117894737,0.045703176428571426,29,1,0.0,0.0,0.0,0.0,0.0,-99.989998,36.75
138.3544012,0.1383544012,0.045703176428571426,29,1,0.0,0.0,0.0,0.0,0.0,-99.989998,31.75
138.3544012,0.13176609638095238,0.04715043107142857,92,1,0.0,0.0,0.0,0.0,0.0,0.27228701,27.8500005
138.3544012,0.12577672836363638,0.04715043107142857,92,1,0.0,0.0,0.0,0.0,0.0,0.260746,23.1499995
138.3544012,0.12030817495652175,0.04715043107142857,92,1,0.0,0.0,0.0,0.0,0.0,0.24360999,18.5500005
