S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
249.429584,0.27714398222222225,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.253288,12.55
249.429584,0.23755198476190476,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.22481,9.8000002
249.1556224,0.20762968533333334,0.0031622477142857143,183,1,0.0,0.0,0.0,0.0,0.0,0.19493601,0.57499999
249.1556224,0.3322074965333333,0.0031622477142857143,183,0,0.0,0.0,0.0,0.0,0.0,0.29474401,0.75
249.1556224,0.27683958044444446,0.0031622477142857143,183,0,0.0,0.0,0.0,0.0,0.0,0.247628,3.0
252.3933504,0.24037461942857144,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.190837,0.82499999
252.3933504,0.2523933504,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.20765699,3.0
252.3933504,0.22944850036363637,0.0031651611428571425,179,1,0.0,0.0,0.0,0.0,0.0,0.204477,2.4
252.3933504,0.2656772109473684,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.23070399,0.69999999
252.3933504,0.2523933504,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.205155,2.0249999499999998
251.2227872,0.23925979733333333,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.193148,0.69999999
251.2227872,0.2512227872,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.203271,2.625
251.2227872,0.228384352,0.0031335191428571428,178,1,0.0,0.0,0.0,0.0,0.0,0.201006,2.17499995
251.2227872,0.27913643022222223,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.262034,0.25000000499999997
251.2227872,0.26444503915789475,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.22889701,0.75
251.2227872,0.2512227872,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.204373,2.1999999499999996
247.98505919999997,0.23617624685714284,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.202223,0.5
247.98505919999997,0.24798505919999997,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.21130601,2.0249999499999998
247.98505919999997,0.2917471284705882,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.29187399,0.10000000549999999
247.98505919999997,0.2755389546666666,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.265412,0.35000001000000003
247.98505919999997,0.2610369044210526,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.23219401,1.024999995
247.98505919999997,0.24798505919999997,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.21141399,2.875
246.2914784,0.23456331276190476,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.20215601,0.375
246.2914784,0.24629147839999999,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.224167,1.825
255.31540644000003,0.24315752994285716,0.0023469157142857145,32,1,0.0,0.0,0.0,0.0,0.0,0.22241101,1.325
255.31540644000003,0.25531540644000006,0.0023469157142857145,32,0,0.0,0.0,0.0,0.0,0.0,0.222504,1.9749999999999999
255.31540644000003,0.26875305941052635,0.0023469157142857145,32,0,0.0,0.0,0.0,0.0,0.0,0.26045901,0.82499999
256.81667304,0.24458730765714287,0.002342586857142857,31,1,0.0,0.0,0.0,0.0,0.0,0.20915601,1.425
256.81667304,0.28535185893333337,0.002342586857142857,31,0,0.0,0.0,0.0,0.0,0.0,0.29671299,0.25000000499999997
256.81667304,0.2703333400421053,0.002342586857142857,31,0,0.0,0.0,0.0,0.0,0.0,0.264716,0.67500001
260.89511397,0.26089511397000004,0.002336524,30,0,0.0,0.0,0.0,0.0,0.0,0.21615,1.075
260.89511397,0.27462643575789475,0.002336524,30,0,0.0,0.0,0.0,0.0,0.0,0.254482,0.39999998999999997
260.56983954000003,0.26056983954,0.0023342174285714288,29,0,0.0,0.0,0.0,0.0,0.0,0.22037899,0.97499999
269.60246025000004,0.2837920634210527,0.002392358,32,1,0.0,0.0,0.0,0.0,0.0,0.318131,13.1
271.10372685,0.24645793349999998,0.00240692,31,1,0.0,0.0,0.0,0.0,0.0,0.190571,1.65
271.10372685,0.28537234405263157,0.00240692,31,1,0.0,0.0,0.0,0.0,0.0,0.299061,13.55
271.15376907,0.25824168482857146,0.002428366470588235,30,1,0.0,0.0,0.0,0.0,0.0,0.208671,4.54999995
271.15376907,0.25824168482857146,0.002428366470588235,30,0,0.0,0.0,0.0,0.0,0.0,0.21146899,1.25
269.12705916000004,0.25631148491428574,0.002476309411764706,29,1,0.0,0.0,0.0,0.0,0.0,0.18935201,3.6500001
269.12705916000004,0.24466096287272732,0.002476309411764706,29,1,0.0,0.0,0.0,0.0,0.0,0.186607,1.2
269.12705916000004,0.25631148491428574,0.002476309411764706,29,0,0.0,0.0,0.0,0.0,0.0,0.19804899,1.375
285.81613953000004,0.24853577350434786,0.003967187142857143,187,0,0.0,0.0,0.0,0.0,0.0,0.215525,7.8499999
289.34411604,0.2411200967,0.003990191538461538,186,0,0.0,0.0,0.0,0.0,0.0,0.20904,10.0000002
278.10963765,0.27810963765,0.003905506813186813,185,1,0.0,0.0,0.0,0.0,0.0,0.242301,13.7
278.10963765,0.27810963765,0.003905506813186813,185,0,0.0,0.0,0.0,0.0,0.0,0.24050599,3.125
278.10963765,0.2648663215714286,0.003905506813186813,185,0,0.0,0.0,0.0,0.0,0.0,0.230525,4.6500001
269.67752358,0.21574201886400002,0.003222585142857143,93,1,0.0,0.0,0.0,0.0,0.0,0.19572,0.300000005
269.67752358,0.26967752358,0.003222585142857143,93,0,0.0,0.0,0.0,0.0,0.0,0.232402,2.05
269.67752358,0.24516138507272728,0.003222585142857143,93,0,0.0,0.0,0.0,0.0,0.0,0.21346401,6.1500001
269.67752358,0.28387107745263157,0.003222585142857143,93,0,0.0,0.0,0.0,0.0,0.0,0.24718,1.1
269.67752358,0.26967752358,0.0038359307692307693,184,1,0.0,0.0,0.0,0.0,0.0,0.243201,11.25
269.67752358,0.26967752358,0.0038359307692307693,184,0,0.0,0.0,0.0,0.0,0.0,0.237927,3.9999998999999997
262.54650723000003,0.25004429260000005,0.003207657142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.225155,4.5
262.54650723000003,0.23867864293636368,0.003207657142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.21532799,2.4
262.54650723000003,0.22830131063478262,0.003207657142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.211549,1.175
262.54650723000003,0.21878875602500003,0.003207657142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.209592,0.524999995
262.54650723000003,0.25004429260000005,0.003207657142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.220402,4.8499999
262.54650723000003,0.23867864293636368,0.003809890857142857,183,1,0.0,0.0,0.0,0.0,0.0,0.22544999,4.25
262.54650723000003,0.2917183413666667,0.003809890857142857,183,0,0.0,0.0,0.0,0.0,0.0,0.26098201,2.1999999499999996
262.54650723000003,0.2763647444526316,0.003809890857142857,183,0,0.0,0.0,0.0,0.0,0.0,0.250168,3.4
264.59823825,0.25199832214285717,0.003209609714285714,89,0,0.0,0.0,0.0,0.0,0.0,0.218247,4.3499999
264.59823825,0.2785244613157895,0.003209609714285714,89,0,0.0,0.0,0.0,0.0,0.0,0.245426,1.325
264.59823825,0.25199832214285717,0.0037900202857142863,180,1,0.0,0.0,0.0,0.0,0.0,0.229554,6.70000005
264.59823825,0.25199832214285717,0.0037900202857142863,180,0,0.0,0.0,0.0,0.0,0.0,0.225972,6.70000005
264.59823825,0.2785244613157895,0.0037900202857142863,180,0,0.0,0.0,0.0,0.0,0.0,0.246601,3.0500000500000004
269.00195361000004,0.2561923367714286,0.002666382142857143,32,1,0.0,0.0,0.0,0.0,0.0,0.205731,3.75
269.00195361000004,0.23391474226956527,0.002666382142857143,32,1,0.0,0.0,0.0,0.0,0.0,0.18334299,0.25000000499999997
269.00195361000004,0.2561923367714286,0.002666382142857143,32,0,0.0,0.0,0.0,0.0,0.0,0.19877601,1.65
269.00195361000004,0.2445472305545455,0.002666382142857143,32,0,0.0,0.0,0.0,0.0,0.0,0.182202,4.20000005
269.20212249,0.2563829738,0.0026859660714285715,31,1,0.0,0.0,0.0,0.0,0.0,0.209447,3.8499999000000003
269.20212249,0.2447292022636364,0.0026859660714285715,31,1,0.0,0.0,0.0,0.0,0.0,0.189546,1.225
269.20212249,0.2340888021652174,0.0026859660714285715,31,1,0.0,0.0,0.0,0.0,0.0,0.187612,0.275000005
269.20212249,0.2563829738,0.0026859660714285715,31,0,0.0,0.0,0.0,0.0,0.0,0.205716,1.625
276.85858215,0.26367484014285714,0.0027089189285714288,30,1,0.0,0.0,0.0,0.0,0.0,0.245015,6.25
276.85858215,0.25168962013636365,0.0027089189285714288,30,1,0.0,0.0,0.0,0.0,0.0,0.202941,2.5249999499999998
276.85858215,0.24074659317391306,0.0027089189285714288,30,1,0.0,0.0,0.0,0.0,0.0,0.186868,0.650000005
276.85858215,0.26367484014285714,0.0027089189285714288,30,0,0.0,0.0,0.0,0.0,0.0,0.213604,0.900000005
