S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
379.46084071,0.37946084071,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.32354301,5.60000015
385.18633555,0.38518633555000004,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.34029999,6.75
381.33263710000006,0.3563856421495328,0.016955843333333335,29,1,0.0,0.0,0.0,0.0,0.0,0.313297,2.17499995
381.33263710000006,0.34984645605504594,0.016955843333333335,29,1,0.0,0.0,0.0,0.0,0.0,0.30385801,1.475
373.18481752,0.3487708574953271,0.01684587875,28,1,0.0,0.0,0.0,0.0,0.0,0.31325001,1.425
373.18481752,0.34237139222018353,0.01684587875,28,1,0.0,0.0,0.0,0.0,0.0,0.308707,0.95000001
373.18481752,0.3808008342040817,0.01684587875,28,0,0.0,0.0,0.0,0.0,0.0,0.341124,2.425
386.28739225000004,0.38628739225000003,0.01691604,31,1,0.0,0.0,0.0,0.0,0.0,0.40104201,7.5500002
386.28739225000004,0.3714301848557693,0.01691604,31,1,0.0,0.0,0.0,0.0,0.0,0.39844599,5.20000005
386.28739225000004,0.3576735113425926,0.01691604,31,1,0.0,0.0,0.0,0.0,0.0,0.37879601,3.20000005
386.28739225000004,0.38628739225000003,0.01691604,31,0,0.0,0.0,0.0,0.0,0.0,0.410956,2.925
378.13957267,0.3938953881979167,0.016863545833333334,30,0,0.0,0.0,0.0,0.0,0.0,0.411275,2.1499999499999998
378.13957267,0.389834611,0.016863545833333334,30,0,0.0,0.0,0.0,0.0,0.0,0.408425,2.45000005
378.13957267,0.37813957267,0.01747593142857143,93,1,0.0,0.0,0.0,0.0,0.0,0.30794501,7.74999975
378.13957267,0.360132926352381,0.01747593142857143,93,1,0.0,0.0,0.0,0.0,0.0,0.296985,5.14999985
378.13957267,0.34376324788181817,0.01747593142857143,93,1,0.0,0.0,0.0,0.0,0.0,0.29408601,3.3249999499999996
378.13957267,0.31511631055833333,0.01747593142857143,93,1,0.0,0.0,0.0,0.0,0.0,0.29136401,1.225
378.13957267,0.37813957267,0.01733608253968254,184,1,0.0,0.0,0.0,0.0,0.0,0.30958399,10.15
378.13957267,0.34376324788181817,0.01733608253968254,184,1,0.0,0.0,0.0,0.0,0.0,0.28976601,5.45000005
378.13957267,0.387835459148718,0.01733608253968254,184,1,0.0,0.0,0.0,0.0,0.0,0.31082499,11.5
380.30498418,0.36219522302857143,0.017448359142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.29793099,5.39999985
