S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
50.31789354,0.3354526236,0.016871812197802198,368,1,0.0,0.0,0.0,0.0,0.0,0.23278099,0.985000015
50.31789354,0.29598760905882354,0.016871812197802198,368,1,0.0,0.0,0.0,0.0,0.0,0.214476,0.364999995
50.31789354,0.3354526236,0.016871812197802198,368,0,0.0,0.0,0.0,0.0,0.0,0.233043,1.84000005
50.8050654,0.338700436,0.016851285494505496,367,1,0.0,0.0,0.0,0.0,0.0,0.23573101,1.07
50.31789354,0.3594135252857143,0.01747593142857143,93,1,0.0,0.0,0.0,0.0,0.0,0.214654,0.8549999850000001
50.31789354,0.3354526236,0.01747593142857143,93,1,0.0,0.0,0.0,0.0,0.0,0.199093,0.33999999999999997
50.31789354,0.314486834625,0.01747593142857143,93,1,0.0,0.0,0.0,0.0,0.0,0.18801901,0.094999999
50.31789354,0.38706071953846155,0.01747593142857143,93,0,0.0,0.0,0.0,0.0,0.0,0.232805,0.17500000500000001
50.31789354,0.3594135252857143,0.01747593142857143,93,0,0.0,0.0,0.0,0.0,0.0,0.21289,0.44
50.31789354,0.3354526236,0.016857384615384614,366,1,0.0,0.0,0.0,0.0,0.0,0.23448899,0.995000015
50.31789354,0.29598760905882354,0.016857384615384614,366,1,0.0,0.0,0.0,0.0,0.0,0.213273,0.36
50.31789354,0.3354526236,0.016857384615384614,366,0,0.0,0.0,0.0,0.0,0.0,0.232252,1.8250000000000002
51.01385334,0.3400923556,0.017448359142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.198772,0.41499999499999995
51.01385334,0.318836583375,0.017448359142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.18509901,0.12
51.01385334,0.3643846667142857,0.017330392063492062,183,0,0.0,0.0,0.0,0.0,0.0,0.215836,0.644999985
51.01385334,0.3400923556,0.016848126043956045,365,1,0.0,0.0,0.0,0.0,0.0,0.233053,1.07999995
51.01385334,0.4251154445,0.016848126043956045,365,0,0.0,0.0,0.0,0.0,0.0,0.272127,0.55000001
51.18784329,0.3412522886,0.017423758857142858,91,1,0.0,0.0,0.0,0.0,0.0,0.195998,0.425
51.18784329,0.3656274520714286,0.017423758857142858,91,0,0.0,0.0,0.0,0.0,0.0,0.20685799,0.329999995
