S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
154.16395255999998,0.570977602074074,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.226748,2.0399999500000003
154.16395255999998,0.5505855448571428,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.19985899,1.20500005
154.16395255999998,0.531599836413793,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.180039,0.56
154.16395255999998,0.48176235174999993,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.18511701,0.0199999994
154.16395255999998,0.4973030727741935,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.166274,0.049999999
154.16395255999998,0.5138798418666666,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.168589,0.190000005
154.16395255999998,0.592938279076923,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.26126701,2.97
154.16395255999998,0.570977602074074,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.224479,0.15000000000000002
154.16395255999998,0.5505855448571428,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.19836999,0.314999995
154.16395255999998,0.531599836413793,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.178766,0.67000002
154.16395255999998,0.48176235174999993,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.16093799,3.125
154.16395255999998,0.4973030727741935,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.157464,2.1550001
154.16395255999998,0.5138798418666666,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.164864,1.29499995
154.16395255999998,0.4404684358857142,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,-99.989998,6.0999999
154.16395255999998,0.592938279076923,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.249302,0.0699999985
154.16395255999998,0.45342338988235287,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,-99.989998,5.0999999
154.16395255999998,0.6166558102399999,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.284509,3.92499995
154.16395255999998,0.7007452389090908,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.419027,6.9000001
154.16395255999998,0.6166558102399999,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.297526,0.049999999
154.16395255999998,0.7007452389090908,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.43452501,0.0199999994
154.16395255999998,0.6166558102399999,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.273159,4.875
154.16395255999998,0.5138798418666666,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.240183,1.9949999999999999
154.16395255999998,0.4404684358857142,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.219548,0.5900000000000001
154.16395255999998,0.3854098814,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.214856,0.15500000000000003
154.16395255999998,1.5416395256,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.51284802,0.0699999985
154.16395255999998,0.6166558102399999,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.27623799,1.63
154.16395255999998,0.5138798418666666,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.24175601,3.8500000500000002
154.16395255999998,0.4404684358857142,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.217951,7.45000005
154.16395255999998,0.3854098814,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.208298,12.0
154.16395255999998,0.8809368717714284,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.35935199,0.350000005
154.16395255999998,0.6851731224888888,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.29920501,1.00000001
152.98957342,0.5666280497037037,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.219373,1.82999995
152.98957342,0.5463913336428572,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.197576,1.0350000000000001
152.98957342,0.5275502531724138,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.18317901,0.459999995
152.98957342,0.49351475296774194,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.17413899,0.04
152.98957342,0.5099652447333334,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.174209,0.15000000000000002
152.98957342,0.5884214362307693,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.25323799,2.75
152.98957342,0.5666280497037037,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.225328,0.18
152.98957342,0.5463913336428572,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.20012499,0.37999999500000003
152.98957342,0.5275502531724138,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.18404201,0.80000001
152.98957342,0.4780924169375,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.18434,3.3500000500000002
152.98957342,0.5099652447333334,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.173216,1.4849999999999999
152.98957342,0.61195829368,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.27385199,3.70000005
152.98957342,0.61195829368,0.005224085604395604,367,1,0.0,0.0,0.0,0.0,0.0,0.27314299,4.70000005
152.98957342,0.5099652447333334,0.005224085604395604,367,1,0.0,0.0,0.0,0.0,0.0,0.240859,1.895
152.98957342,0.4371130669142857,0.005224085604395604,367,1,0.0,0.0,0.0,0.0,0.0,0.22030599,0.5499999799999999
152.98957342,0.7649478671,0.005224085604395604,367,0,0.0,0.0,0.0,0.0,0.0,0.32538599,0.6150000099999999
152.98957342,0.61195829368,0.005224085604395604,367,0,0.0,0.0,0.0,0.0,0.0,0.27531099,1.685
152.98957342,0.8742261338285714,0.005224085604395604,367,0,0.0,0.0,0.0,0.0,0.0,0.358237,0.36
152.98957342,0.6799536596444444,0.005224085604395604,367,0,0.0,0.0,0.0,0.0,0.0,0.29844001,1.0350000000000001
152.02871776,1.0135247850666667,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.98150897,13.5
152.02871776,0.6081148710400001,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.30715099,3.54999995
152.02871776,0.8001511461052632,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.64738798,9.5
152.02871776,0.6334529906666667,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.338972,0.04
152.02871776,0.6081148710400001,0.005042444395604395,366,1,0.0,0.0,0.0,0.0,0.0,0.27394399,4.57500005
152.02871776,0.5067623925333333,0.005042444395604395,366,1,0.0,0.0,0.0,0.0,0.0,0.242783,1.83500005
152.02871776,0.43436776502857144,0.005042444395604395,366,1,0.0,0.0,0.0,0.0,0.0,0.22221699,0.53
152.02871776,0.3800717944,0.005042444395604395,366,1,0.0,0.0,0.0,0.0,0.0,0.21685199,0.13500000499999998
152.02871776,0.6081148710400001,0.005042444395604395,366,0,0.0,0.0,0.0,0.0,0.0,0.27798,1.76
152.02871776,0.5067623925333333,0.005042444395604395,366,0,0.0,0.0,0.0,0.0,0.0,0.244091,4.10000015
152.02871776,0.23389033501538462,0.005042444395604395,366,0,0.0,0.0,0.0,0.0,0.0,-99.989998,37.1499995
152.02871776,0.6756831900444444,0.005042444395604395,366,0,0.0,0.0,0.0,0.0,0.0,0.30021301,1.07999995
152.02871776,0.5630693250370371,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.230252,1.6949999500000001
152.02871776,0.5429597062857143,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.21044099,0.944999995
152.02871776,0.5242369577931034,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.19393601,0.41000000000000003
152.02871776,0.4904152185806452,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.17761999,0.0299999995
152.02871776,0.5067623925333333,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.183218,0.13
152.02871776,0.5847258375384615,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.255357,2.5799999
152.02871776,0.5630693250370371,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.231499,0.219999995
152.02871776,0.5429597062857143,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.209758,0.46499999000000003
152.02871776,0.5242369577931034,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.19489101,0.935000005
152.02871776,0.4904152185806452,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.175584,2.54999995
152.02871776,0.5067623925333333,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.18229701,1.65
147.97177164,0.9864784776,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.85790801,12.725000000000001
147.97177164,0.59188708656,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.29706299,2.8299999
147.97177164,0.6433555288695652,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.36341101,4.75
147.97177164,0.6165490484999999,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.327048,3.775
147.97177164,0.59188708656,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.306851,0.13
