S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
625.25360106,0.3473631117,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.196228,3.17499995
625.25360106,0.3732857319761194,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.21136101,0.7200000049999999
620.53431021,0.36502018247647056,0.01728078057142857,32,0,0.0,0.0,0.0,0.0,0.0,0.202769,1.42999995
620.8838873100001,0.3497937393295775,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.181734,3.9
620.8838873100001,0.34493549295000003,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.17444199,2.63
620.8838873100001,0.37067694764776127,0.01740261057142857,31,0,0.0,0.0,0.0,0.0,0.0,0.217314,1.01500001
620.8838873100001,0.3599326882956522,0.01740261057142857,31,0,0.0,0.0,0.0,0.0,0.0,0.197175,1.9100000000000001
621.4082529599999,0.3655342664470588,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.23681501,9.6999999
621.4082529599999,0.34522680719999993,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.177984,2.7050000499999998
621.4082529599999,0.33141773491199994,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.159052,0.52000001
621.4082529599999,0.3270569752421052,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.155957,0.259999995
625.98771297,0.34777095165,0.016955843333333335,29,1,0.0,0.0,0.0,0.0,0.0,0.17141201,3.125
624.62436228,0.3470135346,0.01684587875,28,1,0.0,0.0,0.0,0.0,0.0,0.171277,2.8600000000000003
624.62436228,0.33763479042162164,0.01684587875,28,1,0.0,0.0,0.0,0.0,0.0,0.157408,1.000000015
624.62436228,0.333132993216,0.01684587875,28,1,0.0,0.0,0.0,0.0,0.0,0.15343399,0.525000005
624.62436228,0.37291006703283586,0.01684587875,28,0,0.0,0.0,0.0,0.0,0.0,0.221847,0.775000005
624.62436228,0.36742609545882354,0.01684587875,28,0,0.0,0.0,0.0,0.0,0.0,0.210641,1.0750000000000002
624.62436228,0.36210107958260873,0.01684587875,28,0,0.0,0.0,0.0,0.0,0.0,0.20001701,1.5
624.62436228,0.35692820701714284,0.01684587875,28,0,0.0,0.0,0.0,0.0,0.0,0.19021399,2.1
633.67840917,0.3570019206591549,0.017024108333333333,32,1,0.0,0.0,0.0,0.0,0.0,0.190017,6.2750001
633.67840917,0.35204356065000003,0.017024108333333333,32,1,0.0,0.0,0.0,0.0,0.0,0.18047699,4.57500005
633.67840917,0.34722104612054794,0.017024108333333333,32,1,0.0,0.0,0.0,0.0,0.0,0.17321301,3.17499995
633.67840917,0.3425288698216216,0.017024108333333333,32,1,0.0,0.0,0.0,0.0,0.0,0.16738001,2.07000005
633.67840917,0.337961818224,0.017024108333333333,32,1,0.0,0.0,0.0,0.0,0.0,0.160184,1.225
633.67840917,0.3727520053941176,0.017024108333333333,32,0,0.0,0.0,0.0,0.0,0.0,0.206126,0.900000005
633.67840917,0.36210194809714286,0.017024108333333333,32,0,0.0,0.0,0.0,0.0,0.0,0.18333299,1.67
633.67840917,0.3570019206591549,0.017024108333333333,32,0,0.0,0.0,0.0,0.0,0.0,0.172391,2.28999995
633.67840917,0.35204356065000003,0.016871812197802198,368,1,0.0,0.0,0.0,0.0,0.0,0.19752599,14.5
633.67840917,0.33351495219473687,0.016871812197802198,368,1,0.0,0.0,0.0,0.0,0.0,0.187297,9.6500001
633.67840917,0.40882478010967743,0.016871812197802198,368,0,0.0,0.0,0.0,0.0,0.0,0.223419,5.45000005
633.67840917,0.39604900573125,0.016871812197802198,368,0,0.0,0.0,0.0,0.0,0.0,0.21590599,6.54999995
630.8118769499999,0.35538697292957744,0.01691604,31,1,0.0,0.0,0.0,0.0,0.0,0.19131,5.70000005
630.8118769499999,0.35045104274999994,0.01691604,31,1,0.0,0.0,0.0,0.0,0.0,0.184131,4.125
630.8118769499999,0.3409793929459459,0.01691604,31,1,0.0,0.0,0.0,0.0,0.0,0.16808701,1.76
630.8118769499999,0.38231022845454543,0.01691604,31,0,0.0,0.0,0.0,0.0,0.0,0.233298,0.575000015
630.8118769499999,0.3710658099705882,0.01691604,31,0,0.0,0.0,0.0,0.0,0.0,0.20757499,1.01000001
630.8118769499999,0.3604639296857143,0.01691604,31,0,0.0,0.0,0.0,0.0,0.0,0.184788,1.88
630.8118769499999,0.35538697292957744,0.01691604,31,0,0.0,0.0,0.0,0.0,0.0,0.173649,2.5699999499999997
630.8118769499999,0.5485320669130435,0.016851285494505496,367,0,0.0,0.0,0.0,0.0,0.0,0.29582,1.205
630.8118769499999,0.4505799121071428,0.016851285494505496,367,0,0.0,0.0,0.0,0.0,0.0,0.246769,3.1499999499999998
630.8118769499999,0.43504267375862066,0.016851285494505496,367,0,0.0,0.0,0.0,0.0,0.0,0.238548,3.8249999499999996
630.8118769499999,0.40697540448387093,0.016851285494505496,367,0,0.0,0.0,0.0,0.0,0.0,0.22312801,5.60000015
630.8118769499999,0.39425742309374995,0.016851285494505496,367,0,0.0,0.0,0.0,0.0,0.0,0.21594401,6.75
630.8118769499999,0.35045104274999994,0.016851285494505496,367,0,0.0,0.0,0.0,0.0,0.0,0.19062699,13.7
631.79069283,0.3559384184957747,0.016863545833333334,30,1,0.0,0.0,0.0,0.0,0.0,0.19298799,5.8499999
631.79069283,0.35099482935,0.016863545833333334,30,1,0.0,0.0,0.0,0.0,0.0,0.183402,4.20000005
631.79069283,0.3415084826108108,0.016863545833333334,30,1,0.0,0.0,0.0,0.0,0.0,0.168428,1.8050000000000002
