S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
357.133894,0.5101912771428572,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.332946,13.25
357.133894,0.4761785253333333,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.26501,8.4000001
357.133894,0.4464173675,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.23572201,4.14999985
357.133894,0.4201575223529412,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.224793,1.4
357.133894,0.3968154377777778,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.235603,0.375
357.133894,0.3759304147368421,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.26544601,0.125000005
357.133894,0.3401275180952381,0.047610910000000006,186,1,0.0,0.0,0.0,0.0,0.0,0.183688,0.25000000499999997
357.133894,0.5952231566666667,0.047610910000000006,186,1,0.0,0.0,0.0,0.0,0.0,0.253681,24.15
357.133894,0.4761785253333333,0.047610910000000006,186,1,0.0,0.0,0.0,0.0,0.0,0.19983,10.600000000000001
357.133894,0.4464173675,0.047610910000000006,186,1,0.0,0.0,0.0,0.0,0.0,0.19232599,7.0
357.133894,0.4201575223529412,0.047610910000000006,186,1,0.0,0.0,0.0,0.0,0.0,0.184357,4.14999985
357.133894,0.3968154377777778,0.047610910000000006,186,1,0.0,0.0,0.0,0.0,0.0,0.182309,2.2749999499999998
357.133894,0.3759304147368421,0.047610910000000006,186,1,0.0,0.0,0.0,0.0,0.0,0.18313,1.1749999999999998
357.133894,0.357133894,0.047610910000000006,186,1,0.0,0.0,0.0,0.0,0.0,0.182473,0.55000001
357.133894,0.4761785253333333,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.23570199,0.17500000500000001
357.133894,0.4464173675,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.22548699,0.974999995
357.133894,0.4201575223529412,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.22573,3.3500000500000002
357.133894,0.3968154377777778,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.21753,7.25
357.133894,0.3759304147368421,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.245065,12.05
357.133894,0.4464173675,0.047610910000000006,186,0,0.0,0.0,0.0,0.0,0.0,0.19502901,2.6750000500000004
357.133894,0.4201575223529412,0.047610910000000006,186,0,0.0,0.0,0.0,0.0,0.0,0.184975,4.79999995
357.133894,0.3968154377777778,0.047610910000000006,186,0,0.0,0.0,0.0,0.0,0.0,0.18212301,8.04999995
357.133894,0.3759304147368421,0.047610910000000006,186,0,0.0,0.0,0.0,0.0,0.0,0.17935701,12.2
357.133894,0.32466717636363635,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.182769,0.724999995
357.133894,0.5101912771428572,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.21009301,16.75
357.133894,0.4761785253333333,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.20308501,12.95
357.133894,0.4464173675,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.194731,9.5499997
357.133894,0.4201575223529412,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.189199,6.75
357.133894,0.3968154377777778,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.184716,4.54999995
357.133894,0.3759304147368421,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.18278199,2.9749999
357.133894,0.357133894,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.18136901,1.875
357.133894,0.5952231566666667,0.04771222131868132,368,0,0.0,0.0,0.0,0.0,0.0,0.237809,0.47500001000000003
357.133894,0.4761785253333333,0.04771222131868132,368,0,0.0,0.0,0.0,0.0,0.0,0.20304701,2.42499995
357.133894,0.4201575223529412,0.04771222131868132,368,0,0.0,0.0,0.0,0.0,0.0,0.18975499,6.10000015
360.5761484,0.4807681978666667,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.241208,9.0999999
360.5761484,0.45072018550000004,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.199471,4.5
360.5761484,0.42420723341176475,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.18436,1.3250000000000002
360.5761484,0.4006401648888889,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.187447,0.225
360.5761484,0.37955384042105267,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.23,0.0750000005
360.5761484,0.34340585561904763,0.047606391428571426,185,1,0.0,0.0,0.0,0.0,0.0,0.17361,0.225
360.5761484,0.45072018550000004,0.047606391428571426,185,1,0.0,0.0,0.0,0.0,0.0,0.184746,7.4000001
360.5761484,0.42420723341176475,0.047606391428571426,185,1,0.0,0.0,0.0,0.0,0.0,0.177329,4.4000001
360.5761484,0.4006401648888889,0.047606391428571426,185,1,0.0,0.0,0.0,0.0,0.0,0.17325801,2.3500000500000002
360.5761484,0.37955384042105267,0.047606391428571426,185,1,0.0,0.0,0.0,0.0,0.0,0.172185,1.15
360.5761484,0.3605761484,0.047606391428571426,185,1,0.0,0.0,0.0,0.0,0.0,0.17043599,0.5
360.5761484,0.4807681978666667,0.045378857142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.22865599,0.10000000549999999
360.5761484,0.45072018550000004,0.045378857142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.187898,0.474999995
360.5761484,0.42420723341176475,0.045378857142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.176845,2.3500000500000002
360.5761484,0.4006401648888889,0.045378857142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.17249601,6.29999995
360.5761484,0.4807681978666667,0.047606391428571426,185,0,0.0,0.0,0.0,0.0,0.0,0.195052,1.05
360.5761484,0.45072018550000004,0.047606391428571426,185,0,0.0,0.0,0.0,0.0,0.0,0.185159,2.20000005
360.5761484,0.42420723341176475,0.047606391428571426,185,0,0.0,0.0,0.0,0.0,0.0,0.17723501,4.20000005
360.5761484,0.32779649854545456,0.04771386703296703,367,1,0.0,0.0,0.0,0.0,0.0,0.17894,0.75
360.5761484,0.3004801236666667,0.04771386703296703,367,1,0.0,0.0,0.0,0.0,0.0,0.178367,0.25000000499999997
360.5761484,0.45072018550000004,0.04771386703296703,367,1,0.0,0.0,0.0,0.0,0.0,0.191238,9.9999998
360.5761484,0.42420723341176475,0.04771386703296703,367,1,0.0,0.0,0.0,0.0,0.0,0.187466,7.14999985
360.5761484,0.4006401648888889,0.04771386703296703,367,1,0.0,0.0,0.0,0.0,0.0,0.18145201,4.79999995
360.5761484,0.37955384042105267,0.04771386703296703,367,1,0.0,0.0,0.0,0.0,0.0,0.17819101,3.1
360.5761484,0.3605761484,0.04771386703296703,367,1,0.0,0.0,0.0,0.0,0.0,0.17799801,1.9749999999999999
360.5761484,0.554732536,0.04771386703296703,367,0,0.0,0.0,0.0,0.0,0.0,0.21917801,0.69999999
360.5761484,0.5151087834285715,0.04771386703296703,367,0,0.0,0.0,0.0,0.0,0.0,0.208551,1.25
360.5761484,0.4807681978666667,0.04771386703296703,367,0,0.0,0.0,0.0,0.0,0.0,0.19833,2.125
360.5761484,0.45072018550000004,0.04771386703296703,367,0,0.0,0.0,0.0,0.0,0.0,0.190198,3.5
360.5761484,0.42420723341176475,0.04771386703296703,367,0,0.0,0.0,0.0,0.0,0.0,0.184496,5.54999995
357.52114762,0.47669486349333334,0.04561330285714285,30,1,0.0,0.0,0.0,0.0,0.0,0.195802,8.25
357.52114762,0.44690143452500003,0.04561330285714285,30,1,0.0,0.0,0.0,0.0,0.0,0.186013,3.75
357.52114762,0.4206131148470588,0.04561330285714285,30,1,0.0,0.0,0.0,0.0,0.0,0.1831,0.974999995
357.52114762,0.3972457195777778,0.04561330285714285,30,1,0.0,0.0,0.0,0.0,0.0,0.197272,0.17500000500000001
357.52114762,0.47669486349333334,0.04710781107142857,93,1,0.0,0.0,0.0,0.0,0.0,0.193161,9.2000003
357.52114762,0.44690143452500003,0.04710781107142857,93,1,0.0,0.0,0.0,0.0,0.0,0.180044,5.20000005
357.52114762,0.4206131148470588,0.04710781107142857,93,1,0.0,0.0,0.0,0.0,0.0,0.172409,2.3500000500000002
357.52114762,0.3972457195777778,0.04710781107142857,93,1,0.0,0.0,0.0,0.0,0.0,0.176781,0.924999985
357.52114762,0.3763380501263158,0.04710781107142857,93,1,0.0,0.0,0.0,0.0,0.0,0.189284,0.375
357.52114762,0.35752114762000003,0.04710781107142857,93,1,0.0,0.0,0.0,0.0,0.0,0.20645501,0.17500000500000001
357.52114762,0.3404963310666667,0.04784644761904762,184,1,0.0,0.0,0.0,0.0,0.0,0.176807,0.20000000499999998
357.52114762,0.44690143452500003,0.04784644761904762,184,1,0.0,0.0,0.0,0.0,0.0,0.183929,6.79999995
357.52114762,0.4206131148470588,0.04784644761904762,184,1,0.0,0.0,0.0,0.0,0.0,0.17692401,3.95000005
357.52114762,0.3972457195777778,0.04784644761904762,184,1,0.0,0.0,0.0,0.0,0.0,0.17285299,2.04999995
357.52114762,0.3763380501263158,0.04784644761904762,184,1,0.0,0.0,0.0,0.0,0.0,0.17027301,0.94999999
357.52114762,0.35752114762000003,0.04784644761904762,184,1,0.0,0.0,0.0,0.0,0.0,0.171634,0.42500000000000004
357.52114762,0.47669486349333334,0.04561330285714285,30,0,0.0,0.0,0.0,0.0,0.0,0.20452601,0.0750000005
357.52114762,0.44690143452500003,0.04561330285714285,30,0,0.0,0.0,0.0,0.0,0.0,0.18128499,0.575000015
357.52114762,0.4206131148470588,0.04561330285714285,30,0,0.0,0.0,0.0,0.0,0.0,0.179177,2.8500000500000002
357.52114762,0.3972457195777778,0.04561330285714285,30,0,0.0,0.0,0.0,0.0,0.0,0.195787,7.0999999
357.52114762,0.3763380501263158,0.04561330285714285,30,0,0.0,0.0,0.0,0.0,0.0,0.197035,11.95
357.52114762,0.47669486349333334,0.04710781107142857,93,0,0.0,0.0,0.0,0.0,0.0,0.194125,0.5
357.52114762,0.44690143452500003,0.04710781107142857,93,0,0.0,0.0,0.0,0.0,0.0,0.17931101,1.45
357.52114762,0.4206131148470588,0.04710781107142857,93,0,0.0,0.0,0.0,0.0,0.0,0.175676,3.6999999499999996
357.52114762,0.3972457195777778,0.04710781107142857,93,0,0.0,0.0,0.0,0.0,0.0,0.174877,7.3499999
357.52114762,0.47669486349333334,0.04784644761904762,184,0,0.0,0.0,0.0,0.0,0.0,0.193067,1.15
357.52114762,0.44690143452500003,0.04784644761904762,184,0,0.0,0.0,0.0,0.0,0.0,0.184441,2.42499995
357.52114762,0.4206131148470588,0.04784644761904762,184,0,0.0,0.0,0.0,0.0,0.0,0.17777801,4.5999999
357.52114762,0.3972457195777778,0.04784644761904762,184,0,0.0,0.0,0.0,0.0,0.0,0.17378201,7.8499999
357.52114762,0.2750162674,0.04808309043956044,366,1,0.0,0.0,0.0,0.0,0.0,0.188697,0.10000000549999999
357.52114762,0.5500325348,0.04808309043956044,366,1,0.0,0.0,0.0,0.0,0.0,0.21122099,20.8500005
357.52114762,0.44690143452500003,0.04808309043956044,366,1,0.0,0.0,0.0,0.0,0.0,0.187611,9.3499999
357.52114762,0.4206131148470588,0.04808309043956044,366,1,0.0,0.0,0.0,0.0,0.0,0.18293799,6.54999995
357.52114762,0.3972457195777778,0.04808309043956044,366,1,0.0,0.0,0.0,0.0,0.0,0.180135,4.4000001
357.52114762,0.3763380501263158,0.04808309043956044,366,1,0.0,0.0,0.0,0.0,0.0,0.178693,2.8500000500000002
357.52114762,0.35752114762000003,0.04808309043956044,366,1,0.0,0.0,0.0,0.0,0.0,0.17855699,1.8
357.52114762,0.5107444966,0.04808309043956044,366,0,0.0,0.0,0.0,0.0,0.0,0.20719901,1.325
357.52114762,0.47669486349333334,0.04808309043956044,366,0,0.0,0.0,0.0,0.0,0.0,0.196906,2.25
357.52114762,0.44690143452500003,0.04808309043956044,366,0,0.0,0.0,0.0,0.0,0.0,0.188759,3.6999999499999996
357.52114762,0.4206131148470588,0.04808309043956044,366,0,0.0,0.0,0.0,0.0,0.0,0.184751,5.9000001
357.52114762,0.3972457195777778,0.04808309043956044,366,0,0.0,0.0,0.0,0.0,0.0,0.179694,8.7999997
357.52114762,0.35752114762000003,0.04808309043956044,366,0,0.0,0.0,0.0,0.0,0.0,0.18217701,17.0500005
350.07727248000003,0.3182520658909091,0.04800010461538462,365,1,0.0,0.0,0.0,0.0,0.0,0.180986,0.525000005
350.07727248000003,0.5834621208,0.04800010461538462,365,1,0.0,0.0,0.0,0.0,0.0,0.22954699,23.6999995
350.07727248000003,0.5001103892571429,0.04800010461538462,365,1,0.0,0.0,0.0,0.0,0.0,0.203843,15.15
350.07727248000003,0.46676969664000006,0.04800010461538462,365,1,0.0,0.0,0.0,0.0,0.0,0.196775,11.45
350.07727248000003,0.43759659060000006,0.04800010461538462,365,1,0.0,0.0,0.0,0.0,0.0,0.188554,8.2000003
350.07727248000003,0.411855614682353,0.04800010461538462,365,1,0.0,0.0,0.0,0.0,0.0,0.18329699,5.5999999
350.07727248000003,0.3889747472,0.04800010461538462,365,1,0.0,0.0,0.0,0.0,0.0,0.18143,3.6999999499999996
350.07727248000003,0.36850239208421054,0.04800010461538462,365,1,0.0,0.0,0.0,0.0,0.0,0.179251,2.32500005
350.07727248000003,0.35007727248000003,0.04800010461538462,365,1,0.0,0.0,0.0,0.0,0.0,0.179759,1.45
350.07727248000003,0.5834621208,0.04800010461538462,365,0,0.0,0.0,0.0,0.0,0.0,0.231098,0.5
350.07727248000003,0.5001103892571429,0.04800010461538462,365,0,0.0,0.0,0.0,0.0,0.0,0.20522401,1.55
350.07727248000003,0.46676969664000006,0.04800010461538462,365,0,0.0,0.0,0.0,0.0,0.0,0.196207,2.6499999499999998
350.07727248000003,0.43759659060000006,0.04800010461538462,365,0,0.0,0.0,0.0,0.0,0.0,0.18952399,4.35000015
350.07727248000003,0.411855614682353,0.04800010461538462,365,0,0.0,0.0,0.0,0.0,0.0,0.18534601,6.79999995
350.07727248000003,0.46676969664000006,0.045703176428571426,29,1,0.0,0.0,0.0,0.0,0.0,0.195704,6.5999999
350.07727248000003,0.43759659060000006,0.045703176428571426,29,1,0.0,0.0,0.0,0.0,0.0,0.18907601,2.525
350.07727248000003,0.411855614682353,0.045703176428571426,29,1,0.0,0.0,0.0,0.0,0.0,0.19681799,0.575000015
350.07727248000003,0.3889747472,0.045703176428571426,29,1,0.0,0.0,0.0,0.0,0.0,0.222846,0.125000005
350.07727248000003,0.36850239208421054,0.045703176428571426,29,1,0.0,0.0,0.0,0.0,0.0,0.286134,0.0750000005
350.07727248000003,0.46676969664000006,0.04715043107142857,92,1,0.0,0.0,0.0,0.0,0.0,0.193427,7.70000005
350.07727248000003,0.43759659060000006,0.04715043107142857,92,1,0.0,0.0,0.0,0.0,0.0,0.181962,4.04999995
350.07727248000003,0.411855614682353,0.04715043107142857,92,1,0.0,0.0,0.0,0.0,0.0,0.175322,1.6749999999999998
350.07727248000003,0.3889747472,0.04715043107142857,92,1,0.0,0.0,0.0,0.0,0.0,0.183605,0.650000005
350.07727248000003,0.36850239208421054,0.04715043107142857,92,1,0.0,0.0,0.0,0.0,0.0,0.198792,0.275000005
350.07727248000003,0.35007727248000003,0.04715043107142857,92,1,0.0,0.0,0.0,0.0,0.0,0.214322,0.125000005
350.07727248000003,0.46676969664000006,0.04782803238095238,183,1,0.0,0.0,0.0,0.0,0.0,0.190312,9.0500002
350.07727248000003,0.43759659060000006,0.04782803238095238,183,1,0.0,0.0,0.0,0.0,0.0,0.18313099,5.64999985
350.07727248000003,0.411855614682353,0.04782803238095238,183,1,0.0,0.0,0.0,0.0,0.0,0.175659,3.1
350.07727248000003,0.3889747472,0.04782803238095238,183,1,0.0,0.0,0.0,0.0,0.0,0.173751,1.55
350.07727248000003,0.36850239208421054,0.04782803238095238,183,1,0.0,0.0,0.0,0.0,0.0,0.172774,0.69999999
350.07727248000003,0.35007727248000003,0.04782803238095238,183,1,0.0,0.0,0.0,0.0,0.0,0.17384499,0.29999999499999996
350.07727248000003,0.46676969664000006,0.045703176428571426,29,0,0.0,0.0,0.0,0.0,0.0,0.209694,0.17500000500000001
350.07727248000003,0.43759659060000006,0.045703176428571426,29,0,0.0,0.0,0.0,0.0,0.0,0.18491399,1.0750000000000002
350.07727248000003,0.411855614682353,0.045703176428571426,29,0,0.0,0.0,0.0,0.0,0.0,0.18921199,4.14999985
350.07727248000003,0.3889747472,0.045703176428571426,29,0,0.0,0.0,0.0,0.0,0.0,0.21562199,8.75
350.07727248000003,0.5001103892571429,0.04715043107142857,92,0,0.0,0.0,0.0,0.0,0.0,0.20893601,0.225
350.07727248000003,0.46676969664000006,0.04715043107142857,92,0,0.0,0.0,0.0,0.0,0.0,0.19016001,0.69999999
350.07727248000003,0.43759659060000006,0.04715043107142857,92,0,0.0,0.0,0.0,0.0,0.0,0.180843,2.04999995
350.07727248000003,0.411855614682353,0.04715043107142857,92,0,0.0,0.0,0.0,0.0,0.0,0.177734,4.79999995
350.07727248000003,0.3889747472,0.04715043107142857,92,0,0.0,0.0,0.0,0.0,0.0,0.182135,8.9000001
350.07727248000003,0.36850239208421054,0.04715043107142857,92,0,0.0,0.0,0.0,0.0,0.0,0.203208,13.7
350.07727248000003,0.46676969664000006,0.04782803238095238,183,0,0.0,0.0,0.0,0.0,0.0,0.19114301,1.45
350.07727248000003,0.43759659060000006,0.04782803238095238,183,0,0.0,0.0,0.0,0.0,0.0,0.180895,2.95000005
350.07727248000003,0.411855614682353,0.04782803238095238,183,0,0.0,0.0,0.0,0.0,0.0,0.175328,5.5
350.07727248000003,0.3889747472,0.04782803238095238,183,0,0.0,0.0,0.0,0.0,0.0,0.175422,9.2000003
350.29241338,0.87573103345,0.04721465892857142,89,1,0.0,0.0,0.0,0.0,0.0,-99.989998,41.6000005
350.29241338,0.70058482676,0.04785209571428572,180,0,0.0,0.0,0.0,0.0,0.0,0.28692201,0.0250000005
350.29241338,0.3336118222666667,0.04721465892857142,89,1,0.0,0.0,0.0,0.0,0.0,0.22651701,0.05
350.29241338,0.6368952970545455,0.04721465892857142,89,1,0.0,0.0,0.0,0.0,0.0,0.319839,26.8000005
350.29241338,0.5004177334000001,0.04721465892857142,89,1,0.0,0.0,0.0,0.0,0.0,0.21800201,12.2
350.29241338,0.437865516725,0.04721465892857142,89,1,0.0,0.0,0.0,0.0,0.0,0.173869,3.9
350.29241338,0.41210872162352946,0.04721465892857142,89,1,0.0,0.0,0.0,0.0,0.0,0.16753501,1.525
350.29241338,0.3892137926444445,0.04721465892857142,89,1,0.0,0.0,0.0,0.0,0.0,0.17340299,0.525000005
350.29241338,0.3687288561894737,0.04721465892857142,89,1,0.0,0.0,0.0,0.0,0.0,0.182717,0.17500000500000001
350.29241338,0.35029241338,0.04721465892857142,89,1,0.0,0.0,0.0,0.0,0.0,0.19984099,0.0750000005
350.29241338,0.3336118222666667,0.04785209571428572,180,1,0.0,0.0,0.0,0.0,0.0,0.171023,0.10000000549999999
350.29241338,0.4670565511733334,0.04785209571428572,180,1,0.0,0.0,0.0,0.0,0.0,0.18816499,9.0
350.29241338,0.437865516725,0.04785209571428572,180,1,0.0,0.0,0.0,0.0,0.0,0.17727099,5.5
350.29241338,0.41210872162352946,0.04785209571428572,180,1,0.0,0.0,0.0,0.0,0.0,0.172425,3.0
350.29241338,0.3892137926444445,0.04785209571428572,180,1,0.0,0.0,0.0,0.0,0.0,0.16968,1.45
