S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
761.15403,1.3123345344827586,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.28490701,3.625
761.15403,1.26859005,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.269445,2.2600001
761.15403,1.2581058347107439,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.265259,1.96499995
761.15403,1.2477934918032787,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.26158801,1.695
761.15403,1.2276677903225808,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.26603901,1.30000005
761.15403,1.217846448,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.26161399,1.0899999999999999
761.15403,1.208181,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.26254201,0.935000005
761.15403,1.1986677637795276,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.258665,0.77000001
761.15403,1.1710062,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.22978801,0.319999995
761.15403,1.3839164181818182,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.31754899,0.33999999999999997
761.15403,1.3353579473684212,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.29877299,0.630000025
761.15403,1.3237461391304348,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.296891,0.7450000050000001
761.15403,1.2900915762711864,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.28039601,1.12
761.15403,1.2792504705882353,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.27532601,1.28000005
761.15403,1.26859005,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.273417,1.47999995
761.15403,1.2581058347107439,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.27876499,1.75
751.896075,1.2636908823529411,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.29498699,2.3050001
751.896075,1.253160125,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.29028201,2.01500005
751.896075,1.2326165163934426,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.28302899,1.5099999999999998
751.896075,1.1934858333333334,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.262945,0.72
751.896075,1.1840883070866142,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.246822,0.519999995
751.896075,1.1392364772727273,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.26978701,0.245000005
751.896075,1.392400138888889,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.331267,0.305000005
751.896075,1.3426715625,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.312251,0.5700000199999999
751.896075,1.3307895132743364,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.31119499,0.68000001
751.896075,1.3191159210526315,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.309091,0.800000015
751.896075,1.307645347826087,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.302425,0.910000025
751.896075,1.2852924358974358,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.290957,1.185
751.896075,1.253160125,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.28185499,1.7850000000000001
