S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
285.02069488,0.57004138976,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.34028199,11.5
285.02069488,0.5182194452363637,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.249118,6.5999999
285.02069488,0.47503449146666665,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.17254999,2.125
285.02069488,0.43849337673846156,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.171628,0.225
285.02069488,0.5182194452363637,0.047610910000000006,186,1,0.0,0.0,0.0,0.0,0.0,0.181172,7.5999999
285.02069488,0.47503449146666665,0.047610910000000006,186,1,0.0,0.0,0.0,0.0,0.0,0.163324,3.9
285.02069488,0.43849337673846156,0.047610910000000006,186,1,0.0,0.0,0.0,0.0,0.0,0.15081701,1.475
285.02069488,0.40717242125714287,0.047610910000000006,186,1,0.0,0.0,0.0,0.0,0.0,0.14178801,0.375
285.02069488,0.5182194452363637,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.225078,0.0750000005
285.02069488,0.47503449146666665,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.171195,0.625
285.02069488,0.43849337673846156,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.17159,3.8000000500000004
285.02069488,0.57004138976,0.047610910000000006,186,0,0.0,0.0,0.0,0.0,0.0,0.20001601,0.225
285.02069488,0.5182194452363637,0.047610910000000006,186,0,0.0,0.0,0.0,0.0,0.0,0.17726301,0.674999985
285.02069488,0.47503449146666665,0.047610910000000006,186,0,0.0,0.0,0.0,0.0,0.0,0.16263799,1.95
285.02069488,0.43849337673846156,0.047610910000000006,186,0,0.0,0.0,0.0,0.0,0.0,0.150232,4.5999999
285.02069488,0.40717242125714287,0.047610910000000006,186,0,0.0,0.0,0.0,0.0,0.0,0.143075,8.7999997
285.02069488,0.57004138976,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.19624101,12.95
285.02069488,0.43849337673846156,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.157318,2.92499995
285.02069488,0.40717242125714287,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.15180799,1.375
285.02069488,0.38002759317333334,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.146865,0.55000001
285.02069488,0.5182194452363637,0.04771222131868132,368,0,0.0,0.0,0.0,0.0,0.0,0.179502,1.4
285.02069488,0.47503449146666665,0.04771222131868132,368,0,0.0,0.0,0.0,0.0,0.0,0.164527,2.79999995
285.02069488,0.43849337673846156,0.04771222131868132,368,0,0.0,0.0,0.0,0.0,0.0,0.153382,5.25
289.25321499,0.723133037475,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.70137298,22.3000005
289.25321499,0.5259149363454545,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.26302299,7.4000001
289.25321499,0.48208869165,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.178314,2.75
289.25321499,0.44500494613846153,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.165511,0.32499999999999996
289.25321499,0.5259149363454545,0.047606391428571426,185,1,0.0,0.0,0.0,0.0,0.0,0.18000101,8.2999997
289.25321499,0.48208869165,0.047606391428571426,185,1,0.0,0.0,0.0,0.0,0.0,0.163708,4.45000005
289.25321499,0.44500494613846153,0.047606391428571426,185,1,0.0,0.0,0.0,0.0,0.0,0.15173399,1.8
289.25321499,0.41321887855714284,0.047606391428571426,185,1,0.0,0.0,0.0,0.0,0.0,0.14269599,0.5
289.25321499,0.38567095332,0.047606391428571426,185,1,0.0,0.0,0.0,0.0,0.0,0.138659,0.10000000549999999
289.25321499,0.48208869165,0.045378857142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.168109,0.375
289.25321499,0.44500494613846153,0.045378857142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.16591699,3.0249999499999998
289.25321499,0.41321887855714284,0.045378857142857144,31,0,0.0,0.0,0.0,0.0,0.0,-99.989998,7.79999995
289.25321499,0.5259149363454545,0.047606391428571426,185,0,0.0,0.0,0.0,0.0,0.0,0.177633,0.55000001
289.25321499,0.44500494613846153,0.047606391428571426,185,0,0.0,0.0,0.0,0.0,0.0,0.149387,4.0
289.25321499,0.3402978999882353,0.047606391428571426,185,0,0.0,0.0,0.0,0.0,0.0,-99.989998,22.8000005
289.25321499,0.48208869165,0.04771386703296703,367,1,0.0,0.0,0.0,0.0,0.0,0.162469,5.95000005
289.25321499,0.44500494613846153,0.04771386703296703,367,1,0.0,0.0,0.0,0.0,0.0,0.155561,3.3000000500000004
289.25321499,0.41321887855714284,0.04771386703296703,367,1,0.0,0.0,0.0,0.0,0.0,0.150582,1.6
289.25321499,0.3615665187375,0.04771386703296703,367,1,0.0,0.0,0.0,0.0,0.0,0.146992,0.275000005
289.25321499,0.57850642998,0.04771386703296703,367,0,0.0,0.0,0.0,0.0,0.0,0.197377,0.575000015
289.25321499,0.5259149363454545,0.04771386703296703,367,0,0.0,0.0,0.0,0.0,0.0,0.181684,1.25
289.25321499,0.38567095332,0.04771386703296703,367,0,0.0,0.0,0.0,0.0,0.0,0.156782,12.850000000000001
289.16019257,0.57832038514,0.04561330285714285,30,1,0.0,0.0,0.0,0.0,0.0,-99.989998,12.3
289.16019257,0.5257458046727272,0.04561330285714285,30,1,0.0,0.0,0.0,0.0,0.0,0.21175499,7.4000001
289.16019257,0.48193365428333335,0.04561330285714285,30,1,0.0,0.0,0.0,0.0,0.0,0.16029599,2.70000005
289.16019257,0.4448618347230769,0.04561330285714285,30,1,0.0,0.0,0.0,0.0,0.0,0.160338,0.29999999499999996
289.16019257,0.57832038514,0.04710781107142857,93,1,0.0,0.0,0.0,0.0,0.0,0.232032,12.45
289.16019257,0.5257458046727272,0.04710781107142857,93,1,0.0,0.0,0.0,0.0,0.0,0.19765501,7.70000005
289.16019257,0.48193365428333335,0.04710781107142857,93,1,0.0,0.0,0.0,0.0,0.0,0.165594,3.5
289.16019257,0.4448618347230769,0.04710781107142857,93,1,0.0,0.0,0.0,0.0,0.0,0.14803401,0.900000005
289.16019257,0.4130859893857143,0.04710781107142857,93,1,0.0,0.0,0.0,0.0,0.0,0.144639,0.125000005
289.16019257,0.6425782057111111,0.04784644761904762,184,1,0.0,0.0,0.0,0.0,0.0,0.21100099,17.6000005
289.16019257,0.57832038514,0.04784644761904762,184,1,0.0,0.0,0.0,0.0,0.0,0.188897,12.8
289.16019257,0.48193365428333335,0.04784644761904762,184,1,0.0,0.0,0.0,0.0,0.0,0.158987,4.4000001
289.16019257,0.4448618347230769,0.04784644761904762,184,1,0.0,0.0,0.0,0.0,0.0,0.14664499,1.725
289.16019257,0.4130859893857143,0.04784644761904762,184,1,0.0,0.0,0.0,0.0,0.0,0.14004,0.474999995
289.16019257,0.5257458046727272,0.04561330285714285,30,0,0.0,0.0,0.0,0.0,0.0,0.23782299,0.05
289.16019257,0.48193365428333335,0.04561330285714285,30,0,0.0,0.0,0.0,0.0,0.0,0.163506,0.32499999999999996
289.16019257,0.4448618347230769,0.04561330285714285,30,0,0.0,0.0,0.0,0.0,0.0,0.15670601,2.95000005
289.16019257,0.5257458046727272,0.04710781107142857,93,0,0.0,0.0,0.0,0.0,0.0,0.187255,0.225
289.16019257,0.48193365428333335,0.04710781107142857,93,0,0.0,0.0,0.0,0.0,0.0,0.166333,1.05
289.16019257,0.4448618347230769,0.04710781107142857,93,0,0.0,0.0,0.0,0.0,0.0,0.14660899,3.5
289.16019257,0.4130859893857143,0.04710781107142857,93,0,0.0,0.0,0.0,0.0,0.0,0.142515,7.9000001
289.16019257,0.5257458046727272,0.04784644761904762,184,0,0.0,0.0,0.0,0.0,0.0,0.17595699,0.525000005
289.16019257,0.48193365428333335,0.04784644761904762,184,0,0.0,0.0,0.0,0.0,0.0,0.15976501,1.575
289.16019257,0.4448618347230769,0.04784644761904762,184,0,0.0,0.0,0.0,0.0,0.0,0.14748999,3.95000005
289.16019257,0.5257458046727272,0.04808309043956044,366,1,0.0,0.0,0.0,0.0,0.0,0.17348,9.5
289.16019257,0.48193365428333335,0.04808309043956044,366,1,0.0,0.0,0.0,0.0,0.0,0.16063599,5.9000001
289.16019257,0.4448618347230769,0.04808309043956044,366,1,0.0,0.0,0.0,0.0,0.0,0.15180001,3.1999999499999996
