S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
201.34604744,0.40269209488,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.245446,0.0299999995
201.34604744,0.36608372261818184,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.342226,0.0149999999
201.34604744,0.36608372261818184,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.32406801,11.725000000000001
201.34604744,0.5441785065945947,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.30717099,6.35000015
201.34604744,0.5298580195789474,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.299099,5.39999985
201.34604744,0.5033651186,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.262815,3.54999995
201.34604744,0.4474356609777778,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.232805,0.5450000150000001
201.34604744,0.4194709321666667,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.231491,0.089999999
201.34604744,0.4109103008979592,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.241089,0.055
201.34604744,0.5592945762222222,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.32141,7.32500005
201.34604744,0.5162719165128206,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.27669901,4.45000005
201.34604744,0.4910879205853659,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.25946,2.745
201.34604744,0.47939535104761904,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.24640299,1.99
201.34604744,0.4682466219534884,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.241483,1.38
201.34604744,0.4576046532727273,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.236275,0.894999985
201.34604744,0.4377087987826087,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.232939,0.32000000500000003
201.34604744,0.42839584561702126,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.234034,0.18
201.34604744,0.5441785065945947,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.299961,0.055
201.34604744,0.5752744212571429,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.31752399,0.0149999995
201.34604744,0.5298580195789474,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.28462899,0.089999999
201.34604744,0.5033651186,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.262189,0.260000005
201.34604744,0.4474356609777778,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.23018201,2.245
201.34604744,0.4194709321666667,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.229802,4.79999995
201.34604744,0.4109103008979592,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.223534,5.75
