S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
102.15554650000001,1.3620739533333335,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.214846,1.2
102.15554650000001,1.021555465,0.04771222131868132,368,0,0.0,0.0,0.0,0.0,0.0,0.20587599,1.95
102.15554650000001,1.3620739533333335,0.04771222131868132,368,0,0.0,0.0,0.0,0.0,0.0,0.20818999,0.29999999499999996
102.15554650000001,1.2769443312500002,0.047610910000000006,186,1,0.0,0.0,0.0,0.0,0.0,0.185268,0.55000001
102.15554650000001,1.1350616277777779,0.047610910000000006,186,1,0.0,0.0,0.0,0.0,0.0,0.200748,0.20000000499999998
102.15554650000001,1.2769443312500002,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.196714,0.15000000000000002
102.15554650000001,1.021555465,0.047610910000000006,186,0,0.0,0.0,0.0,0.0,0.0,-99.989998,1.925
102.15554650000001,-1.01133991035,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,-99.989998,0.82499999
102.15554650000001,-1.01133991035,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,-99.989998,2.4
101.7748426,1.2721855325,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.18660299,0.20000000499999998
101.7748426,1.4539263228571428,0.047606391428571426,185,1,0.0,0.0,0.0,0.0,0.0,0.203199,1.25
101.7748426,1.2721855325,0.047606391428571426,185,1,0.0,0.0,0.0,0.0,0.0,0.163101,0.474999995
101.7748426,1.3569979013333333,0.04771386703296703,367,1,0.0,0.0,0.0,0.0,0.0,0.22440501,1.15
104.5666712,1.30708339,0.04561330285714285,30,1,0.0,0.0,0.0,0.0,0.0,0.165939,0.32499999999999996
104.5666712,1.30708339,0.04710781107142857,93,1,0.0,0.0,0.0,0.0,0.0,0.151915,0.45000000500000004
104.5666712,1.4938095885714286,0.04784644761904762,184,1,0.0,0.0,0.0,0.0,0.0,0.196124,1.45
104.5666712,1.30708339,0.04784644761904762,184,1,0.0,0.0,0.0,0.0,0.0,0.163148,0.625
104.5666712,1.1618519022222222,0.04784644761904762,184,1,0.0,0.0,0.0,0.0,0.0,0.173217,0.20000000499999998
104.5666712,1.30708339,0.04561330285714285,30,0,0.0,0.0,0.0,0.0,0.0,0.222911,0.10000000549999999
104.5666712,1.1618519022222222,0.04561330285714285,30,0,0.0,0.0,0.0,0.0,0.0,-99.989998,0.75
104.5666712,1.30708339,0.04710781107142857,93,0,0.0,0.0,0.0,0.0,0.0,0.13862801,0.10000000549999999
104.5666712,-1.3802800598400002,0.04808309043956044,366,1,0.0,0.0,0.0,0.0,0.0,-99.989998,2.7250000500000002
104.5666712,1.045666712,0.04808309043956044,366,1,0.0,0.0,0.0,0.0,0.0,0.212034,0.274999995
104.5666712,1.3942222826666666,0.04808309043956044,366,1,0.0,0.0,0.0,0.0,0.0,0.207057,1.325
104.5666712,-1.0352100448800001,0.04808309043956044,366,1,0.0,0.0,0.0,0.0,0.0,-99.989998,2.57500005
102.790053,1.2848756625,0.045703176428571426,29,1,0.0,0.0,0.0,0.0,0.0,0.197147,0.25000000499999997
102.790053,1.2848756625,0.04715043107142857,92,1,0.0,0.0,0.0,0.0,0.0,0.18256301,0.39999998999999997
102.790053,1.4684293285714285,0.04782803238095238,183,1,0.0,0.0,0.0,0.0,0.0,0.241015,1.35
102.790053,1.2848756625,0.04782803238095238,183,1,0.0,0.0,0.0,0.0,0.0,0.203499,0.599999995
102.790053,1.1421117,0.04782803238095238,183,1,0.0,0.0,0.0,0.0,0.0,0.199093,0.20000000499999998
102.790053,1.2848756625,0.045703176428571426,29,0,0.0,0.0,0.0,0.0,0.0,0.22872999,0.15000000000000002
102.790053,1.2848756625,0.04715043107142857,92,0,0.0,0.0,0.0,0.0,0.0,0.174858,0.20000000499999998
102.790053,1.4684293285714285,0.04782803238095238,183,0,0.0,0.0,0.0,0.0,0.0,0.231279,0.10000000549999999
102.790053,1.1421117,0.04782803238095238,183,0,0.0,0.0,0.0,0.0,0.0,0.201948,0.97499999
