S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
71.852,0.03991777777777778,0.016758222857142856,31,1,0.0,0.0,0.0,0.0,0.0,0.24209,5.0
71.852,0.03883891891891892,0.016758222857142856,31,1,0.0,0.0,0.0,0.0,0.0,0.24092101,2.9499999499999996
71.852,0.03781684210526316,0.016758222857142856,31,1,0.0,0.0,0.0,0.0,0.0,0.238327,1.575
71.852,0.041058285714285714,0.016758222857142856,31,0,0.0,0.0,0.0,0.0,0.0,0.251003,3.1
71.824,0.03882378378378378,0.016714724285714286,30,1,0.0,0.0,0.0,0.0,0.0,0.239282,2.8000000500000004
71.908,0.03886918918918919,0.016692569285714286,29,1,0.0,0.0,0.0,0.0,0.0,0.24214,2.82500005
70.872,0.03937333333333334,0.016642117857142858,28,1,0.0,0.0,0.0,0.0,0.0,0.25819299,3.9
70.872,0.040498285714285716,0.016642117857142858,28,0,0.0,0.0,0.0,0.0,0.0,0.262458,4.0
75.004,0.037502,0.016737792857142858,93,1,0.0,0.0,0.0,0.0,0.0,0.223919,4.1000001500000005
77.892,0.039944615384615384,0.01672419,92,1,0.0,0.0,0.0,0.0,0.0,0.21228001,8.3499999
77.892,0.038945999999999995,0.01672419,92,1,0.0,0.0,0.0,0.0,0.0,0.20751201,6.0
77.892,0.04720727272727272,0.01672419,92,0,0.0,0.0,0.0,0.0,0.0,0.255656,1.02499999
77.892,0.04581882352941176,0.01672419,92,0,0.0,0.0,0.0,0.0,0.0,0.245616,1.475
78.11200000000001,0.04734060606060607,0.016702730000000002,91,0,0.0,0.0,0.0,0.0,0.0,0.25834501,0.97499999
78.11200000000001,0.04594823529411765,0.016702730000000002,91,0,0.0,0.0,0.0,0.0,0.0,0.24808601,1.4
76.376,0.03916717948717949,0.01668964785714286,31,1,0.0,0.0,0.0,0.0,0.0,0.18982001,2.57500005
76.376,0.038188,0.01668964785714286,31,1,0.0,0.0,0.0,0.0,0.0,0.185802,1.175
75.96000000000001,0.03798000000000001,0.016595747142857144,30,1,0.0,0.0,0.0,0.0,0.0,0.17874201,0.849999995
75.96000000000001,0.03997894736842106,0.016595747142857144,30,0,0.0,0.0,0.0,0.0,0.0,0.19110499,4.0999999
75.96000000000001,0.03895384615384616,0.016595747142857144,30,0,0.0,0.0,0.0,0.0,0.0,0.18567701,7.0
