S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
525.4752555,0.40112614923664125,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.197486,3.625
523.7264535,0.3997911858778626,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.215901,3.625
523.7264535,0.3967624647727273,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.207978,3.0
523.7264535,0.47611495772727275,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.311048,0.065
525.6739829999999,0.39229401716417905,0.01728078057142857,32,1,0.0,0.0,0.0,0.0,0.0,0.21031199,2.5699999499999997
525.6739829999999,0.41068279921874995,0.01728078057142857,32,0,0.0,0.0,0.0,0.0,0.0,0.226935,1.72000005
525.6739829999999,0.4074992116279069,0.01728078057142857,32,0,0.0,0.0,0.0,0.0,0.0,0.22129101,1.98
526.6676204999999,0.4114590785156249,0.01740261057142857,31,0,0.0,0.0,0.0,0.0,0.0,0.22559001,1.57
526.6676204999999,0.40203635152671746,0.01740261057142857,31,0,0.0,0.0,0.0,0.0,0.0,0.214522,2.51
526.6676204999999,0.398990621590909,0.01740261057142857,31,0,0.0,0.0,0.0,0.0,0.0,0.21218599,2.9300000500000003
531.4370805,0.37959791464285714,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.19703101,0.9249999849999999
531.4370805,0.3769057308510638,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.192165,0.689999995
531.4370805,0.37425146514084506,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.195932,0.574999985
531.4370805,0.37163432202797203,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.19271199,0.42499999499999996
540.220836,0.4001635822222222,0.016955843333333335,29,1,0.0,0.0,0.0,0.0,0.0,0.20818999,3.75
540.220836,0.39722120294117647,0.016955843333333335,29,1,0.0,0.0,0.0,0.0,0.0,0.20770399,3.2249999
540.220836,0.39146437391304345,0.016955843333333335,29,1,0.0,0.0,0.0,0.0,0.0,0.206498,2.3199999499999997
540.220836,0.3858720257142857,0.016955843333333335,29,1,0.0,0.0,0.0,0.0,0.0,0.202916,1.5750000000000002
540.220836,0.3804372084507042,0.016955843333333335,29,1,0.0,0.0,0.0,0.0,0.0,0.20108099,1.03499995
540.220836,0.3751533583333333,0.016955843333333335,29,1,0.0,0.0,0.0,0.0,0.0,0.20042799,0.6599999999999999
540.220836,0.4061810796992481,0.016955843333333335,29,0,0.0,0.0,0.0,0.0,0.0,0.208102,1.8399999999999999
540.220836,0.4001635822222222,0.016955843333333335,29,0,0.0,0.0,0.0,0.0,0.0,0.20274299,2.57500005
548.4879,0.397455,0.01684587875,28,1,0.0,0.0,0.0,0.0,0.0,0.20993701,3.2749999499999998
548.4879,0.39459561151079137,0.01684587875,28,1,0.0,0.0,0.0,0.0,0.0,0.206701,2.755
548.4879,0.3889985106382978,0.01684587875,28,1,0.0,0.0,0.0,0.0,0.0,0.20453499,1.9300000000000002
548.4879,0.38089437499999995,0.01684587875,28,1,0.0,0.0,0.0,0.0,0.0,0.200335,1.030000055
548.4879,0.3782675172413793,0.01684587875,28,1,0.0,0.0,0.0,0.0,0.0,0.200441,0.83000001
548.4879,0.3656586,0.01684587875,28,1,0.0,0.0,0.0,0.0,0.0,0.199783,0.24
548.4879,0.45707325,0.01684587875,28,0,0.0,0.0,0.0,0.0,0.0,0.30212599,0.2050000049
548.4879,0.4123969172932331,0.01684587875,28,0,0.0,0.0,0.0,0.0,0.0,0.22234499,1.37
548.4879,0.40931932835820894,0.01684587875,28,0,0.0,0.0,0.0,0.0,0.0,0.21893901,1.625
548.4879,0.40628733333333333,0.01684587875,28,0,0.0,0.0,0.0,0.0,0.0,0.215655,1.92
548.4879,0.40035613138686127,0.01684587875,28,0,0.0,0.0,0.0,0.0,0.0,0.21082801,2.66500005
548.4879,0.397455,0.01684587875,28,0,0.0,0.0,0.0,0.0,0.0,0.209473,3.125
552.223977,0.38617061328671326,0.017024108333333333,32,1,0.0,0.0,0.0,0.0,0.0,0.203713,1.74
552.223977,0.41210744552238804,0.017024108333333333,32,0,0.0,0.0,0.0,0.0,0.0,0.221945,1.81
552.223977,0.32483763352941175,0.01733742777777778,186,1,0.0,0.0,0.0,0.0,0.0,0.179864,0.465000005
552.223977,0.4417791816,0.01733742777777778,186,0,0.0,0.0,0.0,0.0,0.0,0.223832,3.2749999499999998
552.223977,0.4247876746153846,0.01733742777777778,186,0,0.0,0.0,0.0,0.0,0.0,0.21531899,4.625
552.223977,0.3346811981818182,0.016871812197802198,368,1,0.0,0.0,0.0,0.0,0.0,0.20484599,3.32500005
552.223977,0.48019476260869565,0.016871812197802198,368,0,0.0,0.0,0.0,0.0,0.0,0.25448799,4.375
552.223977,0.4601866475,0.016871812197802198,368,0,0.0,0.0,0.0,0.0,0.0,0.246079,5.52499985
552.223977,0.4247876746153846,0.016871812197802198,368,0,0.0,0.0,0.0,0.0,0.0,0.232362,8.6750002
552.223977,0.40905479777777776,0.016871812197802198,368,0,0.0,0.0,0.0,0.0,0.0,0.225319,10.65
559.0204575,0.3964684095744681,0.01691604,31,1,0.0,0.0,0.0,0.0,0.0,0.210666,3.32500005
559.0204575,0.3936763785211268,0.01691604,31,1,0.0,0.0,0.0,0.0,0.0,0.215716,2.94000005
559.0204575,0.39092339685314687,0.01691604,31,1,0.0,0.0,0.0,0.0,0.0,0.213397,2.5
559.0204575,0.3882086510416667,0.01691604,31,1,0.0,0.0,0.0,0.0,0.0,0.211844,2.1100000000000003
559.0204575,0.38553135,0.01691604,31,1,0.0,0.0,0.0,0.0,0.0,0.21144199,1.77
559.0204575,0.3828907243150685,0.01691604,31,1,0.0,0.0,0.0,0.0,0.0,0.21084701,1.48
559.0204575,0.372680305,0.01691604,31,1,0.0,0.0,0.0,0.0,0.0,0.20706201,0.64500001
559.0204575,0.372680305,0.017331445714285715,185,1,0.0,0.0,0.0,0.0,0.0,0.191502,3.9749999000000003
559.0204575,0.3606583596774194,0.017331445714285715,185,1,0.0,0.0,0.0,0.0,0.0,0.18696199,2.585
559.0204575,0.3993003267857143,0.016851285494505496,367,1,0.0,0.0,0.0,0.0,0.0,0.22438499,12.475
559.0204575,0.43001573653846153,0.016851285494505496,367,0,0.0,0.0,0.0,0.0,0.0,0.232398,8.0749998
559.0204575,0.3993003267857143,0.016851285494505496,367,0,0.0,0.0,0.0,0.0,0.0,0.22047301,12.225
559.0204575,0.5884425868421053,0.016851285494505496,367,0,0.0,0.0,0.0,0.0,0.0,0.30381399,1.6600000000000001
560.8487505,0.39496390880281695,0.016863545833333334,30,1,0.0,0.0,0.0,0.0,0.0,0.212837,3.04999995
560.8487505,0.39220192342657345,0.016863545833333334,30,1,0.0,0.0,0.0,0.0,0.0,0.21118499,2.5999999
560.8487505,0.38947829895833336,0.016863545833333334,30,1,0.0,0.0,0.0,0.0,0.0,0.21021,2.20000005
560.8487505,0.46737395875000004,0.01747593142857143,93,1,0.0,0.0,0.0,0.0,0.0,0.26880699,22.0250005
560.8487505,0.4486790004,0.01747593142857143,93,1,0.0,0.0,0.0,0.0,0.0,0.24809299,17.4749995
560.8487505,0.40060625035714287,0.01747593142857143,93,1,0.0,0.0,0.0,0.0,0.0,0.199292,6.125
560.8487505,0.36183790354838713,0.01747593142857143,93,1,0.0,0.0,0.0,0.0,0.0,0.18869001,1.18
560.8487505,0.4314221157692308,0.01747593142857143,93,0,0.0,0.0,0.0,0.0,0.0,0.21628401,1.96000005
560.8487505,0.4154435188888889,0.01747593142857143,93,0,0.0,0.0,0.0,0.0,0.0,0.203114,3.1499999499999998
560.8487505,0.40060625035714287,0.01747593142857143,93,0,0.0,0.0,0.0,0.0,0.0,0.19231801,4.97500015
560.8487505,0.37389916700000003,0.01733608253968254,184,1,0.0,0.0,0.0,0.0,0.0,0.19250999,4.1500001
560.8487505,0.40060625035714287,0.016857384615384614,366,1,0.0,0.0,0.0,0.0,0.0,0.2274,12.875
560.8487505,0.38679224172413795,0.016857384615384614,366,1,0.0,0.0,0.0,0.0,0.0,0.223684,10.524999999999999
560.8487505,0.36183790354838713,0.016857384615384614,366,1,0.0,0.0,0.0,0.0,0.0,0.214068,6.60000015
560.8487505,0.48769456565217395,0.016857384615384614,366,0,0.0,0.0,0.0,0.0,0.0,0.260923,4.1750002
560.8487505,0.46737395875000004,0.016857384615384614,366,0,0.0,0.0,0.0,0.0,0.0,0.25169,5.2249999
560.8487505,0.4486790004,0.016857384615384614,366,0,0.0,0.0,0.0,0.0,0.0,0.241927,6.45000005
560.8487505,0.4314221157692308,0.016857384615384614,366,0,0.0,0.0,0.0,0.0,0.0,0.236229,8.0999999
560.8487505,0.4154435188888889,0.016857384615384614,366,0,0.0,0.0,0.0,0.0,0.0,0.228682,9.9249999
560.8487505,0.40060625035714287,0.016857384615384614,366,0,0.0,0.0,0.0,0.0,0.0,0.222289,12.1
562.1206065,0.38766938379310345,0.0167118575,29,1,0.0,0.0,0.0,0.0,0.0,0.196357,1.595
562.1206065,0.37726215201342284,0.0167118575,29,1,0.0,0.0,0.0,0.0,0.0,0.194306,0.6599999999999999
562.1206065,0.41638563444444443,0.017448359142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.2014,9.2000003
562.1206065,0.40151471892857143,0.017448359142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.19240201,6.02499985
562.1206065,0.38766938379310345,0.017448359142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.184754,3.6000000500000002
562.1206065,0.4496964852,0.017448359142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.230984,1.15999995
562.1206065,0.43240046653846154,0.017448359142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.214883,1.8599999999999999
562.1206065,0.41638563444444443,0.017448359142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.203118,3.04999995
562.1206065,0.40151471892857143,0.017330392063492062,183,1,0.0,0.0,0.0,0.0,0.0,0.201474,8.3000002
562.1206065,0.43240046653846154,0.016848126043956045,365,1,0.0,0.0,0.0,0.0,0.0,0.22773699,18.2249995
562.1206065,0.38766938379310345,0.016848126043956045,365,1,0.0,0.0,0.0,0.0,0.0,0.21921501,10.325
562.1206065,0.374747071,0.016848126043956045,365,1,0.0,0.0,0.0,0.0,0.0,0.210583,8.0
562.1206065,0.3513253790625,0.016848126043956045,365,1,0.0,0.0,0.0,0.0,0.0,0.20332301,4.79999995
562.1206065,0.31228922583333335,0.016848126043956045,365,1,0.0,0.0,0.0,0.0,0.0,0.196086,1.524999965
562.1206065,0.48880052739130436,0.016848126043956045,365,0,0.0,0.0,0.0,0.0,0.0,0.26052099,4.125
562.1206065,0.46843383875,0.016848126043956045,365,0,0.0,0.0,0.0,0.0,0.0,0.25028101,5.125
562.1206065,0.4496964852,0.016848126043956045,365,0,0.0,0.0,0.0,0.0,0.0,0.23808099,6.2249999
562.1206065,0.43240046653846154,0.016848126043956045,365,0,0.0,0.0,0.0,0.0,0.0,0.23485699,7.9750001500000005
562.1206065,0.41638563444444443,0.016848126043956045,365,0,0.0,0.0,0.0,0.0,0.0,0.228488,9.850000099999999
