S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
81.36806094,0.5424537396000001,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.34590101,1.2
81.36806094,0.46496034822857146,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.33326301,0.15000000000000002
81.36806094,0.5424537396000001,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.34787601,0.275000005
81.36806094,0.5424537396000001,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.30789301,2.7250000500000002
81.36806094,0.40684030470000004,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.276337,0.724999995
81.36806094,0.46496034822857146,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.28708401,1.475
81.36806094,0.5424537396000001,0.04771222131868132,368,0,0.0,0.0,0.0,0.0,0.0,0.31572101,1.275
81.36806094,0.65094448752,0.04771222131868132,368,0,0.0,0.0,0.0,0.0,0.0,0.348506,0.575000015
81.36806094,0.46496034822857146,0.04771222131868132,368,0,0.0,0.0,0.0,0.0,0.0,0.28581899,2.45000005
85.93123512000001,0.5728749008,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.343604,1.9
85.93123512000001,0.4910356292571429,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.292871,0.29999999499999996
85.93123512000001,0.5728749008,0.045378857142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.31444499,0.0750000005
85.93123512000001,0.4910356292571429,0.045378857142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.29368401,0.999999995
85.93123512000001,0.5728749008,0.04771386703296703,367,1,0.0,0.0,0.0,0.0,0.0,0.31990799,3.4
85.93123512000001,0.4296561756000001,0.04771386703296703,367,1,0.0,0.0,0.0,0.0,0.0,0.27123499,0.974999995
85.93123512000001,0.4910356292571429,0.04771386703296703,367,1,0.0,0.0,0.0,0.0,0.0,0.28415599,1.9
85.93123512000001,0.5728749008,0.04771386703296703,367,0,0.0,0.0,0.0,0.0,0.0,0.313373,0.999999995
85.93123512000001,0.4910356292571429,0.04771386703296703,367,0,0.0,0.0,0.0,0.0,0.0,0.28629199,2.0
82.85493792,0.5523662528,0.04561330285714285,30,1,0.0,0.0,0.0,0.0,0.0,0.330116,1.375
82.85493792,0.4734567881142857,0.04561330285714285,30,1,0.0,0.0,0.0,0.0,0.0,0.30217701,0.15000000000000002
82.85493792,0.5523662528,0.04561330285714285,30,0,0.0,0.0,0.0,0.0,0.0,0.31288701,0.15000000000000002
82.85493792,0.4734567881142857,0.04561330285714285,30,0,0.0,0.0,0.0,0.0,0.0,0.30237901,1.45
82.85493792,0.5523662528,0.04808309043956044,366,1,0.0,0.0,0.0,0.0,0.0,0.309378,2.9
82.85493792,0.4734567881142857,0.04808309043956044,366,1,0.0,0.0,0.0,0.0,0.0,0.28047699,1.55
82.85493792,0.4734567881142857,0.04808309043956044,366,0,0.0,0.0,0.0,0.0,0.0,0.28169999,2.2749999499999998
83.11129602000001,0.41555648010000007,0.04800010461538462,365,1,0.0,0.0,0.0,0.0,0.0,0.27335,0.80000001
83.11129602000001,0.4749216915428572,0.04800010461538462,365,1,0.0,0.0,0.0,0.0,0.0,0.28301501,1.6
83.11129602000001,0.5540753068000001,0.04800010461538462,365,0,0.0,0.0,0.0,0.0,0.0,0.31314799,1.15
83.11129602000001,0.4749216915428572,0.04800010461538462,365,0,0.0,0.0,0.0,0.0,0.0,0.28743401,2.2749999499999998
83.11129602000001,0.5540753068000001,0.045703176428571426,29,1,0.0,0.0,0.0,0.0,0.0,0.32277,1.4
83.11129602000001,0.5540753068000001,0.045703176428571426,29,0,0.0,0.0,0.0,0.0,0.0,0.32573399,0.15000000000000002
83.11129602000001,0.4749216915428572,0.045703176428571426,29,0,0.0,0.0,0.0,0.0,0.0,0.299651,1.4
83.26511088,0.5551007391999999,0.047963703076923075,362,1,0.0,0.0,0.0,0.0,0.0,0.30874199,2.92499995
83.26511088,0.41632555439999996,0.047963703076923075,362,1,0.0,0.0,0.0,0.0,0.0,0.266745,0.75
83.26511088,0.47580063359999997,0.047963703076923075,362,1,0.0,0.0,0.0,0.0,0.0,0.28562099,1.6
83.26511088,0.5551007391999999,0.047963703076923075,362,0,0.0,0.0,0.0,0.0,0.0,0.30495799,1.1
83.26511088,0.47580063359999997,0.047963703076923075,362,0,0.0,0.0,0.0,0.0,0.0,0.28439301,2.25
83.93164194,0.4196582097,0.048109317692307696,361,1,0.0,0.0,0.0,0.0,0.0,0.27517301,0.849999995
83.93164194,0.47960938251428575,0.048109317692307696,361,1,0.0,0.0,0.0,0.0,0.0,0.28817201,1.7
83.93164194,0.5595442796000001,0.048109317692307696,361,0,0.0,0.0,0.0,0.0,0.0,0.313945,1.1
83.93164194,0.47960938251428575,0.048109317692307696,361,0,0.0,0.0,0.0,0.0,0.0,0.28962299,2.20000005
84.0854568,0.420427284,0.04861849483516483,360,1,0.0,0.0,0.0,0.0,0.0,0.27509999,0.849999995
84.0854568,0.4804883245714286,0.04861849483516483,360,1,0.0,0.0,0.0,0.0,0.0,0.28793201,1.7
84.0854568,0.4804883245714286,0.04861849483516483,360,0,0.0,0.0,0.0,0.0,0.0,0.287453,2.17499995
86.18759322,0.5745839548,0.04643425,32,1,0.0,0.0,0.0,0.0,0.0,0.32736501,1.95
86.18759322,0.49250053268571425,0.04643425,32,1,0.0,0.0,0.0,0.0,0.0,0.26188499,0.275000005
86.18759322,0.49250053268571425,0.04643425,32,0,0.0,0.0,0.0,0.0,0.0,0.25661701,0.900000005
86.29013646,0.5752675764,0.04640658742857143,31,1,0.0,0.0,0.0,0.0,0.0,0.32395399,1.95
86.29013646,0.49308649405714283,0.04640658742857143,31,1,0.0,0.0,0.0,0.0,0.0,0.26456001,0.275000005
86.29013646,0.49308649405714283,0.04640658742857143,31,0,0.0,0.0,0.0,0.0,0.0,0.26503301,0.900000005
86.23886484,0.5749257656000001,0.046406774,30,1,0.0,0.0,0.0,0.0,0.0,0.35454199,1.9249999999999998
86.23886484,0.4927935133714286,0.046406774,30,1,0.0,0.0,0.0,0.0,0.0,0.24989501,0.225
86.18759322,0.5745839548,0.04640452371428571,29,1,0.0,0.0,0.0,0.0,0.0,0.33169201,1.9
86.18759322,0.49250053268571425,0.04640452371428571,29,1,0.0,0.0,0.0,0.0,0.0,0.238722,0.20000000499999998
86.18759322,0.49250053268571425,0.04640452371428571,29,0,0.0,0.0,0.0,0.0,0.0,0.240105,0.875
87.90314132,0.5023036646857143,0.05133904714285714,187,1,0.0,0.0,0.0,0.0,0.0,0.26622999,1.3
89.59555886,0.5119746220571428,0.05084028257142857,186,1,0.0,0.0,0.0,0.0,0.0,0.25502801,1.45
89.749415,0.448747075,0.05094791257142857,185,1,0.0,0.0,0.0,0.0,0.0,0.229504,0.45000000500000004
89.749415,0.5128538,0.05094791257142857,185,1,0.0,0.0,0.0,0.0,0.0,0.25246599,1.45
89.54427348,0.5969618232,0.049871273714285715,93,1,0.0,0.0,0.0,0.0,0.0,0.30535001,2.79999995
89.54427348,0.5116815627428571,0.049871273714285715,93,1,0.0,0.0,0.0,0.0,0.0,0.243352,0.924999985
89.54427348,0.5969618232,0.05054601857142857,184,1,0.0,0.0,0.0,0.0,0.0,0.30161399,3.1999999499999996
89.54427348,0.4477213674,0.05054601857142857,184,1,0.0,0.0,0.0,0.0,0.0,0.23878001,0.474999995
89.54427348,0.5116815627428571,0.05054601857142857,184,1,0.0,0.0,0.0,0.0,0.0,0.25272799,1.425
89.54427348,0.5969618232,0.049871273714285715,93,0,0.0,0.0,0.0,0.0,0.0,0.26949501,0.125000005
89.54427348,0.4477213674,0.049871273714285715,93,0,0.0,0.0,0.0,0.0,0.0,0.208768,2.54999995
89.54427348,0.71635418784,0.049871273714285715,93,0,0.0,0.0,0.0,0.0,0.0,0.34988201,0.0250000005
89.54427348,0.5116815627428571,0.049871273714285715,93,0,0.0,0.0,0.0,0.0,0.0,0.244949,0.80000001
90.2622688,0.6017484586666667,0.04993238228571428,92,1,0.0,0.0,0.0,0.0,0.0,0.292613,2.8999999499999998
90.2622688,0.5157843931428572,0.04993238228571428,92,1,0.0,0.0,0.0,0.0,0.0,0.25769401,1.05
90.2622688,0.6017484586666667,0.05064560371428572,183,1,0.0,0.0,0.0,0.0,0.0,0.31066999,3.3000000500000004
90.2622688,0.451311344,0.05064560371428572,183,1,0.0,0.0,0.0,0.0,0.0,0.23339801,0.474999995
90.2622688,0.5157843931428572,0.05064560371428572,183,1,0.0,0.0,0.0,0.0,0.0,0.2581,1.5
90.2622688,0.6017484586666667,0.04993238228571428,92,0,0.0,0.0,0.0,0.0,0.0,0.29563701,0.15000000000000002
90.2622688,0.451311344,0.04993238228571428,92,0,0.0,0.0,0.0,0.0,0.0,0.23232201,2.45000005
90.2622688,0.7220981504,0.04993238228571428,92,0,0.0,0.0,0.0,0.0,0.0,0.35845199,0.0250000005
90.2622688,0.6017484586666667,0.05064560371428572,183,0,0.0,0.0,0.0,0.0,0.0,0.290609,0.35000001000000003
90.87769336,0.6058512890666666,0.05003197428571429,89,1,0.0,0.0,0.0,0.0,0.0,0.30427599,3.0249999499999998
90.87769336,0.4543884668,0.05003197428571429,89,1,0.0,0.0,0.0,0.0,0.0,0.22424699,0.17500000500000001
90.87769336,0.5193011049142857,0.05003197428571429,89,1,0.0,0.0,0.0,0.0,0.0,0.25471401,1.1
90.87769336,0.4543884668,0.05072386114285714,180,1,0.0,0.0,0.0,0.0,0.0,0.24183001,0.525000005
90.87769336,0.5193011049142857,0.05072386114285714,180,1,0.0,0.0,0.0,0.0,0.0,0.27158001,1.6
90.87769336,0.5193011049142857,0.05072386114285714,180,0,0.0,0.0,0.0,0.0,0.0,0.251856,0.999999995
90.31355418,0.5160774524571429,0.048684148571428575,32,1,0.0,0.0,0.0,0.0,0.0,0.267232,0.650000005
90.31355418,0.4515677709,0.05114343171428572,179,1,0.0,0.0,0.0,0.0,0.0,0.24432699,0.5
90.31355418,0.5160774524571429,0.05114343171428572,179,1,0.0,0.0,0.0,0.0,0.0,0.265174,1.5
90.31355418,0.5160774524571429,0.048684148571428575,32,0,0.0,0.0,0.0,0.0,0.0,0.24521001,0.42500000000000004
91.13412025999999,0.5207664014857142,0.04877162571428571,31,1,0.0,0.0,0.0,0.0,0.0,0.249641,0.69999999
91.13412025999999,0.4556706012999999,0.051213336571428576,178,1,0.0,0.0,0.0,0.0,0.0,0.231278,0.474999995
91.13412025999999,0.5207664014857142,0.051213336571428576,178,1,0.0,0.0,0.0,0.0,0.0,0.257065,1.525
90.36483956000001,0.45182419780000005,0.04888326607142857,30,1,0.0,0.0,0.0,0.0,0.0,0.25229099,0.0250000005
90.36483956000001,0.5163705117714286,0.04888326607142857,30,1,0.0,0.0,0.0,0.0,0.0,0.24908701,0.599999995
90.36483956000001,0.6024322637333334,0.05133228714285714,177,1,0.0,0.0,0.0,0.0,0.0,0.32309201,3.3000000500000004
90.36483956000001,0.5163705117714286,0.04888326607142857,30,0,0.0,0.0,0.0,0.0,0.0,0.241969,0.39999998999999997
90.5186957,0.5172496897142856,0.04890811357142857,29,1,0.0,0.0,0.0,0.0,0.0,0.232153,0.575000015
90.5186957,0.6034579713333333,0.04890811357142857,29,0,0.0,0.0,0.0,0.0,0.0,0.33749399,0.0250000005
89.64684424,0.5976456282666667,0.04986361771428571,32,1,0.0,0.0,0.0,0.0,0.0,0.36214,2.6000000500000002
89.64684424,0.5122676813714285,0.04986361771428571,32,1,0.0,0.0,0.0,0.0,0.0,0.25294101,0.55000001
89.64684424,0.44823422119999995,0.04986361771428571,32,0,0.0,0.0,0.0,0.0,0.0,-99.989998,2.5
89.64684424,0.5122676813714285,0.04986361771428571,32,0,0.0,0.0,0.0,0.0,0.0,0.241109,0.474999995
89.03141968,0.5087509696,0.049875528,31,1,0.0,0.0,0.0,0.0,0.0,0.26909101,0.5
89.03141968,0.5087509696,0.049875528,31,0,0.0,0.0,0.0,0.0,0.0,0.27220699,0.599999995
84.51830624,0.5634553749333333,0.050027896571428566,30,1,0.0,0.0,0.0,0.0,0.0,0.323782,1.65
84.51830624,0.4829617499428572,0.050027896571428566,30,1,0.0,0.0,0.0,0.0,0.0,0.26645201,0.17500000500000001
84.51830624,0.4829617499428572,0.050027896571428566,30,0,0.0,0.0,0.0,0.0,0.0,0.236913,1.1
82.056608,0.5470440533333333,0.050088292857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.288791,1.2
82.056608,0.46889490285714286,0.050088292857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.308965,0.125000005
82.056608,0.5470440533333333,0.050088292857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.29580799,0.15000000000000002
82.056608,0.46889490285714286,0.050088292857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.282534,1.55
79.90262204,0.5326841469333333,0.05139253,31,1,0.0,0.0,0.0,0.0,0.0,0.29201299,0.900000005
79.90262204,0.45658641165714287,0.05139253,31,1,0.0,0.0,0.0,0.0,0.0,0.30816099,0.0750000005
79.90262204,0.5326841469333333,0.05139253,31,0,0.0,0.0,0.0,0.0,0.0,0.284879,0.25000000499999997
79.90262204,0.45658641165714287,0.05139253,31,0,0.0,0.0,0.0,0.0,0.0,0.30541199,1.95
79.90262204,0.45658641165714287,0.051396900588235296,30,1,0.0,0.0,0.0,0.0,0.0,0.31353301,0.0750000005
79.90262204,0.5326841469333333,0.051396900588235296,30,0,0.0,0.0,0.0,0.0,0.0,0.28919899,0.25000000499999997
79.90262204,0.45658641165714287,0.051396900588235296,30,0,0.0,0.0,0.0,0.0,0.0,0.261103,1.9249999999999998
80.10776356,0.5340517570666666,0.051388113529411764,29,1,0.0,0.0,0.0,0.0,0.0,0.30159599,0.92500001
80.10776356,0.5340517570666666,0.051388113529411764,29,0,0.0,0.0,0.0,0.0,0.0,0.284724,0.225
80.10776356,0.4577586489142857,0.051388113529411764,29,0,0.0,0.0,0.0,0.0,0.0,0.29204699,1.9
78.28389156,0.5218926104,0.054644875142857145,187,0,0.0,0.0,0.0,0.0,0.0,0.29720399,0.999999995
77.87349108,0.5191566072,0.054719505714285716,186,1,0.0,0.0,0.0,0.0,0.0,0.30440599,1.6
77.87349108,0.44499137759999996,0.054719505714285716,186,1,0.0,0.0,0.0,0.0,0.0,0.27673399,0.55000001
77.87349108,0.5191566072,0.054719505714285716,186,0,0.0,0.0,0.0,0.0,0.0,0.304223,1.05
79.515093,0.5301006199999999,0.05550911285714286,185,1,0.0,0.0,0.0,0.0,0.0,0.31057301,1.8
82.79829684,0.4731331248,0.05486033428571428,93,1,0.0,0.0,0.0,0.0,0.0,0.25470999,0.39999998999999997
82.79829684,0.5519886456,0.055665448857142856,184,1,0.0,0.0,0.0,0.0,0.0,0.286441,2.125
82.79829684,0.6623863747200001,0.055665448857142856,184,1,0.0,0.0,0.0,0.0,0.0,0.32706201,4.0999999
82.79829684,0.4731331248,0.055665448857142856,184,1,0.0,0.0,0.0,0.0,0.0,0.26487899,0.82499999
82.79829684,0.5519886456,0.05486033428571428,93,0,0.0,0.0,0.0,0.0,0.0,0.29091299,0.39999998999999997
82.79829684,0.4731331248,0.05486033428571428,93,0,0.0,0.0,0.0,0.0,0.0,0.256055,1.6
82.79829684,0.5519886456,0.055665448857142856,184,0,0.0,0.0,0.0,0.0,0.0,0.28569299,0.650000005
82.79829684,0.4731331248,0.055665448857142856,184,0,0.0,0.0,0.0,0.0,0.0,0.25987899,1.825
83.6190978,0.47782341600000006,0.05500646771428572,92,1,0.0,0.0,0.0,0.0,0.0,0.26213801,0.474999995
83.6190978,0.5574606520000001,0.05582717114285715,183,1,0.0,0.0,0.0,0.0,0.0,0.291888,2.29999995
83.6190978,0.47782341600000006,0.05582717114285715,183,1,0.0,0.0,0.0,0.0,0.0,0.26164401,0.900000005
83.6190978,0.47782341600000006,0.05500646771428572,92,0,0.0,0.0,0.0,0.0,0.0,0.26288301,1.5
83.6190978,0.5574606520000001,0.05513152485714286,89,1,0.0,0.0,0.0,0.0,0.0,0.291502,1.825
83.6190978,0.41809548900000004,0.05513152485714286,89,1,0.0,0.0,0.0,0.0,0.0,0.243038,0.05
83.6190978,0.47782341600000006,0.05513152485714286,89,1,0.0,0.0,0.0,0.0,0.0,0.25796399,0.45000000500000004
83.6190978,0.41809548900000004,0.05593829457142857,180,1,0.0,0.0,0.0,0.0,0.0,0.240448,0.225
83.6190978,0.47782341600000006,0.05593829457142857,180,1,0.0,0.0,0.0,0.0,0.0,0.259653,0.875
83.6190978,0.5574606520000001,0.05513152485714286,89,0,0.0,0.0,0.0,0.0,0.0,0.294193,0.35000001000000003
83.6190978,0.47782341600000006,0.05513152485714286,89,0,0.0,0.0,0.0,0.0,0.0,0.25837299,1.475
83.6190978,0.47782341600000006,0.05593829457142857,180,0,0.0,0.0,0.0,0.0,0.0,0.259947,1.7
83.6190978,0.47782341600000006,0.05366357571428571,32,1,0.0,0.0,0.0,0.0,0.0,0.256304,0.125000005
83.6190978,0.41809548900000004,0.05603649085714285,179,1,0.0,0.0,0.0,0.0,0.0,0.25278199,0.25000000499999997
84.28599858,0.5619066572,0.05374113035714286,31,1,0.0,0.0,0.0,0.0,0.0,0.30652601,1.6
84.28599858,0.4816342776,0.05374113035714286,31,1,0.0,0.0,0.0,0.0,0.0,0.25192401,0.15000000000000002
84.28599858,0.4816342776,0.05608107628571428,178,1,0.0,0.0,0.0,0.0,0.0,0.265165,0.924999985
84.28599858,0.5619066572,0.05374113035714286,31,0,0.0,0.0,0.0,0.0,0.0,0.30423301,0.10000000549999999
84.28599858,0.5619066572,0.05608107628571428,178,0,0.0,0.0,0.0,0.0,0.0,0.283811,0.55000001
84.38859869999999,0.562590658,0.05395621535714286,30,1,0.0,0.0,0.0,0.0,0.0,0.30284601,1.6
84.38859869999999,0.48222056399999996,0.056424206,177,1,0.0,0.0,0.0,0.0,0.0,0.252974,0.900000005
84.38859869999999,0.48222056399999996,0.05395621535714286,30,0,0.0,0.0,0.0,0.0,0.0,0.236523,1.125
84.33729864,0.5622486576,0.054098247142857145,29,1,0.0,0.0,0.0,0.0,0.0,0.33384201,1.6
84.33729864,0.4819274208,0.054098247142857145,29,1,0.0,0.0,0.0,0.0,0.0,0.22540499,0.10000000549999999
81.3105951,0.813105951,0.055882765714285715,187,1,0.0,0.0,0.0,0.0,0.0,0.52281302,6.25
81.3105951,0.542070634,0.055882765714285715,187,1,0.0,0.0,0.0,0.0,0.0,0.33208501,2.1000000500000002
81.3105951,0.4065529755,0.055882765714285715,187,1,0.0,0.0,0.0,0.0,0.0,0.26531699,0.225
81.3105951,0.464631972,0.055882765714285715,187,1,0.0,0.0,0.0,0.0,0.0,0.28560099,0.80000001
81.3105951,0.813105951,0.055882765714285715,187,0,0.0,0.0,0.0,0.0,0.0,0.495897,0.17500000500000001
81.3105951,0.6504847608,0.055882765714285715,187,0,0.0,0.0,0.0,0.0,0.0,0.401912,0.39999998999999997
81.3105951,0.464631972,0.055882765714285715,187,0,0.0,0.0,0.0,0.0,0.0,0.277372,2.1000000500000002
81.77229564,0.4672702608,0.05443695,32,1,0.0,0.0,0.0,0.0,0.0,0.32116699,0.15000000000000002
81.77229564,0.8177229563999999,0.05637397142857143,186,0,0.0,0.0,0.0,0.0,0.0,0.50490397,0.17500000500000001
81.77229564,0.5451486376,0.05443695,32,0,0.0,0.0,0.0,0.0,0.0,0.34517401,0.25000000499999997
88.44130343999998,0.8844130343999999,0.05602155761904761,185,1,0.0,0.0,0.0,0.0,0.0,0.53919202,7.5999999
88.44130343999998,0.5896086895999999,0.05602155761904761,185,1,0.0,0.0,0.0,0.0,0.0,0.323338,3.1
88.44130343999998,0.4422065171999999,0.05602155761904761,185,1,0.0,0.0,0.0,0.0,0.0,0.24612699,0.45000000500000004
88.44130343999998,0.5053788767999999,0.05602155761904761,185,1,0.0,0.0,0.0,0.0,0.0,0.26678899,1.375
88.44130343999998,0.5896086895999999,0.05449311228571429,31,1,0.0,0.0,0.0,0.0,0.0,0.33870101,2.3500000500000002
88.44130343999998,0.5053788767999999,0.05449311228571429,31,1,0.0,0.0,0.0,0.0,0.0,0.26808,0.45000000500000004
88.44130343999998,0.5896086895999999,0.05602155761904761,185,0,0.0,0.0,0.0,0.0,0.0,0.31022701,0.47500001000000003
88.44130343999998,0.5053788767999999,0.05602155761904761,185,0,0.0,0.0,0.0,0.0,0.0,0.26967901,1.275
88.44130343999998,0.5896086895999999,0.05449311228571429,31,0,0.0,0.0,0.0,0.0,0.0,0.335484,0.05
88.44130343999998,0.5053788767999999,0.05449311228571429,31,0,0.0,0.0,0.0,0.0,0.0,0.26953501,0.650000005
88.54390356,0.5902926904,0.055674414285714284,184,1,0.0,0.0,0.0,0.0,0.0,0.31390899,3.1
88.54390356,0.4427195178,0.055674414285714284,184,1,0.0,0.0,0.0,0.0,0.0,0.237675,0.42499999499999996
88.54390356,0.5059651632000001,0.055674414285714284,184,1,0.0,0.0,0.0,0.0,0.0,0.25725299,1.35
88.54390356,0.5902926904,0.05453478571428571,30,1,0.0,0.0,0.0,0.0,0.0,0.34096399,2.375
88.54390356,0.5059651632000001,0.05453478571428571,30,1,0.0,0.0,0.0,0.0,0.0,0.26573601,0.45000000500000004
88.54390356,0.5059651632000001,0.05453478571428571,30,0,0.0,0.0,0.0,0.0,0.0,0.25582099,0.599999995
87.92830284,0.5024474448,0.05574568476190476,183,1,0.0,0.0,0.0,0.0,0.0,0.261273,1.3
87.92830284,0.5861886856,0.05439698800000001,29,1,0.0,0.0,0.0,0.0,0.0,0.36894199,2.25
87.92830284,0.5024474448,0.05439698800000001,29,1,0.0,0.0,0.0,0.0,0.0,0.266186,0.375
87.92830284,0.5861886856,0.05439698800000001,29,0,0.0,0.0,0.0,0.0,0.0,0.33383501,0.05
87.92830284,0.5024474448,0.05439698800000001,29,0,0.0,0.0,0.0,0.0,0.0,0.26961499,0.69999999
89.46730464000001,0.44733652320000006,0.055814505714285714,180,1,0.0,0.0,0.0,0.0,0.0,0.24890199,0.5
89.46730464000001,0.5112417408000001,0.055814505714285714,180,1,0.0,0.0,0.0,0.0,0.0,0.27400801,1.5
89.46730464000001,0.8946730464000001,0.055814505714285714,180,0,0.0,0.0,0.0,0.0,0.0,0.531326,0.125000005
89.46730464000001,0.5964486976000001,0.055814505714285714,180,0,0.0,0.0,0.0,0.0,0.0,0.32555401,0.474999995
89.46730464000001,0.5112417408000001,0.055814505714285714,180,0,0.0,0.0,0.0,0.0,0.0,0.27566701,1.2
91.16020662,0.6077347108,0.055945369523809525,179,1,0.0,0.0,0.0,0.0,0.0,0.322023,3.54999995
91.16020662,0.4558010331,0.055945369523809525,179,1,0.0,0.0,0.0,0.0,0.0,0.24528401,0.599999995
91.16020662,0.5209154664,0.055945369523809525,179,1,0.0,0.0,0.0,0.0,0.0,0.273204,1.725
91.16020662,0.5209154664,0.055945369523809525,179,0,0.0,0.0,0.0,0.0,0.0,0.277605,1.05
91.5706071,0.4578530355,0.055653642380952384,178,1,0.0,0.0,0.0,0.0,0.0,0.24957,0.599999995
91.5706071,0.5232606120000001,0.055653642380952384,178,1,0.0,0.0,0.0,0.0,0.0,0.285721,1.75
91.5706071,0.7325648568,0.055653642380952384,178,0,0.0,0.0,0.0,0.0,0.0,0.41749001,0.20000000499999998
93.10960889999998,0.6207307259999999,0.05565937333333333,177,1,0.0,0.0,0.0,0.0,0.0,0.342657,3.9
93.10960889999998,0.4655480444999999,0.05565937333333333,177,1,0.0,0.0,0.0,0.0,0.0,0.24749599,0.724999995
93.10960889999998,0.5320549079999999,0.05565937333333333,177,1,0.0,0.0,0.0,0.0,0.0,0.28048,1.975
93.10960889999998,0.9310960889999998,0.05565937333333333,177,0,0.0,0.0,0.0,0.0,0.0,0.56317902,0.125000005
93.10960889999998,0.6207307259999999,0.05565937333333333,177,0,0.0,0.0,0.0,0.0,0.0,0.33669299,0.375
93.10960889999998,0.7448768711999999,0.05565937333333333,177,0,0.0,0.0,0.0,0.0,0.0,0.43516299,0.20000000499999998
93.10960889999998,0.5320549079999999,0.05565937333333333,177,0,0.0,0.0,0.0,0.0,0.0,0.28616199,0.94999999
87.15880193999999,0.5810586795999999,0.053929208,32,1,0.0,0.0,0.0,0.0,0.0,0.34014201,2.125
87.15880193999999,0.49805029679999996,0.053929208,32,1,0.0,0.0,0.0,0.0,0.0,0.29260299,0.39999998999999997
91.10890656000001,0.5206223232,0.05391611,31,1,0.0,0.0,0.0,0.0,0.0,0.295091,0.775000005
91.10890656000001,0.5206223232,0.05391611,31,0,0.0,0.0,0.0,0.0,0.0,0.28977001,0.45000000500000004
89.5186047,0.596790698,0.053863894117647054,30,1,0.0,0.0,0.0,0.0,0.0,0.38381201,2.57500005
