S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
3227.9239728,1.085016461445378,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.217335,10.575
3227.9239728,1.0759746576,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.21390299,9.0
3227.9239728,1.058335728786885,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.205724,6.20000005
3227.9239728,1.0412657976774193,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.19859301,4.0000001
3227.9239728,1.0329356712959998,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.196209,3.15
3227.9239728,1.1528299902857142,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.261419,1.52
3227.9239728,1.1426279549734513,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.25454301,1.7850000000000001
3227.9239728,1.1326049027368421,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.24938101,2.135
3227.9239728,1.1035637513846153,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.22968601,3.4750000500000002
3227.9239728,1.0942115162033899,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.224535,4.125
3227.9239728,1.085016461445378,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.21928801,4.875
3196.4309936,1.0654769978666667,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.22828101,7.77499985
3196.4309936,1.0566714028429751,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.22296301,6.42499995
3196.4309936,1.0480101618360655,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.21807501,5.22500015
3196.4309936,1.0394897540162602,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.215123,4.2249999
3196.4309936,1.022857917952,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.208508,2.6000000500000002
3196.4309936,1.0067499192440945,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.20271499,1.4849999999999999
3196.4309936,0.991141393364341,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.19851001,0.794999985
3196.4309936,0.9835172288,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.20104,0.6200000050000001
3196.4309936,1.1415824977142857,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.26172,1.8500000499999998
3196.4309936,1.1314799977345134,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.25365099,2.15
3196.4309936,1.1215547345964911,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.24697,2.53499995
3196.4309936,1.102217584,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.23385499,3.5249999499999998
3196.4309936,1.0927969208888888,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.22814199,4.17499995
3196.4309936,1.0835359300338983,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.22309101,4.95000005
3204.9426095999997,1.1344929591504425,0.01728078057142857,32,1,0.0,0.0,0.0,0.0,0.0,0.25862199,20.9000005
3204.9426095999997,1.025581635072,0.01728078057142857,32,1,0.0,0.0,0.0,0.0,0.0,0.196264,2.745
3204.9426095999997,1.0174420982857142,0.01728078057142857,32,1,0.0,0.0,0.0,0.0,0.0,0.197565,2.21500005
3204.9426095999997,0.9937806541395348,0.01728078057142857,32,1,0.0,0.0,0.0,0.0,0.0,0.19075599,0.92500001
3204.9426095999997,1.1549342737297297,0.01728078057142857,32,0,0.0,0.0,0.0,0.0,0.0,0.25781301,1.63999995
3204.9426095999997,1.1344929591504425,0.01728078057142857,32,0,0.0,0.0,0.0,0.0,0.0,0.25847399,2.57500005
3204.9426095999997,1.1245412665263157,0.01728078057142857,32,0,0.0,0.0,0.0,0.0,0.0,0.238573,2.635
3194.0902991999997,1.1306514333451325,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.243727,19.95
3194.0902991999997,1.1109879301565215,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.26216599,16.7000005
3194.0902991999997,1.0646967664,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.214058,7.5749998
3194.0902991999997,1.0303517094193548,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.201658,3.3000000500000004
3194.0902991999997,1.0139969203809522,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.193929,1.9100000000000001
3194.0902991999997,1.1207334383157894,0.01740261057142857,31,0,0.0,0.0,0.0,0.0,0.0,0.24231701,2.76999995
3194.0902991999997,1.101410448,0.01740261057142857,31,0,0.0,0.0,0.0,0.0,0.0,0.231326,3.85
3250.3736970000004,1.1505747600000003,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.28022599,25.0500005
3250.3736970000004,1.1208185162068967,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.253571,18.5
3250.3736970000004,1.0656962940983608,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.219001,7.9000001
3250.3736970000004,1.057032096585366,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.214837,6.5749998
3250.3736970000004,1.0485076441935486,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.209694,5.3499999
3250.3736970000004,1.0318646657142858,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.202038,3.4
3250.3736970000004,1.007867813023256,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.192844,1.505
3250.3736970000004,1.0001149836923078,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.190631,1.11000005
3250.3736970000004,1.1505747600000003,0.016949128333333334,30,0,0.0,0.0,0.0,0.0,0.0,0.259038,1.635
3250.3736970000004,1.1305647641739132,0.016949128333333334,30,0,0.0,0.0,0.0,0.0,0.0,0.24537,2.235
3250.3736970000004,1.1208185162068967,0.016949128333333334,30,0,0.0,0.0,0.0,0.0,0.0,0.23779599,2.5950000500000003
3250.3736970000004,1.0745037014876035,0.016949128333333334,30,0,0.0,0.0,0.0,0.0,0.0,0.214408,6.0500002
3292.9875770000003,1.0976625256666668,0.016955843333333335,29,1,0.0,0.0,0.0,0.0,0.0,0.223433,13.3
