S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
61.64475256,0.2802034207272727,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.407897,0.849999995
61.115991279999996,0.22635552325925926,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.350411,3.0
61.115991279999996,0.20371997093333333,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.329575,4.0999999
61.975228359999996,0.3098761418,0.0033166949450549456,185,0,0.0,0.0,0.0,0.0,0.0,0.41753101,0.45000000500000004
65.41217668,0.21804058893333333,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.30159801,1.625
65.41217668,0.23361491671428572,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.32412699,2.79999995
65.41217668,0.2110070215483871,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.28783101,1.15
65.41217668,0.2255592299310345,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.30910701,2.1499999499999998
65.41217668,0.204413052125,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.28043899,0.80000001
65.41217668,0.21804058893333333,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.31831399,2.45000005
65.41217668,0.18689193337142856,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.29283601,0.775000005
65.41217668,0.2110070215483871,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.31534401,2.0249999499999998
65.41217668,0.21804058893333333,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.30039501,2.0
65.41217668,0.23361491671428572,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.323293,1.1749999999999998
65.41217668,0.24226732103703705,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.33459601,0.875
64.5529396,0.21517646533333334,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.30836299,1.5
64.5529396,0.23054621285714286,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.32805899,2.6000000500000002
