S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
672.13187523,0.3491594157038961,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.19692101,9.7249999
672.13187523,0.34468301293846154,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.18790901,7.7249999
672.13187523,0.34031993682531647,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.18059801,5.9250002
672.13187523,0.336065937615,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.17397299,4.3499999
672.13187523,0.3319169754222222,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.170972,3.1
672.13187523,0.3278692074292683,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.16777,2.1000000500000002
672.13187523,0.32391897601445785,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.16490801,1.35
672.13187523,0.32006279772857144,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.16265,0.82499999
672.13187523,0.3633145271513514,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.210126,0.42999999499999997
672.13187523,0.358470333456,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.20247,0.61499998
672.13187523,0.35375361854210524,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.19406401,0.8650000099999999
672.13187523,0.3491594157038961,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.186736,1.2300000500000001
672.13187523,0.34468301293846154,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.180388,1.75
672.13187523,0.34031993682531647,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.17423899,2.4550000499999998
672.13187523,0.336065937615,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.17121001,3.4499999499999996
669.75519496,0.3391165544101266,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.180117,5.5250001
669.75519496,0.33487759748,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.174705,4.02499995
669.75519496,0.33074330615308645,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.171048,2.81500005
669.75519496,0.3267098512,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.167961,1.875
669.75519496,0.32277358793253014,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.164428,1.17
669.75519496,0.31893104521904764,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.16282199,0.705000015
669.75519496,0.3115140441674419,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.163638,0.24
669.75519496,0.36202983511351355,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.214128,0.474999995
