S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
455.53014514,0.91106029028,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,-99.989998,9.0
455.53014514,0.8282366275272728,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.209629,4.25
455.53014514,0.7592169085666667,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.188761,0.900000005
455.53014514,0.8282366275272728,0.047610910000000006,186,1,0.0,0.0,0.0,0.0,0.0,0.21139,6.25
455.53014514,0.7592169085666667,0.047610910000000006,186,1,0.0,0.0,0.0,0.0,0.0,0.1945,3.15
455.53014514,0.7008156079076923,0.047610910000000006,186,1,0.0,0.0,0.0,0.0,0.0,0.1842,1.275
455.53014514,0.8282366275272728,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.21699101,0.25000000499999997
455.53014514,0.7592169085666667,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.183678,1.85
455.53014514,0.7592169085666667,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.207646,5.1500001
455.53014514,0.7008156079076923,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.198396,3.0
455.53014514,0.6507573502,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.18770599,1.525
455.53014514,1.5184338171333334,0.04771222131868132,368,0,0.0,0.0,0.0,0.0,0.0,0.380577,0.20000000499999998
455.53014514,0.8282366275272728,0.04771222131868132,368,0,0.0,0.0,0.0,0.0,0.0,0.22092,2.75
455.53014514,0.6507573502,0.04771222131868132,368,0,0.0,0.0,0.0,0.0,0.0,0.18880799,11.399999999999999
452.74165930000004,0.8231666532727273,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.224013,3.95000005
452.74165930000004,0.7545694321666667,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.18756101,0.724999995
452.74165930000004,0.8231666532727273,0.047606391428571426,185,1,0.0,0.0,0.0,0.0,0.0,0.214229,6.0
452.74165930000004,0.7545694321666667,0.047606391428571426,185,1,0.0,0.0,0.0,0.0,0.0,0.197744,3.0
452.74165930000004,0.6965256296923078,0.047606391428571426,185,1,0.0,0.0,0.0,0.0,0.0,0.185174,1.175
