S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
29.635722239999996,0.29635722239999995,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.42230701,0.28
29.635722239999996,0.49392870399999994,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.49195099,2.025
29.635722239999996,0.42336746057142854,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.453096,1.32999995
29.635722239999996,0.37044652799999994,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.43116301,0.814999995
29.635722239999996,0.3292858026666666,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.41782701,0.47
29.635722239999996,0.5927144447999999,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.53178102,0.15000000000000002
29.635722239999996,0.42336746057142854,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.44367099,0.6200000050000001
29.635722239999996,0.37044652799999994,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.41863799,1.0950000000000002
29.635722239999996,0.3292858026666666,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.40966299,1.76
28.5552532,0.5711050639999999,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.531564,2.5849999
28.5552532,0.28555253199999997,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.434277,0.235
28.5552532,0.71388133,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.62945199,3.5
28.5552532,0.47592088666666665,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.48884901,1.79499995
28.5552532,0.40793218857142854,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.458437,1.1549999999999998
28.5552532,0.356940665,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.442552,0.69999999
28.5552532,0.3172805911111111,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.44434699,0.425
28.5552532,0.5711050639999999,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.52972198,0.175
28.5552532,0.28555253199999997,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.43313101,2.8199999499999997
28.5552532,0.47592088666666665,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.48220599,0.375
