S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
,,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.32424,10.25
,,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.30981201,7.0500002
,,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.28631601,1.02499999
,,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.300354,11.899999999999999
,,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.484644,0.15000000000000002
,,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.301413,7.0
,,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.287889,4.0
,,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.30592799,8.25
,,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.29511899,5.5
,,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.388845,0.35000001000000003
,,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.33070201,1.425
,,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.286093,4.75
,,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.30347699,5.54999995
,,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.294222,3.0500000500000004
,,0.0031622477142857143,183,1,0.0,0.0,0.0,0.0,0.0,0.31103301,7.04999995
,,0.002651853142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.29502401,6.0
,,0.0031622477142857143,183,0,0.0,0.0,0.0,0.0,0.0,0.33922499,2.1999999499999996
,,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.492998,0.375
,,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.346771,5.70000005
,,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.33241299,2.65
,,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.322696,0.95000001
,,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.306012,0.22500000999999997
,,0.0031651611428571425,179,1,0.0,0.0,0.0,0.0,0.0,0.317996,11.15
,,0.0031651611428571425,179,1,0.0,0.0,0.0,0.0,0.0,0.30053601,7.6500001
,,0.0031651611428571425,179,1,0.0,0.0,0.0,0.0,0.0,0.25110301,0.20000000499999998
,,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.437545,0.175
,,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.36303201,0.375
,,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.34771699,1.275
,,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.33759299,3.3000000500000004
,,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.319922,6.54999995
,,0.0031651611428571425,179,0,0.0,0.0,0.0,0.0,0.0,0.38930401,0.650000005
