S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
27.97991229,0.18653274860000002,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.347868,0.225
27.97991229,0.254362839,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.475743,3.0249999499999998
27.97991229,0.23316593575000003,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.37195501,2.04999995
27.97991229,0.21523009453846154,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.354325,1.2
27.97991229,0.19985651635714285,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.332032,0.55000001
27.97991229,0.13989956145000002,0.047610910000000006,186,1,0.0,0.0,0.0,0.0,0.0,0.33828101,0.15000000000000002
27.97991229,0.23316593575000003,0.047610910000000006,186,1,0.0,0.0,0.0,0.0,0.0,0.36519501,2.75
27.97991229,0.19985651635714285,0.047610910000000006,186,1,0.0,0.0,0.0,0.0,0.0,0.348474,1.525
27.97991229,0.1748744518125,0.047610910000000006,186,1,0.0,0.0,0.0,0.0,0.0,0.33944401,0.75
27.97991229,0.18653274860000002,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.331303,1.2
27.97991229,0.23316593575000003,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.368797,0.05
27.97991229,0.21523009453846154,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.335154,0.17500000500000001
27.97991229,0.19985651635714285,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.334319,0.55000001
27.97991229,0.254362839,0.047610910000000006,186,0,0.0,0.0,0.0,0.0,0.0,0.38196501,0.29999999499999996
27.97991229,0.23316593575000003,0.047610910000000006,186,0,0.0,0.0,0.0,0.0,0.0,0.37270701,0.525000005
27.97991229,0.1645877193529412,0.047610910000000006,186,0,0.0,0.0,0.0,0.0,0.0,0.33437401,3.25
27.97991229,0.18653274860000002,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.34062099,1.75
27.97991229,0.22383929832000002,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.361013,3.04999995
27.97991229,0.12435516573333334,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.32662699,0.25000000499999997
27.97991229,0.27979912290000003,0.04771222131868132,368,0,0.0,0.0,0.0,0.0,0.0,0.38969401,0.39999998999999997
27.97991229,0.18653274860000002,0.04771222131868132,368,0,0.0,0.0,0.0,0.0,0.0,0.34104601,2.20000005
27.97991229,0.37306549720000004,0.04771222131868132,368,0,0.0,0.0,0.0,0.0,0.0,0.458756,0.15000000000000002
27.97991229,0.22383929832000002,0.04771222131868132,368,0,0.0,0.0,0.0,0.0,0.0,0.36143601,1.05
